Geography,Geography Code,Rural Urban,Tenure: All categories: Tenure; measures: Value,Tenure: Owned: Total; measures: Value,Tenure: Owned: Owned outright; measures: Value,Tenure: Owned: Owned with a mortgage or loan; measures: Value,Tenure: Shared ownership (part owned and part rented); measures: Value,OOS,Tenure: Social rented: Total; measures: Value,Tenure: Social rented: Rented from council (Local Authority); measures: Value,Tenure: Social rented: Other social rented; measures: Value,SRS,Tenure: Private rented: Total; measures: Value,Tenure: Private rented: Private landlord or letting agency; measures: Value,Tenure: Private rented: Employer of a household member; measures: Value,Tenure: Private rented: Relative or friend of household member; measures: Value,Tenure: Private rented: Other; measures: Value,PRS
NE30,NE30,Total,10804,7800,4000,3800,28,15600,1326,633,693,2652,1523,1351,20,136,16,3046
NE31,NE31,Total,9010,4832,1783,3049,18,9664,3230,2764,466,6460,857,764,5,79,9,1714
NE32,NE32,Total,11300,6036,2536,3500,27,12072,4364,3928,436,8728,795,705,2,77,11,1590
NE33,NE33,Total,13271,7007,3025,3982,131,14014,3328,2079,1249,6656,2664,2404,15,215,30,5328
NE34,NE34,Total,23419,12869,5883,6986,108,25738,8499,6715,1784,16998,1762,1570,13,157,22,3524
NE35,NE35,Total,2805,1763,665,1098,4,3526,753,542,211,1506,251,232,2,17,0,502
NE36,NE36,Total,3035,2391,1199,1192,2,4782,409,346,63,818,203,172,4,24,3,406
NE37,NE37,Total,9036,5090,2015,3075,21,10180,2951,1736,1215,5902,922,841,2,60,19,1844
NE38,NE38,Total,13210,8758,3527,5231,52,17516,3323,1888,1435,6646,999,888,7,85,19,1998
NE39,NE39,Total,3704,2659,1361,1298,24,5318,721,671,50,1442,279,248,5,22,4,558
NE4,NE4,Total,14200,4105,1829,2276,46,8210,6341,4302,2039,12682,3458,3204,14,129,111,6916
NE40,NE40,Total,6849,4977,2347,2630,24,9954,1178,903,275,2356,621,552,3,61,5,1242
NE41,NE41,Total,950,813,457,356,3,1626,50,21,29,100,78,68,2,7,1,156
NE42,NE42,Total,5281,3633,1536,2097,26,7266,1157,591,566,2314,419,367,2,49,1,838
NE43,NE43,Total,1895,1504,820,684,27,3008,104,34,70,208,213,197,5,8,3,426
NE44,NE44,Total,407,347,210,137,0,694,12,5,7,24,38,36,1,1,0,76
NE45,NE45,Total,1684,1155,709,446,3,2310,230,63,167,460,259,235,3,18,3,518
NE46,NE46,Total,6745,4495,2593,1902,52,8990,1031,396,635,2062,1043,926,16,88,13,2086
NE47,NE47,Total,3341,2237,1300,937,38,4474,381,104,277,762,580,517,9,36,18,1160
NE48,NE48,Total,1927,1191,688,503,16,2382,258,77,181,516,397,338,18,31,10,794
NE49,NE49,Total,2009,1292,782,510,3,2584,365,150,215,730,301,271,3,20,7,602
NE5,NE5,Total,21315,12415,5664,6751,105,24830,6572,5651,921,13144,1954,1662,22,246,24,3908
NE6,NE6,Total,23012,8277,3548,4729,95,16554,9719,8153,1566,19438,4583,4244,12,267,60,9166
NE61,NE61,Total,13695,9824,5110,4714,29,19648,1999,976,1023,3998,1595,1413,29,125,28,3190
NE62,NE62,Total,4324,2950,1374,1576,6,5900,883,470,413,1766,441,406,1,28,6,882
NE63,NE63,Total,12410,7523,3381,4142,26,15046,2776,1395,1381,5552,1968,1797,14,129,28,3936
NE64,NE64,Total,2853,1634,871,763,17,3268,772,413,359,1544,398,366,4,25,3,796
NE65,NE65,Total,8829,6051,3313,2738,32,12102,1436,964,472,2872,1140,985,35,94,26,2280
NE66,NE66,Total,7694,4454,2467,1987,21,8908,1439,961,478,2878,1489,1222,120,58,89,2978
NE67,NE67,Total,447,308,204,104,0,616,33,12,21,66,90,81,4,5,0,180
NE68,NE68,Total,952,660,424,236,5,1320,159,42,117,318,107,90,5,11,1,214
NE69,NE69,Total,222,143,100,43,8,286,18,6,12,36,46,44,1,0,1,92
NE7,NE7,Total,6185,4701,2172,2529,14,9402,640,591,49,1280,753,673,7,69,4,1506
NE70,NE70,Total,808,462,290,172,3,924,142,41,101,284,174,145,4,17,8,348
NE71,NE71,Total,1443,759,486,273,2,1518,295,95,200,590,288,256,13,18,1,576
NE8,NE8,Total,15526,5254,1851,3403,70,10508,5469,3778,1691,10938,4559,4272,20,235,32,9118
NE9,NE9,Total,16548,10114,4731,5383,63,20228,4993,4247,746,9986,1234,1078,3,140,13,2468
NG1,NG1,Total,6039,668,304,364,44,1336,1937,632,1305,3874,3325,3189,27,52,57,6650
NG10,NG10,Total,20501,14705,6422,8283,131,29410,2572,712,1860,5144,2875,2656,22,177,20,5750
NG11,NG11,Total,16134,10565,5174,5391,247,21130,3440,2618,822,6880,1670,1461,10,174,25,3340
NG12,NG12,Total,14069,11298,6331,4967,93,22596,1317,431,886,2634,1230,1091,10,104,25,2460
NG13,NG13,Total,8728,6859,3412,3447,77,13718,777,280,497,1554,921,829,15,55,22,1842
NG14,NG14,Total,7918,6394,3589,2805,36,12788,571,268,303,1142,822,717,16,68,21,1644
NG15,NG15,Total,17521,12962,6318,6644,63,25924,2234,1637,597,4468,2006,1814,8,162,22,4012
NG16,NG16,Total,27178,20432,10278,10154,76,40864,3428,2495,933,6856,2886,2576,21,259,30,5772
NG17,NG17,Total,31004,20723,10049,10674,159,41446,5549,4375,1174,11098,4171,3808,22,300,41,8342
NG18,NG18,Total,18110,11425,5367,6058,50,22850,3438,2509,929,6876,3009,2805,18,161,25,6018
NG19,NG19,Total,22457,15691,7694,7997,99,31382,3801,3086,715,7602,2580,2337,6,217,20,5160
NG2,NG2,Total,24670,14033,6153,7880,157,28066,4381,2357,2024,8762,5833,5489,14,283,47,11666
NG20,NG20,Total,10867,6497,3437,3060,55,12994,2543,1829,714,5086,1552,1414,7,117,14,3104
NG21,NG21,Total,9291,6644,3071,3573,33,13288,1468,908,560,2936,1028,896,14,110,8,2056
NG22,NG22,Total,11086,7813,4194,3619,31,15626,1802,1267,535,3604,1231,1090,32,79,30,2462
NG23,NG23,Total,7243,5906,3223,2683,22,11812,514,423,91,1028,692,606,19,63,4,1384
NG24,NG24,Total,19784,12965,6035,6930,150,25930,3256,2477,779,6512,3134,2906,17,182,29,6268
NG25,NG25,Total,3718,2821,1681,1140,23,5642,324,235,89,648,491,431,14,37,9,982
NG3,NG3,Total,21092,11140,5117,6023,143,22280,5273,3628,1645,10546,4205,3946,13,211,35,8410
NG31,NG31,Total,19034,11901,5374,6527,138,23802,3265,2595,670,6530,3487,3226,43,186,32,6974
NG32,NG32,Total,5410,3946,2224,1722,29,7892,582,462,120,1164,718,633,21,46,18,1436
NG33,NG33,Total,4232,2746,1318,1428,35,5492,574,396,178,1148,720,650,20,33,17,1440
NG34,NG34,Total,17807,12643,6194,6449,91,25286,2175,1647,528,4350,2628,2180,189,144,115,5256
NG4,NG4,Total,17766,12657,5749,6908,118,25314,2131,796,1335,4262,2676,2423,17,217,19,5352
NG5,NG5,Total,38004,24490,11462,13028,180,48980,7130,5048,2082,14260,5744,5269,25,394,56,11488
NG6,NG6,Total,16566,8830,3645,5185,96,17660,4873,3645,1228,9746,2554,2367,7,160,20,5108
NG7,NG7,Total,20434,5142,2277,2865,126,10284,5694,2568,3126,11388,9186,8795,49,226,116,18372
NG8,NG8,Total,25698,13977,6670,7307,88,27954,8208,6704,1504,16416,3009,2743,11,201,54,6018
NG9,NG9,Total,30645,21233,10732,10501,123,42466,3791,3155,636,7582,5130,4594,133,297,106,10260
NN1,NN1,Total,13559,5735,2127,3608,255,11470,2480,1406,1074,4960,4906,4662,26,176,42,9812
NN10,NN10,Total,15934,11722,4943,6779,79,23444,2083,370,1713,4166,1903,1726,12,152,13,3806
NN11,NN11,Total,15608,10402,4457,5945,179,20804,2779,787,1992,5558,2090,1914,21,132,23,4180
NN12,NN12,Total,9504,7103,3282,3821,167,14206,1033,292,741,2066,1075,968,23,69,15,2150
NN13,NN13,Total,7581,5795,2392,3403,42,11590,617,103,514,1234,979,858,31,70,20,1958
NN14,NN14,Total,17948,13359,5842,7517,168,26718,1984,972,1012,3968,2177,1973,26,161,17,4354
NN15,NN15,Total,14226,10873,5038,5835,80,21746,1463,955,508,2926,1629,1483,9,118,19,3258
NN16,NN16,Total,13173,7564,2983,4581,122,15128,2377,1632,745,4754,2906,2673,26,188,19,5812
NN17,NN17,Total,11305,7064,2919,4145,42,14128,2433,2165,268,4866,1582,1466,11,97,8,3164
NN18,NN18,Total,13179,7950,2683,5267,51,15900,2800,2255,545,5600,2232,2100,6,109,17,4464
NN2,NN2,Total,15755,10245,4665,5580,103,20490,2482,1860,622,4964,2718,2501,16,178,23,5436
NN29,NN29,Total,4937,3902,1928,1974,20,7804,417,124,293,834,509,445,6,49,9,1018
NN3,NN3,Total,28054,19084,8198,10886,292,38168,5275,4384,891,10550,3082,2740,16,287,39,6164
NN4,NN4,Total,18469,13078,4028,9050,217,26156,1896,1339,557,3792,3108,2895,15,175,23,6216
NN5,NN5,Total,16418,10218,4269,5949,328,20436,3197,2399,798,6394,2476,2289,5,167,15,4952
NN6,NN6,Total,13638,10588,5163,5425,62,21176,1315,389,926,2630,1455,1297,36,102,20,2910
NN7,NN7,Total,11440,8635,4448,4187,55,17270,1347,381,966,2694,1216,1103,21,64,28,2432
NN8,NN8,Total,20619,12512,5223,7289,252,25024,4441,1369,3072,8882,3159,2895,23,200,41,6318
NN9,NN9,Total,11063,7936,3426,4510,56,15872,1706,339,1367,3412,1248,1137,14,86,11,2496
NR1,NR1,Total,12575,5534,2725,2809,55,11068,3688,2606,1082,7376,3147,2943,18,151,35,6294
NR10,NR10,Total,9200,7039,3619,3420,59,14078,791,91,700,1582,1183,1062,21,84,16,2366
NR11,NR11,Total,7975,5878,3769,2109,48,11756,851,116,735,1702,1061,935,36,69,21,2122
NR12,NR12,Total,9183,6792,4301,2491,33,13584,1020,183,837,2040,1183,1074,18,72,19,2366
NR13,NR13,Total,11250,8926,4882,4044,76,17852,1063,128,935,2126,1041,908,29,85,19,2082
NR14,NR14,Total,9988,7752,4218,3534,43,15504,969,216,753,1938,1039,933,19,76,11,2078
NR15,NR15,Total,6476,5071,2613,2458,64,10142,682,148,534,1364,542,465,9,60,8,1084
NR16,NR16,Total,4926,3740,2016,1724,19,7480,452,104,348,904,597,513,30,47,7,1194
NR17,NR17,Total,6611,4855,2516,2339,40,9710,642,96,546,1284,951,854,16,68,13,1902
NR18,NR18,Total,7246,5313,2835,2478,116,10626,798,211,587,1596,930,828,21,76,5,1860
NR19,NR19,Total,8772,5994,3033,2961,31,11988,1212,198,1014,2424,1413,1287,16,106,4,2826
NR2,NR2,Total,12576,5402,2663,2739,123,10804,3176,2252,924,6352,3724,3462,18,227,17,7448
NR20,NR20,Total,7942,5879,3322,2557,50,11758,909,153,756,1818,950,751,77,70,52,1900
NR21,NR21,Total,7139,4880,3006,1874,18,9760,1042,231,811,2084,1000,890,31,66,13,2000
NR22,NR22,Total,395,200,138,62,0,400,77,19,58,154,87,73,8,0,6,174
NR23,NR23,Total,1485,783,620,163,6,1566,328,81,247,656,298,260,21,10,7,596
NR24,NR24,Total,1948,1360,814,546,6,2720,199,35,164,398,336,300,6,27,3,672
NR25,NR25,Total,4181,2875,2193,682,13,5750,707,134,573,1414,474,407,20,35,12,948
NR26,NR26,Total,3965,2880,2084,796,15,5760,362,50,312,724,635,560,9,64,2,1270
NR27,NR27,Total,5535,3782,2653,1129,22,7564,600,95,505,1200,1041,966,8,62,5,2082
NR28,NR28,Total,7721,5468,3219,2249,42,10936,1132,208,924,2264,962,869,17,63,13,1924
NR29,NR29,Total,8595,6864,4225,2639,24,13728,724,508,216,1448,805,682,23,81,19,1610
NR3,NR3,Total,15748,6318,2514,3804,119,12636,5580,4529,1051,11160,3595,3355,16,201,23,7190
NR30,NR30,Total,13521,7200,4179,3021,62,14400,2901,2307,594,5802,3153,2963,26,132,32,6306
NR31,NR31,Total,21446,14096,7358,6738,64,28192,3853,3057,796,7706,3101,2748,71,226,56,6202
NR32,NR32,Total,16960,11026,6185,4841,51,22052,2831,1684,1147,5662,2873,2644,15,190,24,5746
NR33,NR33,Total,17181,12420,6824,5596,60,24840,2014,943,1071,4028,2497,2276,36,168,17,4994
NR34,NR34,Total,9791,6922,4179,2743,56,13844,1299,788,511,2598,1362,1253,15,86,8,2724
NR35,NR35,Total,4724,3340,2003,1337,20,6680,607,350,257,1214,658,578,21,53,6,1316
NR4,NR4,Total,8138,5172,3097,2075,40,10344,1861,1528,333,3722,967,866,10,77,14,1934
NR5,NR5,Total,12053,5693,2672,3021,156,11386,4483,3071,1412,8966,1600,1448,7,123,22,3200
NR6,NR6,Total,10548,8122,4421,3701,39,16244,1222,414,808,2444,1093,958,26,96,13,2186
NR7,NR7,Total,14146,10671,5810,4861,79,21342,1969,1109,860,3938,1277,1136,4,128,9,2554
NR8,NR8,Total,8425,6623,2937,3686,89,13246,645,75,570,1290,1005,918,9,73,5,2010
NR9,NR9,Total,7221,5508,2959,2549,45,11016,772,180,592,1544,771,670,34,61,6,1542
NW1,NW1,Total,26216,6604,3494,3110,271,13208,10700,7109,3591,21400,8177,7642,82,305,148,16354
NW10,NW10,Total,34461,11049,4893,6156,719,22098,11805,4011,7794,23610,10389,10011,20,225,133,20778
NW11,NW11,Total,11912,6560,3792,2768,50,13120,676,164,512,1352,4394,4199,25,120,50,8788
NW2,NW2,Total,25578,10035,4878,5157,270,20070,5327,2621,2706,10654,9616,9272,35,226,83,19232
NW3,NW3,Total,23529,10362,6244,4118,89,20724,4373,3148,1225,8746,8210,7873,63,205,69,16420
NW4,NW4,Total,11605,6166,3128,3038,75,12332,1096,665,431,2192,4066,3890,18,122,36,8132
NW5,NW5,Total,13244,4242,2034,2208,134,8484,5833,4593,1240,11666,2861,2706,26,103,26,5722
NW6,NW6,Total,29337,9816,4312,5504,207,19632,8328,5247,3081,16656,10574,10184,43,255,92,21148
NW7,NW7,Total,9503,6311,2888,3423,40,12622,1042,469,573,2084,1941,1815,32,74,20,3882
NW8,NW8,Total,15163,4947,3082,1865,110,9894,4519,3232,1287,9038,5116,4840,88,120,68,10232
NW9,NW9,Total,20834,10161,4777,5384,362,20322,4726,2696,2030,9452,5287,5044,21,156,66,10574
OL1,OL1,Total,8440,3869,1462,2407,53,7738,3365,1986,1379,6730,1047,915,10,106,16,2094
OL10,OL10,Total,12214,7158,3086,4072,70,14316,3221,1811,1410,6442,1614,1456,7,132,19,3228
OL11,OL11,Total,18051,10906,5453,5453,64,21812,4243,3176,1067,8486,2536,2317,8,176,35,5072
OL12,OL12,Total,18899,11590,5121,6469,52,23180,4515,3453,1062,9030,2474,2225,12,217,20,4948
OL13,OL13,Total,6516,4284,1902,2382,17,8568,1051,410,641,2102,1091,990,5,85,11,2182
OL14,OL14,Total,6970,4636,2247,2389,61,9272,957,288,669,1914,1213,1091,16,94,12,2426
OL15,OL15,Total,6200,4777,2256,2521,6,9554,446,376,70,892,902,817,9,70,6,1804
OL16,OL16,Total,14377,8834,3682,5152,36,17668,3086,2033,1053,6172,2198,2036,6,133,23,4396
OL2,OL2,Total,18297,13642,6639,7003,103,27284,2624,1222,1402,5248,1747,1534,3,188,22,3494
OL3,OL3,Total,6482,5143,2744,2399,36,10286,478,214,264,956,757,676,7,62,12,1514
OL4,OL4,Total,17341,11631,5364,6267,62,23262,3095,1673,1422,6190,2267,1995,7,220,45,4534
OL5,OL5,Total,4924,3371,1377,1994,11,6742,688,172,516,1376,799,724,4,59,12,1598
OL6,OL6,Total,12371,6967,3236,3731,28,13934,3146,784,2362,6292,2084,1906,11,123,44,4168
OL7,OL7,Total,7105,3867,1708,2159,36,7734,2068,390,1678,4136,1038,949,3,68,18,2076
OL8,OL8,Total,14265,7259,3330,3929,29,14518,4505,1246,3259,9010,2221,2000,9,162,50,4442
OL9,OL9,Total,15875,10429,4726,5703,53,20858,3373,1725,1648,6746,1798,1568,16,182,32,3596
OX1,OX1,Total,6977,3505,1926,1579,84,7010,1026,575,451,2052,2157,1939,74,67,77,4314
OX10,OX10,Total,10462,7032,3702,3330,121,14064,1554,227,1327,3108,1626,1014,340,74,198,3252
OX11,OX11,Total,13420,9566,4030,5536,141,19132,1748,276,1472,3496,1833,1637,69,97,30,3666
OX12,OX12,Total,10439,7338,3727,3611,196,14676,1474,211,1263,2948,1271,1067,82,76,46,2542
OX13,OX13,Total,4977,3528,1876,1652,19,7056,593,96,497,1186,755,412,206,22,115,1510
OX14,OX14,Total,18423,12811,6193,6618,172,25622,2688,586,2102,5376,2437,2239,45,109,44,4874
OX15,OX15,Total,7383,5840,3187,2653,50,11680,556,83,473,1112,768,655,37,54,22,1536
OX16,OX16,Total,19125,11344,4679,6665,179,22688,3446,764,2682,6892,3930,3696,26,176,32,7860
OX17,OX17,Total,7065,5378,2811,2567,33,10756,720,171,549,1440,777,690,23,42,22,1554
OX18,OX18,Total,9968,6286,2782,3504,135,12572,1163,152,1011,2326,2213,1358,490,77,288,4426
OX2,OX2,Total,15735,9381,5482,3899,141,18762,1642,889,753,3284,4181,3757,139,131,154,8362
OX20,OX20,Total,2107,1434,800,634,16,2868,216,31,185,432,393,342,24,18,9,786
OX25,OX25,Total,3425,2255,1073,1182,25,4510,277,49,228,554,815,595,107,23,90,1630
OX26,OX26,Total,13217,9515,3335,6180,69,19030,1517,289,1228,3034,1981,1844,14,101,22,3962
OX27,OX27,Total,2509,1753,688,1065,11,3506,230,45,185,460,354,292,25,20,17,708
OX28,OX28,Total,11421,7700,3282,4418,263,15400,1830,173,1657,3660,1525,1385,26,98,16,3050
OX29,OX29,Total,9390,7374,4046,3328,47,14748,871,153,718,1742,961,836,32,67,26,1922
OX3,OX3,Total,16633,8498,4548,3950,177,16996,3570,2474,1096,7140,4117,3840,62,158,57,8234
OX33,OX33,Total,3146,2460,1425,1035,12,4920,253,41,212,506,376,335,13,19,9,752
OX39,OX39,Total,2734,2354,1182,1172,21,4708,151,19,132,302,179,163,1,11,4,358
OX4,OX4,Total,23740,10534,4715,5819,602,21068,6126,3691,2435,12252,6160,5793,32,225,110,12320
OX44,OX44,Total,3286,2487,1323,1164,23,4974,339,58,281,678,365,312,11,17,25,730
OX49,OX49,Total,1789,1239,657,582,11,2478,196,24,172,392,304,277,11,12,4,608
OX5,OX5,Total,9517,7239,3815,3424,98,14478,844,216,628,1688,1187,1075,17,83,12,2374
OX7,OX7,Total,9811,6967,3808,3159,76,13934,1237,213,1024,2474,1257,1121,52,70,14,2514
OX9,OX9,Total,5591,4272,2058,2214,43,8544,573,71,502,1146,646,584,16,39,7,1292
PE1,PE1,Total,18478,8802,4027,4775,153,17604,4567,1692,2875,9134,4700,4395,40,190,75,9400
PE10,PE10,Total,9083,6722,3255,3467,144,13444,961,715,246,1922,1099,987,26,72,14,2198
PE11,PE11,Total,18144,12654,6623,6031,183,25308,2417,1929,488,4834,2649,2361,91,170,27,5298
PE12,PE12,Total,16924,12723,7196,5527,70,25446,2034,1662,372,4068,1836,1612,60,119,45,3672
PE13,PE13,Total,14762,9538,5094,4444,85,19076,2506,523,1983,5012,2414,2211,25,146,32,4828
PE14,PE14,Total,8577,6665,3546,3119,37,13330,884,193,691,1768,845,719,23,89,14,1690
PE15,PE15,Total,12757,9252,4839,4413,60,18504,1291,189,1102,2582,1964,1807,21,118,18,3928
PE16,PE16,Total,4537,3242,1439,1803,26,6484,450,65,385,900,767,698,2,58,9,1534
PE19,PE19,Total,18431,13160,5903,7257,154,26320,2550,554,1996,5100,2398,2168,27,173,30,4796
PE2,PE2,Total,19084,11804,4948,6856,142,23608,3454,1040,2414,6908,3485,3235,18,195,37,6970
PE20,PE20,Total,5934,4069,2172,1897,45,8138,1099,346,753,2198,645,569,27,37,12,1290
PE21,PE21,Total,18202,10977,5734,5243,168,21954,3412,1190,2222,6824,3407,3159,27,167,54,6814
PE22,PE22,Total,7039,5384,3108,2276,47,10768,800,223,577,1600,651,530,58,46,17,1302
PE23,PE23,Total,3734,2611,1608,1003,22,5222,383,106,277,766,651,568,26,49,8,1302
PE24,PE24,Total,5452,3912,2585,1327,53,7824,530,156,374,1060,840,737,20,78,5,1680
PE25,PE25,Total,9842,5425,3349,2076,122,10850,1554,395,1159,3108,2634,2473,33,113,15,5268
PE26,PE26,Total,4901,3444,1552,1892,13,6888,659,157,502,1318,704,635,7,53,9,1408
PE27,PE27,Total,8500,6231,2904,3327,59,12462,813,128,685,1626,1334,1235,14,73,12,2668
PE28,PE28,Total,18873,14284,6788,7496,80,28568,1744,303,1441,3488,2538,2056,196,148,138,5076
PE29,PE29,Total,12030,7392,2903,4489,153,14784,2372,485,1887,4744,1999,1825,51,89,34,3998
PE3,PE3,Total,11403,6707,3250,3457,43,13414,2613,863,1750,5226,1929,1765,20,103,41,3858
PE30,PE30,Total,18218,10998,5305,5693,134,21996,3710,969,2741,7420,3119,2843,30,184,62,6238
PE31,PE31,Total,9533,6821,4725,2096,35,13642,993,156,837,1986,1368,1221,38,75,34,2736
PE32,PE32,Total,6597,4657,2768,1889,26,9314,915,233,682,1830,818,710,48,57,3,1636
PE33,PE33,Total,6218,4442,2439,2003,10,8884,488,82,406,976,1164,645,309,45,165,2328
PE34,PE34,Total,5928,4583,2441,2142,20,9166,647,140,507,1294,569,486,23,46,14,1138
PE36,PE36,Total,3199,2260,1666,594,8,4520,324,53,271,648,544,492,16,31,5,1088
PE37,PE37,Total,4612,3102,2031,1071,27,6204,795,135,660,1590,612,543,17,47,5,1224
PE38,PE38,Total,6582,4665,2817,1848,30,9330,783,187,596,1566,983,892,18,57,16,1966
PE4,PE4,Total,12260,8165,3504,4661,107,16330,2216,700,1516,4432,1663,1522,7,115,19,3326
PE5,PE5,Total,675,490,271,219,9,980,51,15,36,102,91,85,2,3,1,182
PE6,PE6,Total,14741,11567,5427,6140,96,23134,1395,747,648,2790,1497,1321,29,127,20,2994
PE7,PE7,Total,17226,11872,4792,7080,252,23744,2152,483,1669,4304,2781,2568,16,173,24,5562
PE8,PE8,Total,6734,4333,2269,2064,43,8666,835,154,681,1670,1382,953,239,46,144,2764
PE9,PE9,Total,13764,9446,4940,4506,114,18892,1915,1307,608,3830,2059,1895,41,96,27,4118
PL1,PL1,Total,11405,2942,1321,1621,124,5884,4313,1706,2607,8626,3880,3639,26,146,69,7760
PL10,PL10,Total,1664,1143,716,427,14,2286,245,171,74,490,226,202,4,18,2,452
PL11,PL11,Total,4583,3217,1725,1492,11,6434,566,404,162,1132,741,601,54,54,32,1482
PL12,PL12,Total,9384,6922,3502,3420,82,13844,1088,834,254,2176,1169,1024,23,99,23,2338
PL13,PL13,Total,4400,3112,2000,1112,19,6224,501,421,80,1002,669,572,13,71,13,1338
PL14,PL14,Total,10033,6888,3855,3033,60,13776,1363,976,387,2726,1559,1368,14,157,20,3118
PL15,PL15,Total,8367,5750,3335,2415,52,11500,842,553,289,1684,1572,1424,22,112,14,3144
PL16,PL16,Total,717,538,300,238,2,1076,58,28,30,116,104,94,2,7,1,208
PL17,PL17,Total,4277,3118,1805,1313,53,6236,409,218,191,818,618,555,5,51,7,1236
PL18,PL18,Total,2122,1587,926,661,25,3174,215,163,52,430,260,229,0,25,6,520
PL19,PL19,Total,7145,5205,3103,2102,57,10410,723,204,519,1446,1042,963,10,61,8,2084
PL2,PL2,Total,13523,7684,3161,4523,68,15368,3067,1687,1380,6134,2547,2303,15,186,43,5094
PL20,PL20,Total,4994,3775,2240,1535,26,7550,533,148,385,1066,603,493,22,62,26,1206
PL21,PL21,Total,7097,5444,2616,2828,75,10888,616,94,522,1232,882,786,13,71,12,1764
PL22,PL22,Total,1626,1137,732,405,12,2274,148,58,90,296,291,267,3,19,2,582
PL23,PL23,Total,1668,1130,756,374,10,2260,219,119,100,438,282,258,3,14,7,564
PL24,PL24,Total,4224,3016,1651,1365,12,6032,502,135,367,1004,634,547,5,72,10,1268
PL25,PL25,Total,10899,7532,4245,3287,119,15064,1320,302,1018,2640,1785,1599,14,152,20,3570
PL26,PL26,Total,11096,7877,4421,3456,144,15754,1006,264,742,2012,1942,1760,29,134,19,3884
PL27,PL27,Total,5266,3539,2253,1286,42,7078,652,467,185,1304,921,772,34,98,17,1842
PL28,PL28,Total,1965,1333,893,440,9,2666,340,229,111,680,242,200,14,27,1,484
PL29,PL29,Total,479,314,223,91,2,628,91,64,27,182,52,39,5,8,0,104
PL3,PL3,Total,12949,8871,3833,5038,86,17742,1751,656,1095,3502,2106,1874,36,155,41,4212
PL30,PL30,Total,4423,3448,2313,1135,14,6896,330,215,115,660,524,452,11,53,8,1048
PL31,PL31,Total,6246,3771,1891,1880,25,7542,1258,924,334,2516,1124,1013,21,80,10,2248
PL32,PL32,Total,1779,1228,765,463,16,2456,215,137,78,430,279,242,5,29,3,558
PL33,PL33,Total,722,493,288,205,2,986,109,45,64,218,106,96,0,8,2,212
PL34,PL34,Total,817,602,423,179,2,1204,42,35,7,84,152,141,0,11,0,304
PL35,PL35,Total,454,340,225,115,2,680,37,22,15,74,66,48,3,10,5,132
PL4,PL4,Total,14651,5550,2397,3153,134,11100,1712,489,1223,3424,7075,6656,40,325,54,14150
PL5,PL5,Total,18384,10049,4322,5727,154,20098,5926,3140,2786,11852,2035,1780,29,178,48,4070
PL6,PL6,Total,17136,11967,5820,6147,105,23934,3009,1340,1669,6018,1885,1346,252,134,153,3770
PL7,PL7,Total,12933,10316,4840,5476,123,20632,910,201,709,1820,1487,1220,85,126,56,2974
PL8,PL8,Total,2572,1834,1178,656,46,3668,296,45,251,592,355,322,9,16,8,710
PL9,PL9,Total,12030,9707,5534,4173,93,19414,571,206,365,1142,1537,1083,211,108,135,3074
PO1,PO1,Total,12408,4230,1775,2455,231,8460,4733,3326,1407,9466,2990,2686,75,151,78,5980
PO10,PO10,Total,7969,5837,3644,2193,47,11674,857,122,735,1714,1117,832,124,40,121,2234
PO11,PO11,Total,7959,6167,3732,2435,24,12334,610,81,529,1220,1078,963,15,86,14,2156
PO12,PO12,Total,21171,13978,6267,7711,239,27956,3034,1810,1224,6068,3705,3179,175,250,101,7410
PO13,PO13,Total,14259,9137,4146,4991,142,18274,2781,1487,1294,5562,2072,1327,393,132,220,4144
PO14,PO14,Total,13558,10631,5405,5226,105,21262,1295,945,350,2590,1398,1052,157,101,88,2796
PO15,PO15,Total,9389,7311,3030,4281,64,14622,886,504,382,1772,1042,912,29,76,25,2084
PO16,PO16,Total,14011,11419,5869,5550,51,22838,1026,635,391,2052,1389,1247,14,110,18,2778
PO17,PO17,Total,2687,1641,796,845,68,3282,362,231,131,724,556,468,39,15,34,1112
PO18,PO18,Total,5588,3855,2344,1511,44,7710,711,103,608,1422,815,688,67,45,15,1630
PO19,PO19,Total,13795,8003,4902,3101,151,16006,2832,417,2415,5664,2606,2293,83,138,92,5212
PO2,PO2,Total,17358,10577,4022,6555,141,21154,2601,1532,1069,5202,3849,3420,100,243,86,7698
PO20,PO20,Total,14137,10661,6399,4262,130,21322,1443,234,1209,2886,1679,1505,43,111,20,3358
PO21,PO21,Total,17975,12299,7299,5000,142,24598,1587,708,879,3174,3756,3521,23,175,37,7512
PO22,PO22,Total,12588,9873,5633,4240,78,19746,1053,699,354,2106,1450,1326,2,108,14,2900
PO3,PO3,Total,7812,5856,2473,3383,87,11712,623,254,369,1246,1183,1048,8,109,18,2366
PO30,PO30,Total,12304,8387,4436,3951,56,16774,1714,200,1514,3428,2014,1795,28,165,26,4028
PO31,PO31,Total,6471,4761,2604,2157,18,9522,424,28,396,848,1175,1074,10,88,3,2350
PO32,PO32,Total,3561,2395,1291,1104,42,4790,527,48,479,1054,570,517,4,36,13,1140
PO33,PO33,Total,13934,9256,5196,4060,101,18512,1397,144,1253,2794,3016,2798,26,168,24,6032
PO34,PO34,Total,1075,917,676,241,6,1834,23,3,20,46,109,100,0,9,0,218
