Geography,Geography Code,Rural Urban,Tenure: All categories: Tenure; measures: Value,Tenure: Owned: Total; measures: Value,Tenure: Owned: Owned outright; measures: Value,Tenure: Owned: Owned with a mortgage or loan; measures: Value,Tenure: Shared ownership (part owned and part rented); measures: Value,OOS,Tenure: Social rented: Total; measures: Value,Tenure: Social rented: Rented from council (Local Authority); measures: Value,Tenure: Social rented: Other social rented; measures: Value,SRS,Tenure: Private rented: Total; measures: Value,Tenure: Private rented: Private landlord or letting agency; measures: Value,Tenure: Private rented: Employer of a household member; measures: Value,Tenure: Private rented: Relative or friend of household member; measures: Value,Tenure: Private rented: Other; measures: Value,PRS
BA21,BA21,Total,14341,9149,4218,4931,146,18298,2749,968,1781,5498,2146,1802,110,153,81,4292
BA22,BA22,Total,7250,5191,2864,2327,34,10382,754,212,542,1508,1131,780,192,60,99,2262
BA3,BA3,Total,13991,10444,5076,5368,43,20888,1662,425,1237,3324,1623,1432,37,133,21,3246
BA4,BA4,Total,7444,5040,2506,2534,84,10080,854,178,676,1708,1316,1196,29,85,6,2632
BA5,BA5,Total,7830,5651,3496,2155,58,11302,827,188,639,1654,1148,1033,16,82,17,2296
BA6,BA6,Total,5646,3881,2255,1626,59,7762,655,131,524,1310,952,858,13,69,12,1904
BA7,BA7,Total,1603,1072,664,408,19,2144,246,61,185,492,238,209,5,20,4,476
BA8,BA8,Total,1791,1259,668,591,16,2518,270,62,208,540,214,189,1,20,4,428
BA9,BA9,Total,3191,2194,1224,970,7,4388,371,104,267,742,542,486,11,37,8,1084
BB1,BB1,Total,24116,15463,8759,6704,83,30926,4762,1517,3245,9524,3397,3043,20,255,79,6794
BB10,BB10,Total,15807,10817,5515,5302,32,21634,1972,514,1458,3944,2757,2473,17,228,39,5514
BB11,BB11,Total,9785,5674,2763,2911,17,11348,1819,525,1294,3638,2132,2000,10,102,20,4264
BB12,BB12,Total,14925,10475,4965,5510,34,20950,1591,416,1175,3182,2644,2418,11,193,22,5288
BB18,BB18,Total,7543,5569,2800,2769,13,11138,569,261,308,1138,1298,1191,8,91,8,2596
BB2,BB2,Total,24118,15527,7282,8245,160,31054,4362,1321,3041,8724,3707,3331,48,253,75,7414
BB3,BB3,Total,14944,10386,4528,5858,77,20772,1586,472,1114,3172,2718,2477,12,187,42,5436
BB4,BB4,Total,17497,12298,5632,6666,53,24596,2559,790,1769,5118,2342,2092,10,213,27,4684
BB5,BB5,Total,25689,16943,8206,8737,53,33886,3737,1206,2531,7474,4632,4225,11,353,43,9264
BB6,BB6,Total,6273,4650,2372,2278,61,9300,479,114,365,958,1018,940,4,67,7,2036
BB7,BB7,Total,13530,9763,5378,4385,65,19526,1328,260,1068,2656,2146,1853,90,163,40,4292
BB8,BB8,Total,10300,6720,3277,3443,21,13440,1539,767,772,3078,1876,1717,6,140,13,3752
BB9,BB9,Total,17629,11668,6459,5209,38,23336,2159,1044,1115,4318,3427,3153,13,232,29,6854
BD1,BD1,Total,1843,278,133,145,19,556,289,84,205,578,1239,1200,2,8,29,2478
BD10,BD10,Total,10863,7066,2618,4448,120,14132,2045,915,1130,4090,1504,1363,7,119,15,3008
BD11,BD11,Total,4868,3793,1743,2050,24,7586,386,250,136,772,611,543,3,62,3,1222
BD12,BD12,Total,7305,5123,2205,2918,22,10246,960,457,503,1920,1102,990,7,94,11,2204
BD13,BD13,Total,10517,7864,3242,4622,52,15728,903,350,553,1806,1567,1408,8,138,13,3134
