Row Labels,Number of schools,Delivery Booked?,% schools booked that booked Bikeability,Levels 1 and 2 places attended (2020/21),Level 3 Places Attended (2020/21),Sum of Plus Places Attended (2020),Total Places attended (2020/21),No Delivery due to Covid
NE22,9,1,11,0,0,0,0,Yes
NR17,9,1,11,0,0,0,0,Yes
NR35,9,1,11,0,0,0,0,Yes
B17,10,1,10,0,0,0,0,Yes
DH8,20,2,10,0,0,0,0,Yes
HX1,10,1,10,0,0,0,0,Yes
KT11,10,1,10,0,0,0,0,Yes
KT20,10,1,10,0,0,0,0,Yes
YO25,20,2,10,0,0,0,0,Yes
B23,22,2,9,0,0,0,0,Yes
B98,22,2,9,0,0,0,0,Yes
BD10,11,1,9,0,0,0,0,Yes
BS10,11,1,9,0,0,0,0,Yes
CH4,11,1,9,0,0,0,0,Yes
GU5,11,1,9,0,0,0,0,Yes
NE24,11,1,9,0,0,0,0,Yes
SR7,11,1,9,0,0,0,0,Yes
B20,13,1,8,0,0,0,0,Yes
BD2,12,1,8,0,0,0,0,Yes
BS3,12,1,8,0,0,0,0,Yes
CV12,12,1,8,0,0,0,0,Yes
DY3,12,1,8,0,0,0,0,Yes
GU15,12,1,8,0,0,0,0,Yes
HU12,13,1,8,0,0,0,0,Yes
MK14,12,1,8,0,0,0,0,Yes
NG23,13,1,8,0,0,0,0,Yes
SO18,13,1,8,0,0,0,0,Yes
YO11,13,1,8,0,0,0,0,Yes
YO24,12,1,8,0,0,0,0,Yes
HA6,14,1,7,0,0,0,0,Yes
MK6,15,1,7,0,0,0,0,Yes
NR11,14,1,7,0,0,0,0,Yes
SS0,14,1,7,0,0,0,0,Yes
YO21,14,1,7,0,0,0,0,Yes
B15,18,1,6,0,0,0,0,Yes
B21,16,1,6,0,0,0,0,Yes
B33,16,1,6,0,0,0,0,Yes
BS5,17,1,6,0,0,0,0,Yes
IP1,18,1,6,0,0,0,0,Yes
ME15,18,1,6,0,0,0,0,Yes
B11,19,1,5,0,0,0,0,Yes
B13,22,1,5,0,0,0,0,Yes
HG4,19,1,5,0,0,0,0,Yes
LE10,20,1,5,0,0,0,0,Yes
PE30,21,1,5,0,0,0,0,Yes
S65,20,1,5,0,0,0,0,Yes
WV14,22,1,5,0,0,0,0,Yes
SL2,23,1,4,0,0,0,0,Yes
 M3,1,,,,,,0,
 NW3,1,,,,,,0,
 RG8,1,,,,,,0,
 SW17,1,,,,,,0,
AL1,22,4,,23,0,0,23,
AL10,13,2,,88,18,0,106,
AL2,7,3,,28,0,0,28,
AL3,18,9,,260,0,0,260,
AL4,13,3,,156,0,0,156,
AL5,21,7,,222,0,0,222,
AL6,6,2,,45,19,0,64,
AL7,13,2,,35,0,0,35,
AL8,9,3,,92,0,0,92,
B1,3,,,,,,0,
B10,14,,,,,,0,
B12,17,2,,98,0,32,130,
B14,20,5,,103,16,12,131,
B16,7,,,,,,0,
B18,10,,,,,,0,
B19,16,,,,,,0,
B24,10,3,,96,0,23,119,
B26,12,,,,,,0,
B27,9,,,,,,0,
B28,10,3,,29,0,4,33,
B29,20,4,,333,8,42,383,
B30,13,2,,146,0,0,146,
B31,21,3,,88,0,0,88,
B35,7,,,,,,0,
B36,19,3,,28,0,0,28,
B37,14,6,,180,0,0,180,
B4,1,,,,,,0,
B43,10,,,,,,0,
B45,17,5,,171,0,10,181,
B46,7,1,,93,0,0,93,
B48,2,,,,,,0,
B49,10,3,,18,0,0,18,
B5,2,,,,,,0,
B50,1,1,,30,0,0,30,
B6,15,2,,95,18,12,125,
B60,12,3,,26,0,0,26,
B65,8,1,,24,0,0,24,
B66,10,1,,25,0,0,25,
B67,9,2,,42,0,0,42,
B68,15,3,,20,0,0,20,
B69,12,3,,57,0,0,57,
B7,10,2,,12,0,0,12,
B70,13,1,,30,0,0,30,
B71,12,2,,33,0,0,33,
B72,5,2,,28,0,0,28,
B73,8,2,,30,0,34,64,
B74,10,2,,140,0,0,140,
B76,8,2,,19,0,23,42,
B77,24,4,,112,19,31,162,
B78,10,,,,,,0,
B79,16,3,,266,0,54,320,
B80,5,,,,,,0,
B90,19,8,,190,0,0,190,
B92,14,6,,68,0,0,68,
B93,7,3,,374,0,0,374,
B94,4,3,,14,0,0,14,
B95,6,4,,61,0,0,61,
B96,3,,,,,,0,
B97,11,,,,,,0,
BA1,17,2,,29,0,0,29,
BA10,4,1,,6,0,0,6,
BA11,20,2,,24,0,0,24,
BA12,17,6,,68,0,0,68,
BA14,24,11,,104,0,0,104,
BA15,5,2,,12,0,0,12,
BA16,7,3,,43,0,0,43,
BA2,35,2,,24,0,0,24,
BA20,3,3,,72,0,0,72,
BA21,15,1,,42,0,0,42,
BA22,11,2,,48,0,0,48,
BA3,24,6,,150,0,0,150,
BA4,10,3,,42,0,0,42,
BA5,12,7,,117,0,0,117,
BA6,9,3,,64,0,0,64,
BA7,3,,,,,,0,
BA8,4,2,,25,0,0,25,
BA9,3,,,,,,0,
BB1,35,6,,117,0,30,147,
BB10,20,10,,327,71,192,590,
BB11,15,8,,358,25,87,470,
BB12,26,15,,787,99,216,1102,
BB2,38,8,,422,33,32,487,
BB3,20,4,,135,0,0,135,
BB4,27,10,,60,0,0,60,
BB5,37,17,,219,30,90,339,
BB6,7,3,,79,7,0,86,
BB7,25,10,,43,0,179,222,
BB8,15,2,,32,0,0,32,
BD1,1,,,,,,0,
BD11,2,1,,22,0,0,22,
BD12,6,2,,46,0,0,46,
BD14,4,1,,46,0,6,52,
BD15,6,3,,44,0,0,44,
BD16,13,4,,92,10,5,107,
BD17,5,2,,134,0,0,134,
BD19,9,5,,66,0,28,94,
BD20,16,2,,27,0,0,27,
BD21,10,3,,129,0,63,192,
BD22,14,3,,80,0,0,80,
BD23,27,7,,94,0,0,94,
BD24,4,1,,15,0,0,15,
BD4,17,2,,111,0,40,151,
BD5,24,,,,,,0,
BD6,10,1,,25,0,0,25,
BD7,10,,,,,,0,
BD8,20,1,,127,0,24,151,
BD9,17,4,,114,0,0,114,
BH1,3,,,,,,0,
BH12,11,5,,12,0,0,12,
BH13,1,,,,,,0,
BH14,5,2,,48,0,0,48,
BH15,10,5,,10,0,0,10,
BH16,6,3,,26,0,0,26,
BH17,10,3,,23,0,0,23,
BH19,6,1,,7,9,0,16,
BH2,3,,,,,,0,
BH20,11,3,,99,0,0,99,
BH21,26,4,,5,9,0,14,
BH22,7,2,,25,0,0,25,
BH23,19,9,,108,103,0,211,
BH24,10,1,,18,0,0,18,
BH25,8,2,,50,9,0,59,
BH3,1,1,,30,0,0,30,
BH31,4,,,,,,0,
BH4,1,,,,,,0,
BH6,4,1,,12,0,0,12,
BH7,4,,,,,,0,
BH8,9,,,,,,0,
BH9,7,3,,38,0,0,38,
BL0,10,3,,35,0,0,35,
BL1,32,14,,282,14,104,400,
BL2,20,4,,23,0,0,23,
BL3,38,10,,142,2,60,204,
BL4,21,7,,110,4,66,180,
BL5,11,4,,0,0,8,8,
BL6,14,4,,89,0,0,89,
BL7,9,2,,52,12,39,103,
BL8,20,9,,151,0,0,151,
BL9,28,11,,71,0,0,71,
BN1,29,8,,100,0,28,128,
BN10,4,2,,86,0,0,86,
BN11,10,1,,60,0,0,60,
BN12,8,3,,115,0,0,115,
BN13,8,1,,3,0,0,3,
BN14,12,3,,138,0,0,138,
BN15,9,1,,60,0,0,60,
BN16,8,1,,60,0,0,60,
BN17,7,2,,122,0,0,122,
BN18,9,3,,68,0,0,68,
BN2,27,8,,0,0,30,30,
BN20,10,1,,0,0,144,144,
BN21,4,1,,46,0,0,46,
BN22,13,1,,29,0,16,45,
BN23,9,4,,26,0,0,26,
BN24,3,2,,12,0,0,12,
BN26,2,,,,,,0,
BN27,11,4,,48,0,0,48,
BN41,9,5,,65,0,48,113,
BN42,2,,,,,,0,
BN43,9,,,,,,0,
BN44,4,,,,,,0,
BN5,1,1,,31,0,0,31,
BN6,8,2,,53,0,0,53,
BN7,11,8,,50,0,0,50,
BN8,12,8,,151,0,0,151,
BN9,6,2,,48,0,12,60,
BR1,23,,,,,,0,
BR2,18,,,,,,0,
BR3,19,,,,,,0,
BR4,8,,,,,,0,
BR5,16,,,,,,0,
BR6,19,,,,,,0,
BR7,11,,,,,,0,
BR8,11,2,,36,0,0,36,
BS1,5,1,,12,0,0,12,
BS11,11,4,,78,0,0,78,
BS13,13,3,,86,0,0,86,
BS14,11,,,,,,0,
BS15,16,4,,0,54,0,54,
BS16,34,10,,86,0,25,111,
BS2,9,1,,12,0,0,12,
BS20,10,5,,214,12,0,226,
BS21,7,2,,124,0,0,124,
BS22,13,6,,181,36,0,217,
BS23,11,4,,76,0,0,76,
BS24,11,4,,125,0,0,125,
BS25,5,1,,0,42,0,42,
BS26,2,,,,,,0,
BS27,4,,,,,,0,
BS28,2,1,,3,0,0,3,
BS29,1,,,,,,0,
BS30,13,7,,54,73,25,152,
BS31,11,1,,24,0,0,24,
BS32,12,7,,114,0,25,139,
BS34,12,3,,48,0,0,48,
BS35,16,7,,110,0,25,135,
BS36,6,5,,31,0,0,31,
BS37,20,4,,33,41,0,74,
BS39,9,1,,49,0,0,49,
BS4,19,3,,38,0,0,38,
BS40,10,2,,65,0,0,65,
BS41,3,,,,,,0,
BS48,14,4,,88,24,10,122,
BS49,4,,,,,,0,
BS6,13,4,,125,0,0,125,
BS7,15,4,,42,0,0,42,
BS8,8,,,,,,0,
BS9,11,6,,77,0,0,77,
CA1,10,4,,47,0,0,47,
CA10,15,7,,80,0,0,80,
CA11,14,8,,60,0,0,60,
CA12,6,4,,108,0,0,108,
CA13,9,6,,104,0,0,104,
CA14,21,7,,95,0,0,95,
CA15,13,5,,97,0,0,97,
CA16,6,5,,41,0,0,41,
CA17,3,3,,6,17,0,23,
CA19,1,1,,9,0,0,9,
CA2,15,5,,77,0,0,77,
CA20,2,1,,23,0,0,23,
CA21,1,1,,6,0,0,6,
CA22,5,3,,34,0,0,34,
CA23,1,,,,,,0,
CA24,1,,,,,,0,
CA25,3,1,,19,0,0,19,
CA26,5,1,,9,0,0,9,
CA28,17,5,,42,0,0,42,
CA3,6,2,,19,0,0,19,
CA4,9,4,,60,0,0,60,
CA5,9,5,,53,0,0,53,
CA6,8,4,,60,0,0,60,
CA7,21,7,,79,0,0,79,
CA8,10,4,,63,0,0,63,
CA9,3,,,,,,0,
CB1,21,11,,204,23,0,227,
CB10,6,6,,32,0,0,32,
CB11,11,9,,58,56,29,143,
CB2,16,7,,224,7,0,231,
CB21,15,5,,96,0,0,96,
CB22,12,9,,287,0,0,287,
CB23,16,15,,627,22,0,649,
CB24,18,8,,302,0,0,302,
CB25,6,4,,75,0,0,75,
CB3,6,5,,23,0,0,23,
CB4,17,7,,64,0,0,64,
CB5,4,2,,18,0,0,18,
CB6,19,8,,188,0,0,188,
CB8,15,6,,117,0,0,117,
CB9,15,2,,12,0,0,12,
CH1,13,3,,38,0,0,38,
CH2,17,7,,162,84,0,246,
CH3,20,4,,132,0,0,132,
CH41,13,2,,10,0,0,10,
CH42,8,1,,12,0,0,12,
CH43,17,2,,75,0,0,75,
CH44,9,2,,34,0,0,34,
CH45,10,,,,,,0,
CH46,11,1,,5,0,0,5,
CH47,2,,,,,,0,
CH48,9,,,,,,0,
CH49,17,1,,0,44,0,44,
CH60,4,,,,,,0,
CH61,7,2,,26,0,0,26,
CH62,9,5,,183,0,0,183,
CH63,15,1,,66,0,0,66,
CH64,7,1,,15,0,0,15,
CH65,14,,,,,,0,
CH66,13,4,,28,0,0,28,
CM1,28,9,,65,36,0,101,
CM11,7,2,,72,0,0,72,
CM12,9,5,,84,0,0,84,
CM13,11,6,,53,22,0,75,
CM14,5,1,,31,0,0,31,
CM15,17,5,,33,0,0,33,
CM16,9,6,,105,18,0,123,
CM17,10,4,,55,0,0,55,
CM18,15,4,,17,0,0,17,
CM19,7,5,,13,0,0,13,
CM2,27,10,,190,20,0,210,
CM20,10,6,,21,0,0,21,
CM22,9,4,,31,0,0,31,
CM23,22,7,,37,0,0,37,
CM3,28,13,,260,0,0,260,
CM4,6,1,,16,0,0,16,
CM6,11,6,,139,0,30,169,
CM7,18,7,,99,0,0,99,
CM77,5,2,,88,0,0,88,
CM8,14,6,,59,0,0,59,
CM9,12,4,,76,0,0,76,
CO1,4,4,,60,0,0,60,
CO10,24,6,,28,0,0,28,
CO11,7,3,,70,0,0,70,
CO12,9,4,,11,0,0,11,
CO14,2,2,,32,0,0,32,
CO15,12,3,,96,0,0,96,
CO16,9,4,,9,0,0,9,
CO3,22,7,,107,0,0,107,
CO4,21,6,,29,0,0,29,
CO5,12,3,,71,0,0,71,
CO6,17,7,,62,0,0,62,
CO7,15,3,,58,0,0,58,
CO9,17,5,,21,0,0,21,
CR0,58,,,,,,0,
CR2,20,,,,,,0,
CR3,18,3,,13,0,0,13,
CR4,24,,,,,,0,
CR5,9,,,,,,0,
CR6,4,,,,,,0,
CR7,18,,,,,,0,
CR8,15,,,,,,0,
CR9,6,,,,,,0,
CT1,13,2,,50,0,0,50,
CT10,15,2,,40,0,0,40,
CT11,11,2,,45,0,0,45,
CT12,10,,,,,,0,
CT13,6,1,,36,0,0,36,
CT14,15,2,,72,0,0,72,
CT15,11,3,,72,0,0,72,
CT16,12,3,,216,0,0,216,
CT17,10,,,,,,0,
CT18,4,1,,31,0,0,31,
CT19,16,1,,0,20,0,20,
CT2,13,1,,24,0,0,24,
CT20,7,1,,27,0,0,27,
CT21,7,,,,,,0,
CT3,13,8,,205,0,0,205,
CT4,10,3,,97,0,0,97,
CT5,8,2,,104,0,0,104,
CT6,9,3,,127,0,0,127,
CT7,4,,,,,,0,
CT8,4,1,,34,0,0,34,
CT9,14,,,,,,0,
CV1,15,1,,25,0,0,25,
CV10,23,4,,113,0,0,113,
CV13,10,,,,,,0,
CV2,26,,,,,,0,
CV21,13,4,,138,0,0,138,
CV22,24,3,,74,0,0,74,
CV23,12,5,,94,0,0,94,
CV3,26,3,,125,0,0,125,
CV31,14,5,,102,0,0,102,
CV32,13,2,,91,0,27,118,
CV34,15,4,,39,36,0,75,
CV35,14,3,,50,0,0,50,
CV36,5,2,,66,0,0,66,
CV37,21,2,,18,0,0,18,
CV4,12,,,,,,0,
CV47,12,5,,126,0,0,126,
CV5,13,5,,115,0,0,115,
CV6,32,1,,49,0,0,49,
CV8,13,3,,60,0,0,60,
CV9,15,4,,45,0,0,45,
CW1,16,5,,325,55,15,395,
CW10,6,3,,188,0,0,188,
CW11,11,3,,151,0,0,151,
CW12,15,4,,119,53,5,177,
CW2,16,7,,222,39,54,315,
CW3,6,1,,26,0,0,26,
CW4,5,1,,59,0,0,59,
CW5,16,6,,274,0,0,274,
CW6,9,3,,35,0,1,36,
CW7,14,3,,0,6,0,6,
CW8,23,5,,89,0,0,89,
CW9,16,3,,28,26,0,54,
DA1,21,2,,60,0,0,60,
DA10,4,,,,,,0,
DA11,17,2,,0,0,18,18,
DA12,20,2,,36,0,0,36,
DA13,7,2,,24,0,90,114,
DA14,9,,,,,,0,
DA15,13,,,,,,0,
DA16,14,,,,,,0,
DA17,8,,,,,,0,
DA18,4,,,,,,0,
DA2,12,1,,51,0,0,51,
DA3,9,1,,0,0,18,18,
DA4,3,,,,,,0,
DA5,5,,,,,,0,
DA6,6,,,,,,0,
DA7,9,,,,,,0,
DA8,11,,,,,,0,
DA9,2,,,,,,0,
DE1,7,,,,,,0,
DE11,22,7,,48,0,54,102,
DE12,14,3,,0,0,57,57,
DE13,22,13,,671,41,77,789,
DE14,11,3,,328,0,35,363,
DE15,13,2,,153,0,16,169,
DE21,23,6,,186,0,162,348,
DE22,21,6,,283,0,251,534,
DE23,28,6,,136,0,235,371,
DE24,25,5,,244,0,5,249,
DE3,10,2,,108,0,0,108,
DE4,28,7,,40,0,27,67,
DE45,9,3,,54,0,29,83,
DE5,11,7,,155,0,52,207,
DE55,34,15,,285,0,274,559,
DE56,19,11,,178,0,54,232,
DE6,23,5,,16,0,19,35,
DE65,14,7,,47,0,151,198,
DE7,26,16,,478,33,165,676,
DE72,10,3,,260,0,0,260,
DE73,10,1,,135,0,0,135,
DE74,6,1,,46,0,0,46,
DE75,10,4,,76,0,0,76,
DH1,26,7,,211,0,0,211,
DH2,9,4,,110,0,0,110,
DH3,13,3,,180,0,0,180,
DH4,11,4,,22,0,5,27,
DH6,14,3,,117,0,0,117,
DH7,24,4,,93,0,0,93,
DH9,21,5,,103,0,0,103,
DL1,17,1,,0,0,29,29,
DL10,11,3,,60,0,0,60,
DL11,4,,,,,,0,
DL13,14,2,,115,0,0,115,
DL14,25,2,,68,0,0,68,
DL15,13,4,,34,0,0,34,
DL16,14,2,,15,0,0,15,
DL17,10,2,,19,0,0,19,
DL2,14,3,,43,0,99,142,
DL3,19,3,,0,8,159,167,
DL4,3,1,,26,0,0,26,
DL5,16,,,,,,0,
DL6,8,1,,18,0,0,18,
DL7,13,1,,38,12,0,50,
DL8,17,2,,19,0,0,19,
DN1,4,,,,,,0,
DN10,8,3,,99,0,12,111,
DN11,13,2,,58,0,12,70,
DN12,14,,,,,,0,
DN14,27,5,,40,0,0,40,
DN15,16,4,,156,0,36,192,
DN16,17,3,,154,0,1,155,
DN17,20,4,,68,0,2,70,
DN18,6,3,,51,0,1,52,
DN2,9,,,,,,0,
DN20,10,5,,96,0,2,98,
DN21,26,3,,15,0,56,71,
DN22,21,6,,105,0,24,129,
DN3,14,,,,,,0,
DN31,3,,,,,,0,
DN32,11,4,,54,0,0,54,
DN33,8,2,,73,0,0,73,
DN34,8,2,,10,0,0,10,
DN36,13,2,,103,0,0,103,
DN38,2,,,,,,0,
DN4,21,,,,,,0,
DN40,7,3,,30,0,0,30,
DN41,4,2,,44,0,0,44,
DN5,21,,,,,,0,
DN6,14,,,,,,0,
DN7,10,,,,,,0,
DN8,6,,,,,,0,
DN9,13,4,,112,0,2,114,
DT1,8,1,,6,0,0,6,
DT10,7,,,,,,0,
DT11,21,2,,25,0,0,25,
DT2,15,1,,7,4,0,11,
DT3,9,3,,73,0,0,73,
DT4,12,1,,7,0,0,7,
DT5,2,,,,,,0,
DT6,11,,,,,,0,
DT8,5,1,,17,0,0,17,
DT9,16,1,,12,0,0,12,
DY10,14,6,,53,0,0,53,
DY11,14,3,,62,0,0,62,
DY12,6,2,,52,0,0,52,
DY13,9,5,,119,0,0,119,
DY14,6,4,,13,0,0,13,
DY2,12,,,,,,0,
DY4,19,5,,37,0,0,37,
DY6,13,4,,21,0,0,21,
DY7,4,,,,,,0,
DY8,19,3,,1,0,36,37,
DY9,11,3,,124,0,0,124,
E1,41,,,,,,0,
E10,13,,,,,,0,
E11,12,,,,,,0,
E12,12,,,,,,0,
E13,16,,,,,,0,
E14,30,,,,,,0,
E15,20,,,,,,0,
E16,19,,,,,,0,
E17,39,,,,,,0,
E18,7,,,,,,0,
E1W,4,,,,,,0,
E2,26,,,,,,0,
E20,2,,,,,,0,
E3,21,,,,,,0,
E4,21,,,,,,0,
E5,22,,,,,,0,
E6,23,,,,,,0,
E7,21,,,,,,0,
E8,12,,,,,,0,
E9,15,,,,,,0,
EC1M,2,,,,,,0,
EC1N,1,,,,,,0,
EC1R,3,,,,,,0,
EC1V,4,,,,,,0,
EC1Y,1,,,,,,0,
EC2A,2,,,,,,0,
EC2Y,1,,,,,,0,
EC3A,1,,,,,,0,
EC3N,1,,,,,,0,
EC4M,1,,,,,,0,
EC4V,1,,,,,,0,
EN1,17,,,,,,0,
EN10,4,3,,28,0,0,28,
EN2,9,,,,,,0,
EN3,25,,,,,,0,
EN4,14,,,,,,0,
EN5,12,,,,,,0,
EN6,18,3,,58,0,0,58,
EN7,9,1,,24,0,0,24,
EN8,16,,,,,,0,
EN9,6,3,,132,24,0,156,
EX1,13,6,,124,0,0,124,
EX11,3,3,,85,0,0,85,
EX12,3,3,,41,0,0,41,
EX13,10,6,,22,0,0,22,
EX14,10,9,,105,0,7,112,
EX15,12,7,,132,0,0,132,
EX16,20,15,,85,24,0,109,
EX17,12,7,,101,0,0,101,
EX18,2,,,,,,0,
EX2,21,9,,102,39,1,142,
EX20,13,7,,197,0,1,198,
EX21,6,6,,23,0,0,23,
EX22,8,6,,39,0,10,49,
EX23,9,5,,102,0,0,102,
EX31,15,6,,43,110,0,153,
EX32,16,3,,40,0,0,40,
EX33,5,4,,14,0,0,14,
EX34,7,2,,24,0,0,24,
