Row Labels,Number of schools,L1 and L2 (number of places delivered 2020/21),L3 (number of places delivered 2020/21 ), Plus (number of places delivered 2020/21),Average L1 and L2 places per school
LS6,8,61,0,1,7.6
LS7,11,73,0,72,6.6
LS8,10,36,0,160,3.6
LS9,16,0,0,210,0
LU1,26,84,0,0,3.2
LU2,22,75,0,0,3.4
LU3,23,108,0,116,4.7
LU4,22,77,0,0,3.5
LU5,27,84,0,0,3.1
LU6,20,92,0,0,4.6
LU7,34,586,35,90,17.2
M11,20,44,0,0,2.2
M12,15,52,0,0,3.5
M13,12,58,0,0,4.8
M14,19,75,0,0,3.9
M15,8,285,0,0,35.6
M16,19,166,0,55,8.7
M18,10,,,,0
M19,13,27,0,0,2.1
M2,1,,,,0
M20,23,89,0,0,3.9
M21,16,63,0,0,3.9
M22,17,0,0,0,0
M23,17,81,0,30,4.8
M24,24,48,30,0,2
M25,16,0,0,0,0
M26,16,108,0,0,6.8
M27,20,34,0,0,1.7
M28,21,54,0,118,2.6
M29,12,60,0,0,5
M3,3,,,,0
M30,25,112,0,0,4.5
M31,5,,,,0
M32,14,56,0,0,4
M33,25,22,0,0,0.9
M34,25,229,0,0,9.2
M35,13,150,0,64,11.5
M38,8,0,0,0,0
M4,5,0,0,0,0
M40,23,61,0,0,2.7
M41,20,,,,0
M43,9,,,,0
M44,10,64,0,0,6.4
M45,10,73,0,45,7.3
M46,12,28,0,0,2.3
M5,6,,,,0
M50,2,,,,0
M6,12,,,,0
M7,34,,,,0
M8,18,62,0,186,3.4
M9,25,65,0,37,2.6
ME1,19,31,0,0,1.6
ME10,19,44,0,186,2.3
ME11,1,,,,0
ME12,9,,,,0
ME13,20,229,0,0,11.5
ME14,15,149,0,88,9.9
ME15,18,0,0,0,0
ME16,16,15,0,0,0.9
ME17,18,84,0,0,4.7
ME18,4,24,0,0,6
ME19,12,,,,0
ME2,22,49,0,0,2.2
ME20,10,58,0,0,5.8
ME3,18,36,0,60,2
ME4,17,16,0,0,0.9
ME5,24,64,0,0,2.7
ME6,4,50,0,0,12.5
ME7,20,20,0,0,1
ME8,23,82,0,0,3.6
ME9,16,166,0,0,10.4
MK10,8,156,0,3,19.5
MK11,3,,,,0
MK12,6,,,,0
MK13,6,,,,0
MK14,12,0,0,0,0
MK15,1,,,,0
MK16,9,60,0,4,6.7
MK17,18,92,25,10,5.1
MK18,26,41,0,0,1.6
MK19,11,0,0,0,0
MK2,8,24,0,0,3
MK3,15,37,0,0,2.5
MK4,4,,,,0
MK40,16,115,0,0,7.2
MK41,25,65,0,0,2.6
MK42,34,91,0,0,2.7
MK43,26,61,0,5,2.3
MK44,22,162,0,15,7.4
MK45,33,169,0,35,5.1
MK46,2,,,,0
MK5,8,30,0,2,3.8
MK6,16,0,0,0,0
MK7,6,,,,0
MK8,9,39,0,0,4.3
MK9,1,,,,0
N1,38,,,,0
N10,13,,,,0
N11,14,,,,0
N12,13,,,,0
N13,7,,,,0
N14,17,,,,0
N15,18,,,,0
N16,42,,,,0
N17,27,,,,0
N18,7,,,,0
N19,10,,,,0
N1C,3,,,,0
N2,8,,,,0
N20,10,,,,0
N21,9,,,,0
N22,17,,,,0
N3,11,,,,0
N4,13,,,,0
N5,9,,,,0
N6,8,,,,0
N7,14,,,,0
N8,16,,,,0
N9,18,,,,0
NE1,1,,,,0
NE10,26,126,0,0,4.8
NE11,6,,,,0
NE12,17,124,0,0,7.3
NE13,8,0,0,0,0
NE15,23,0,0,20,0
NE16,14,162,0,0,11.6
NE17,1,,,,0
NE18,2,0,0,0,0
NE19,1,,,,0
NE2,10,0,0,0,0
NE20,5,,,,0
NE21,6,0,0,0,0
NE22,9,0,0,0,0
NE23,16,0,0,0,0
NE24,11,0,0,0,0
NE25,15,134,0,0,8.9
NE26,6,0,0,0,0
NE27,5,19,0,0,3.8
NE28,22,167,0,0,7.6
NE29,20,129,0,0,6.5
NE3,35,73,0,30,2.1
NE30,11,78,0,0,7.1
NE31,12,101,0,0,8.4
NE32,18,189,0,0,10.5
NE33,10,131,0,0,13.1
NE34,20,284,0,0,14.2
NE35,4,29,0,0,7.3
NE36,5,55,0,0,11
NE37,8,0,0,0,0
NE38,21,23,0,5,1.1
NE39,5,34,0,0,6.8
NE4,22,0,0,0,0
NE40,8,60,0,0,7.5
NE41,1,,,,0
NE42,9,56,0,0,6.2
NE43,2,,,,0
NE44,1,,,,0
NE45,1,,,,0
NE46,11,31,7,0,2.8
NE47,8,,,,0
NE48,5,,,,0
NE49,2,17,0,0,8.5
NE5,20,6,0,0,0.3
NE6,22,0,0,40,0
NE61,20,0,0,101,0
NE62,8,82,0,0,10.3
NE63,11,23,0,0,2.1
NE65,12,,,,0
NE66,10,,,,0
NE67,1,,,,0
NE7,5,0,0,0,0
NE70,1,,,,0
NE71,3,0,0,0,0
NE8,20,82,0,0,4.1
NE9,22,246,0,0,11.2
NG1,4,0,0,0,0
NG10,17,219,33,0,12.9
NG11,18,60,0,12,3.3
NG12,21,123,12,0,5.9
NG13,14,132,0,0,9.4
NG14,12,108,0,48,9
NG15,21,168,6,24,8
NG16,41,420,0,303,10.2
NG17,33,162,0,0,4.9
NG18,17,150,12,120,8.8
NG19,31,279,12,48,9
NG2,21,168,0,0,8
NG20,20,41,0,84,2.1
NG21,13,102,0,48,7.8
NG22,17,81,36,60,4.8
NG23,11,0,0,0,0
NG24,21,198,0,0,9.4
NG25,5,60,0,0,12
NG3,22,78,0,9,3.5
NG31,34,151,21,0,4.4
NG32,12,48,0,0,4
NG33,12,38,0,0,3.2
NG34,23,81,0,0,3.5
NG4,24,216,0,24,9
NG5,46,183,0,24,4
NG6,18,0,0,30,0
NG7,21,0,0,0,0
NG8,31,0,0,0,0
NG9,26,240,0,12,9.2
NN1,14,71,0,0,5.1
NN10,18,67,0,0,3.7
NN11,28,146,0,0,5.2
NN12,19,55,0,0,2.9
NN13,14,73,0,0,5.2
NN14,29,176,0,0,6.1
NN15,23,47,0,0,2
NN16,10,24,0,0,2.4
NN17,14,22,9,14,1.6
NN18,15,23,0,0,1.5
NN2,20,40,0,0,2
NN29,10,73,0,0,7.3
NN3,33,70,0,0,2.1
NN4,22,149,0,0,6.8
NN5,16,66,0,0,4.1
NN6,34,135,0,0,4
NN7,27,105,0,0,3.9
NN8,24,75,0,0,3.1
NN9,15,19,0,9,1.3
NP16,4,56,0,0,14
NP25,2,4,0,0,2
NR1,14,12,6,24,0.9
NR10,12,24,0,0,2
NR11,10,0,0,0,0
NR12,13,28,0,0,2.2
NR13,11,24,0,0,2.2
NR14,16,107,0,0,6.7
NR15,13,0,0,0,0
NR16,9,0,0,0,0
NR17,9,0,0,0,0
NR18,9,0,0,0,0
NR19,14,96,0,25,6.9
NR2,16,158,36,24,9.9
NR20,9,60,0,0,6.7
NR21,8,,,,0
NR22,1,,,,0
NR23,2,,,,0
NR24,2,0,36,0,0
NR25,4,5,0,0,1.3
NR26,3,,,,0
NR27,8,,,,0
NR28,4,,,,0
NR29,11,24,0,36,2.2
NR3,10,,,,0
NR30,9,11,0,0,1.2
NR31,22,9,0,0,0.4
NR32,18,9,0,0,0.5
NR33,16,10,0,0,0.6
NR34,20,78,0,0,3.9
NR35,10,0,0,0,0
NR4,13,121,0,48,9.3
NR5,17,96,0,10,5.6
NR6,14,48,0,30,3.4
NR7,13,0,0,0,0
NR8,12,72,48,90,6
NR9,17,111,14,0,6.5
NW1,23,,,,0
NW10,32,,,,0
NW11,15,,,,0
NW2,20,,,,0
NW3,38,,,,0
NW4,18,,,,0
NW5,14,,,,0
NW6,28,,,,0
NW7,18,,,,0
NW8,13,,,,0
NW9,23,,,,0
OL1,17,210,0,48,12.4
OL10,16,123,0,0,7.7
OL11,20,44,0,100,2.2
OL12,32,121,0,57,3.8
OL13,13,120,0,0,9.2
OL14,9,0,0,0,0
OL15,7,40,0,0,5.7
OL16,22,214,0,27,9.7
OL2,22,60,0,92,2.7
OL3,13,97,0,76,7.5
OL4,18,0,0,30,0
OL5,9,75,0,0,8.3
OL6,22,102,0,0,4.6
OL7,8,85,0,0,10.6
OL8,28,238,28,178,8.5
OL9,27,383,34,213,14.2
OX1,10,,,,0
OX10,19,177,14,0,9.3
OX11,19,233,100,0,12.3
OX12,12,,,,0
OX13,10,27,0,0,2.7
OX14,22,7,0,0,0.3
OX15,14,57,0,0,4.1
OX16,21,30,0,0,1.4
OX17,17,100,0,0,5.9
OX18,15,59,32,0,3.9
OX2,16,,,,0
OX20,6,41,9,0,6.8
OX25,3,,,,0
OX26,18,15,0,0,0.8
OX27,4,10,0,0,2.5
OX28,16,89,6,0,5.6
OX29,20,105,0,0,5.3
OX3,25,114,0,0,4.6
OX33,5,20,0,0,4
OX39,2,,,,0
OX4,30,192,0,15,6.4
OX44,3,,,,0
OX49,2,,,,0
OX5,15,123,0,0,8.2
OX7,18,63,0,0,3.5
OX9,6,18,18,0,3
PE1,27,22,0,0,0.8
PE10,13,119,36,0,9.2
PE11,30,97,0,7,3.2
PE12,26,74,0,40,2.8
PE13,22,31,0,0,1.4
PE14,18,42,0,0,2.3
PE15,11,139,0,0,12.6
PE16,4,0,0,0,0
PE19,31,219,0,0,7.1
PE2,28,171,0,0,6.1
PE20,5,,,,0
PE21,20,40,0,0,2
PE22,16,83,0,0,5.2
PE23,8,,,,0
PE24,5,55,0,0,11
PE25,12,106,0,0,8.8
PE26,9,90,0,0,10
PE27,8,72,0,0,9
PE28,28,150,0,0,5.4
PE29,15,75,0,0,5
PE3,18,34,0,0,1.9
PE30,16,0,0,0,0
PE31,7,9,0,0,1.3
PE32,15,81,22,0,5.4
PE33,8,18,0,0,2.3
PE34,11,32,0,0,2.9
PE36,3,,,,0
PE37,6,,,,0
PE38,9,12,0,0,1.3
PE4,9,29,0,0,3.2
PE5,2,22,0,0,11
PE6,22,219,0,0,10
PE7,22,74,13,0,3.4
PE8,17,62,0,0,3.6
PE9,19,46,0,0,2.4
PL1,18,258,0,135,14.3
PL10,3,0,0,12,0
PL11,8,31,0,18,3.9
PL12,15,186,0,36,12.4
PL13,6,113,0,57,18.8
PL14,23,241,16,145,10.5
PL15,22,178,0,162,8.1
PL16,1,,,,0
PL17,4,78,0,12,19.5
PL18,5,24,0,36,4.8
PL19,16,136,0,29,8.5
PL2,13,113,0,109,8.7
PL20,12,18,0,11,1.5
PL21,13,60,0,9,4.6
PL22,3,,,,0
PL23,3,,,,0
PL24,5,137,0,0,27.4
PL25,12,267,0,0,22.3
PL26,15,127,0,34,8.5
PL27,9,122,0,3,13.6
PL28,2,46,0,20,23
PL29,2,11,0,0,5.5
PL3,10,162,0,103,16.2
PL30,18,126,0,68,7
PL31,7,36,0,0,5.1
PL32,4,20,0,10,5
PL33,1,,,,0
PL34,2,9,0,10,4.5
PL35,2,10,0,0,5
PL4,11,54,117,77,4.9
PL5,29,374,29,173,12.9
PL6,22,359,0,189,16.3
PL7,15,128,5,202,8.5
PL8,7,59,0,0,8.4
PL9,18,306,0,177,17
PO1,13,0,0,0,0
PO10,11,59,0,0,5.4
PO11,7,36,0,0,5.1
PO12,13,200,0,0,15.4
PO13,15,124,0,0,8.3
PO14,20,140,65,0,7
PO15,7,46,0,0,6.6
PO16,10,252,0,0,25.2
PO17,4,27,0,0,6.8
PO18,9,35,0,0,3.9
PO19,16,66,0,0,4.1
PO2,17,69,0,0,4.1
PO20,14,14,0,0,1
PO21,11,105,0,0,9.5
PO22,8,90,0,0,11.3
PO3,3,72,0,0,24
PO30,16,,,,0
PO31,4,,,,0
PO32,2,,,,0
PO33,10,,,,0
PO34,1,,,,0
PO35,1,,,,0
PO36,4,,,,0
PO37,2,,,,0
PO38,6,,,,0
PO39,1,,,,0
PO4,13,102,0,0,7.8
PO40,1,,,,0
PO41,1,,,,0
PO5,8,40,0,0,5
PO6,8,0,0,0,0
PO7,25,122,0,0,4.9
PO8,16,139,0,0,8.7
PO9,23,39,0,0,1.7
PR1,50,43,0,15,0.9
PR2,43,196,0,30,4.6
PR25,26,29,0,98,1.1
PR26,12,97,0,16,8.1
PR3,40,157,30,54,3.9
PR4,53,186,0,30,3.5
PR5,36,129,0,56,3.6
PR6,28,335,0,140,12
PR7,39,434,12,134,11.1
PR8,16,28,0,0,1.8
PR9,17,94,0,0,5.5
RG1,19,0,0,3,0
RG10,18,201,24,0,11.2
RG12,18,20,0,0,1.1
RG14,21,0,0,0,0
RG17,10,91,0,0,9.1
RG18,9,0,0,0,0
RG19,7,0,0,0,0
RG2,26,30,0,0,1.2
RG20,24,96,0,0,4
RG21,21,174,0,0,8.3
RG22,19,132,0,0,6.9
RG23,8,0,0,0,0
RG24,16,161,0,0,10.1
RG25,8,33,0,0,4.1
RG26,13,101,0,0,7.8
RG27,14,54,0,0,3.9
RG28,1,,,,0
RG29,7,37,0,0,5.3
RG30,23,170,24,30,7.4
RG31,12,0,0,0,0
RG4,21,179,111,10,8.5
RG40,23,179,9,4,7.8
RG41,17,99,0,0,5.8
RG42,14,29,0,0,2.1
RG45,7,11,0,0,1.6
RG5,15,11,5,0,0.7
RG6,10,101,0,0,10.1
RG7,27,87,12,0,3.2
RG8,10,50,0,0,5
RG9,10,17,0,0,1.7
RH1,20,34,0,0,1.7
RH10,29,319,0,0,11
RH11,17,96,0,0,5.6
RH12,22,128,0,0,5.8
RH13,26,100,0,0,3.8
RH14,6,,,,0
RH15,13,235,0,0,18.1
RH16,11,,,,0
RH17,18,56,0,0,3.1
RH18,3,,,,0
RH19,14,20,0,0,1.4
RH2,14,,,,0
RH20,9,18,0,0,2
RH3,1,0,0,0,0
RH4,9,150,0,0,16.7
RH5,10,,,,0
RH6,15,71,0,0,4.7
RH7,5,0,0,0,0
RH8,12,33,0,0,2.8
RH9,1,20,0,0,20
RM1,13,,,,0
RM10,13,,,,0
RM11,11,,,,0
RM12,12,,,,0
RM13,11,,,,0
RM14,13,,,,0
RM15,10,51,0,0,5.1
RM16,16,144,0,43,9
RM17,8,92,0,3,11.5
RM18,6,7,0,34,1.2
RM19,2,0,0,0,0
RM2,6,,,,0
RM20,1,0,0,0,0
RM3,14,,,,0
RM4,3,,,,0
RM5,3,,,,0
RM6,13,,,,0
RM7,7,,,,0
RM8,13,,,,0
RM9,14,,,,0
S1,1,,,,0
S10,17,206,0,0,12.1
S11,13,128,0,10,9.8
S12,9,,,,0
S13,11,94,0,12,8.5
S14,1,,,,0
S17,6,30,0,0,5
S18,17,354,0,121,20.8
S2,18,48,0,4,2.7
S20,11,71,0,0,6.5
S21,13,3,0,0,0.2
S25,12,56,0,0,4.7
S26,14,,,,0
S3,6,,,,0
S32,4,19,0,0,4.8
S33,9,0,38,38,0
S35,21,147,0,8,7
S36,20,160,0,0,8
S4,6,,,,0
S40,19,373,7,86,19.6
S41,26,246,25,59,9.5
S42,15,150,2,7,10
S43,21,93,2,24,4.4
S44,15,115,1,3,7.7
S45,8,102,0,8,12.8
S5,18,,,,0
S6,14,44,0,0,3.1
S60,17,,,,0
S61,15,,,,0
S62,13,20,0,0,1.5
S63,17,0,0,46,0
S64,13,,,,0
S65,21,0,0,0,0
S66,18,,,,0
S7,9,40,0,0,4.4
S70,14,22,238,0,1.6
S71,18,65,0,0,3.6
S72,10,22,0,0,2.2
S73,11,88,0,0,8
S74,9,21,80,85,2.3
S75,17,75,0,53,4.4
S8,17,95,0,10,5.6
S80,17,235,0,36,13.8
S81,17,222,0,66,13.1
S9,14,60,0,0,4.3
SE1,26,,,,0
SE10,9,,,,0
SE11,14,,,,0
SE12,10,,,,0
SE13,8,,,,0
SE14,10,,,,0
SE15,28,,,,0
SE16,19,,,,0
SE17,12,,,,0
SE18,27,,,,0
SE19,12,,,,0
SE2,8,,,,0
SE20,6,,,,0
SE21,11,,,,0
SE22,11,,,,0
SE23,14,,,,0
SE24,8,,,,0
SE25,13,,,,0
SE26,9,,,,0
SE27,6,,,,0
SE28,11,,,,0
SE3,18,,,,0
SE4,9,,,,0
SE5,18,,,,0
SE6,18,,,,0
SE7,9,,,,0
SE8,12,,,,0
SE9,29,,,,0
SG1,23,0,0,0,0
SG10,2,,,,0
SG11,11,0,0,0,0
SG12,23,0,0,0,0
SG13,14,34,0,0,2.4
SG14,15,0,0,0,0
SG15,3,0,0,0,0
SG16,7,37,0,0,5.3
SG17,6,56,0,0,9.3
SG18,13,39,0,0,3
SG19,14,20,0,0,1.4
SG2,25,14,0,0,0.6
SG3,3,,,,0
SG4,27,97,0,0,3.6
SG5,24,111,0,0,4.6
SG6,21,37,0,0,1.8
SG7,8,,,,0
SG8,29,118,0,0,4.1
SG9,9,0,0,0,0
SK1,5,,,,0
SK10,26,327,46,46,12.6
SK11,20,115,0,0,5.8
SK12,10,110,0,0,11
SK13,26,84,0,0,3.2
SK14,25,74,0,0,3
SK15,18,144,0,0,8
SK16,13,77,0,0,5.9
SK17,30,48,4,89,1.6
SK2,11,29,0,0,2.6
SK22,15,76,0,0,5.1
SK23,12,23,0,29,1.9
SK3,18,33,0,0,1.8
SK4,22,146,0,0,6.6
SK5,14,30,0,0,2.1
SK6,22,118,0,0,5.4
SK7,17,132,0,0,7.8
SK8,35,48,60,0,1.4
SK9,22,262,65,1,11.9
SL0,5,23,0,0,4.6
SL1,31,36,0,0,1.2
SL2,24,0,0,0,0
SL3,21,,,,0
SL4,31,23,0,0,0.7
SL5,12,,,,0
SL6,43,268,0,0,6.2
SL7,14,24,0,0,1.7
SL8,4,24,0,0,6
SL9,13,96,0,0,7.4
SM1,11,,,,0
SM2,8,0,0,0,0
SM3,9,,,,0
SM4,12,,,,0
SM5,18,,,,0
SM6,15,,,,0
SM7,9,38,0,0,4.2
SN1,12,96,0,0,8
SN10,23,107,0,0,4.7
SN11,12,0,0,0,0
SN12,11,43,0,0,3.9
SN13,9,18,0,0,2
SN14,17,80,18,0,4.7
SN15,22,73,0,0,3.3
SN16,14,80,0,0,5.7
SN2,16,23,0,0,1.4
SN25,23,141,0,0,6.1
SN26,1,,,,0
SN3,25,49,0,0,2
SN4,11,12,0,0,1.1
SN5,18,78,0,0,4.3
SN6,16,120,18,0,7.5
SN7,9,,,,0
SN8,24,169,0,0,7
SN9,7,18,0,0,2.6
SO14,6,0,0,0,0
SO15,13,,,,0
SO16,29,84,0,48,2.9
SO17,5,36,0,0,7.2
SO18,11,0,0,0,0
SO19,17,36,0,89,2.1
SO20,4,0,0,39,0
SO21,17,94,0,0,5.5
SO22,15,190,0,0,12.7
SO23,10,41,0,0,4.1
SO24,8,33,0,0,4.1
SO30,14,96,12,0,6.9
SO31,14,90,0,0,6.4
SO32,14,47,0,0,3.4
SO40,23,143,0,0,6.2
SO41,20,155,0,0,7.8
SO42,3,28,0,0,9.3
SO43,4,,,,0
SO45,20,158,0,0,7.9
SO50,24,237,0,0,9.9
SO51,16,292,2,121,18.3
SO52,1,,,,0
SO53,20,153,0,0,7.7
SP1,26,46,0,0,1.8
SP10,19,129,0,120,6.8
SP11,26,123,0,30,4.7
SP2,14,53,0,0,3.8
SP3,10,8,0,0,0.8
SP4,21,54,0,0,2.6
SP5,16,61,0,0,3.8
SP6,14,93,0,0,6.6
SP7,10,4,11,0,0.4
SP8,5,,,,0
SP9,5,0,0,0,0
SR1,1,,,,0
SR2,22,8,0,2,0.4
SR3,19,15,0,3,0.8
SR4,18,0,0,0,0
SR5,23,74,0,23,3.2
SR6,12,0,0,0,0
SR7,11,0,0,0,0
SR8,26,129,0,0,5
SS0,14,0,0,0,0
SS1,7,186,0,0,26.6
SS11,7,42,0,0,6
SS12,12,14,0,0,1.2
SS13,8,0,0,0,0
SS14,15,0,0,0,0
SS15,11,24,0,0,2.2
SS16,14,23,27,0,1.6
SS17,14,153,0,0,10.9
SS2,11,0,0,149,0
SS3,9,24,0,0,2.7
SS4,12,48,0,0,4
SS5,4,24,0,0,6
SS6,7,24,0,0,3.4
SS7,20,132,36,18,6.6
SS8,11,42,0,0,3.8
SS9,24,348,0,0,14.5
ST1,16,101,0,120,6.3
ST10,26,374,0,0,14.4
ST11,12,96,55,55,8
ST12,3,25,0,0,8.3
ST13,19,17,24,24,0.9
ST14,20,314,48,98,15.7
ST15,16,604,0,98,37.8
ST16,15,29,0,100,1.9
ST17,33,1007,0,76,30.5
ST18,20,325,0,20,16.3
ST19,15,48,60,60,3.2
ST2,17,209,0,6,12.3
ST20,6,192,0,0,32
ST21,3,,,,0
ST3,26,318,0,0,12.2
ST4,27,357,269,338,13.2
ST5,53,647,82,86,12.2
ST6,30,364,0,60,12.1
ST7,36,473,0,120,13.1
ST8,12,118,27,34,9.8
ST9,10,131,0,0,13.1
SW10,6,,,,0
SW11,24,,,,0
SW12,16,,,,0
SW13,6,,,,0
SW14,6,,,,0
SW15,26,,,,0
SW16,16,,,,0
SW17,23,,,,0
SW18,18,,,,0
SW19,30,,,,0
SW1E,1,,,,0
SW1H,1,,,,0
SW1P,10,,,,0
SW1V,7,,,,0
SW1W,5,,,,0
SW1X,5,,,,0
SW2,16,,,,0
SW20,14,,,,0
SW3,9,,,,0
SW4,17,,,,0
SW5,5,,,,0
SW6,25,,,,0
SW7,9,,,,0
SW8,9,,,,0
SW9,12,,,,0
SY1,14,91,3,0,6.5
SY10,9,30,0,0,3.3
SY11,15,56,0,0,3.7
SY12,8,24,0,0,3
SY13,7,,,,0
SY14,4,,,,0
SY15,1,,,,0
SY2,9,41,0,0,4.6
SY3,12,33,24,0,2.8
SY4,24,89,94,0,3.7
SY5,17,44,0,0,2.6
SY6,5,20,0,0,4
SY7,12,30,13,0,2.5
SY8,10,21,0,0,2.1
SY9,3,0,0,0,0
TA1,21,124,0,0,5.9
TA10,10,110,0,0,11
TA11,7,36,0,0,5.1
TA12,5,54,0,0,10.8
TA13,4,18,0,0,4.5
TA14,5,30,0,0,6
TA15,2,24,0,0,12
TA16,1,,,,0
TA17,1,,,,0
TA18,8,,,,0
TA19,7,31,0,0,4.4
TA2,22,69,0,0,3.1
TA20,13,51,0,0,3.9
TA21,19,88,0,0,4.6
TA22,3,18,0,0,6
TA23,2,,,,0
TA24,9,,,,0
TA3,16,117,0,0,7.3
TA4,18,208,0,0,11.6
TA5,9,30,0,0,3.3
TA6,28,138,0,0,4.9
TA7,14,65,0,0,4.6
TA8,5,12,0,0,2.4
TA9,8,,,,0
TD15,15,,,,0
TF1,15,96,0,0,6.4
TF10,13,96,0,0,7.4
TF11,8,17,0,0,2.1
TF12,5,27,18,0,5.4
TF13,4,17,0,0,4.3
TF2,18,84,0,0,4.7
TF3,8,72,0,0,9
TF4,9,,,,0
TF5,1,,,,0
TF6,4,36,0,0,9
TF7,8,,,,0
TF8,1,,,,0
TF9,18,44,0,0,2.4
TN1,1,,,,0
TN10,4,,,,0
TN11,16,65,0,0,4.1
TN12,9,,,,0
TN13,17,77,0,0,4.5
TN14,10,40,0,0,4
TN15,14,13,0,0,0.9
TN16,9,43,0,0,4.8
TN17,15,53,0,0,3.5
TN18,4,,,,0
TN19,3,0,0,0,0
TN2,10,64,0,0,6.4
TN20,5,21,0,0,4.2
TN21,13,120,0,24,9.2
TN22,24,75,0,0,3.1
TN23,22,377,61,94,17.1
TN24,13,212,0,0,16.3
TN25,20,141,0,0,7.1
TN26,5,46,0,0,9.2
TN27,9,12,0,0,1.3
TN28,3,,,,0
TN29,4,11,0,0,2.8
TN3,10,28,0,0,2.8
TN30,6,,,,0
TN31,11,44,0,0,4
TN32,8,28,0,0,3.5
TN33,14,74,0,0,5.3
TN34,9,0,0,0,0
TN35,10,0,0,0,0
TN36,2,0,0,0,0
TN37,8,42,0,0,5.3
TN38,13,11,0,0,0.8
TN39,9,0,0,0,0
TN4,18,117,20,0,6.5
TN40,10,30,0,0,3
TN5,8,0,0,30,0
TN6,11,44,0,0,4
TN7,2,0,0,0,0
TN8,6,22,0,0,3.7
TN9,11,49,11,0,4.5
TQ1,11,101,4,0,9.2
TQ10,1,,,,0
TQ11,3,0,0,0,0
TQ12,39,121,0,0,3.1
TQ13,15,39,0,0,2.6
TQ14,7,0,0,0,0
TQ2,14,140,0,0,10
TQ3,9,116,8,12,12.9
TQ4,2,28,0,0,14
TQ5,10,63,0,0,6.3
TQ6,5,0,0,0,0
TQ7,9,0,0,0,0
TQ8,1,,,,0
TQ9,22,92,0,0,4.2
TR1,14,23,0,0,1.6
TR10,5,24,0,0,4.8
TR11,13,98,0,0,7.5
TR12,12,36,0,0,3
TR13,17,66,0,0,3.9
TR14,19,71,0,0,3.7
TR15,7,,,,0
TR16,10,24,0,0,2.4
TR17,1,,,,0
TR18,12,46,0,29,3.8
TR19,9,41,0,0,4.6
TR2,12,63,0,0,5.3
TR20,10,69,0,0,6.9
TR21,1,,,,0
TR26,4,20,0,0,5
TR27,9,81,0,0,9
TR3,12,81,0,0,6.8
TR4,14,24,0,0,1.7
TR5,2,,,,0
TR6,1,,,,0
TR7,8,121,0,0,15.1
TR8,6,21,0,0,3.5
TR9,2,36,0,0,18
TS1,5,,,,0
TS10,16,48,0,101,3
TS11,5,53,0,0,10.6
TS12,8,,,,0
TS13,6,,,,0
TS14,9,12,0,0,1.3
TS15,9,45,0,0,5
TS16,8,25,0,0,3.1
TS17,19,71,0,0,3.7
TS18,7,,,,0
TS19,16,,,,0
TS2,1,,,,0
TS20,9,,,,0
TS21,6,0,0,0,0
TS22,4,,,,0
TS23,11,15,0,0,1.4
TS24,11,,,,0
TS25,17,,,,0
TS26,6,,,,0
TS27,8,6,0,0,0.8
TS28,3,,,,0
TS29,3,,,,0
TS3,19,,,,0
TS4,9,,,,0
TS5,13,2,0,2,0.2
TS6,17,89,0,32,5.2
TS7,12,2,0,2,0.2
TS8,9,41,0,0,4.6
TS9,7,,,,0
TW1,10,,,,0
TW10,12,,,,0
TW11,7,,,,0
TW12,11,,,,0
TW13,15,,,,0
TW14,8,,,,0
TW15,10,87,0,0,8.7
TW16,11,32,0,0,2.9
TW17,5,,,,0
TW18,9,0,0,0,0
TW19,3,,,,0
TW2,17,,,,0
TW20,12,30,0,0,2.5
TW3,10,,,,0
TW4,8,,,,0
TW5,10,,,,0
TW7,15,,,,0
TW8,7,,,,0
TW9,10,,,,0
UB1,16,,,,0
UB10,16,,,,0
UB2,14,,,,0
UB3,15,,,,0
UB4,16,,,,0
UB5,12,,,,0
UB6,15,,,,0
UB7,12,,,,0
UB8,15,,,,0
UB9,5,,,,0
W10,23,,,,0
W11,12,,,,0
W12,21,,,,0
W13,10,,,,0
W14,13,,,,0
W1B,3,,,,0
W1D,1,,,,0
W1G,1,,,,0
W1H,6,,,,0
W1J,1,,,,0
W1K,1,,,,0
W1U,3,,,,0
W1W,1,,,,0
W2,14,,,,0
W3,21,,,,0
W4,14,,,,0
W5,17,,,,0
W6,24,,,,0
W7,11,,,,0
W8,7,,,,0
W9,12,,,,0
WA1,15,120,0,26,8
WA10,13,19,0,0,1.5
WA11,14,,,,0
WA12,12,18,19,0,1.5
WA13,8,81,0,27,10.1
WA14,16,50,0,0,3.1
WA15,19,18,0,0,0.9
WA16,13,118,0,60,9.1
WA2,22,64,0,0,2.9
WA3,26,77,0,0,3
WA4,26,96,12,0,3.7
WA5,31,141,0,0,4.5
WA6,16,56,0,0,3.5
WA7,43,172,0,0,4
WA8,30,177,0,0,5.9
WA9,20,33,0,0,1.7
WC1A,1,,,,0
WC1B,1,,,,0
WC1H,1,,,,0
WC1N,3,,,,0
WC2B,2,,,,0
WC2E,1,,,,0
WD17,9,0,0,0,0
WD18,15,66,0,0,4.4
WD19,9,,,,0
WD23,24,36,0,0,1.5
WD24,9,67,0,0,7.4
WD25,19,22,0,0,1.2
WD3,34,123,0,0,3.6
WD4,5,27,0,0,5.4
WD5,6,0,0,0,0
WD6,17,,,,0
WD7,12,32,0,0,2.7
WF1,22,125,0,0,5.7
WF10,18,47,0,0,2.6
WF11,6,,,,0
