Row Labels,Number of schools,L1 and L2 (number of places delivered 2020/21),L3 (number of places delivered 2020/21 ), Plus (number of places delivered 2020/21),Average L1 and L2 places per school
CH64,8,15,0,0,1.9
CH65,12,,,,0
CH66,14,28,0,0,2
CM0,8,0,0,0,0
CM1,36,65,36,0,1.8
CM11,8,72,0,0,9
CM12,14,84,0,0,6
CM13,16,53,22,0,3.3
CM14,6,31,0,0,5.2
CM15,22,33,0,0,1.5
CM16,12,105,18,0,8.8
CM17,14,55,0,0,3.9
CM18,19,17,0,0,0.9
CM19,12,13,0,0,1.1
CM2,35,190,20,0,5.4
CM20,16,21,0,0,1.3
CM21,6,0,0,0,0
CM22,12,31,0,0,2.6
CM23,29,37,0,0,1.3
CM24,4,0,0,0,0
CM3,40,260,0,0,6.5
CM4,6,16,0,0,2.7
CM5,6,0,0,0,0
CM6,13,139,0,30,10.7
CM7,25,99,0,0,4
CM77,7,88,0,0,12.6
CM8,20,59,0,0,3
CM9,16,76,0,0,4.8
CO1,7,60,0,0,8.6
CO10,30,28,0,0,0.9
CO11,10,70,0,0,7
CO12,13,11,0,0,0.8
CO13,7,0,0,0,0
CO14,4,32,0,0,8
CO15,15,96,0,0,6.4
CO16,12,9,0,0,0.8
CO2,22,0,0,0,0
CO3,28,107,0,0,3.8
CO4,26,29,0,0,1.1
CO5,14,71,0,0,5.1
CO6,23,62,0,0,2.7
CO7,17,58,0,0,3.4
CO8,2,0,0,0,0
CO9,22,21,0,0,1
CR0,57,,,,0
CR2,20,,,,0
CR3,18,13,0,0,0.7
CR4,24,,,,0
CR5,9,,,,0
CR6,4,,,,0
CR7,18,,,,0
CR8,15,,,,0
CR9,6,,,,0
CT1,14,50,0,0,3.6
CT10,16,40,0,0,2.5
CT11,12,45,0,0,3.8
CT12,9,,,,0
CT13,7,36,0,0,5.1
CT14,15,72,0,0,4.8
CT15,13,72,0,0,5.5
CT16,13,216,0,0,16.6
CT17,10,,,,0
CT18,5,31,0,0,6.2
CT19,16,0,20,0,0
CT2,13,24,0,0,1.8
CT20,8,27,0,0,3.4
CT21,6,,,,0
CT3,20,205,0,0,10.3
CT4,10,97,0,0,9.7
CT5,7,104,0,0,14.9
CT6,10,127,0,0,12.7
CT7,4,,,,0
CT8,4,34,0,0,8.5
CT9,12,,,,0
CV1,14,25,0,0,1.8
CV10,27,113,0,0,4.2
CV11,17,0,0,0,0
CV12,13,0,0,0,0
CV13,8,,,,0
CV2,25,,,,0
CV21,13,138,0,0,10.6
CV22,24,74,0,0,3.1
CV23,15,94,0,0,6.3
CV3,26,125,0,0,4.8
CV31,19,102,0,0,5.4
CV32,14,91,0,27,6.5
CV33,4,0,0,0,0
CV34,17,39,36,0,2.3
CV35,13,50,0,0,3.8
CV36,7,66,0,0,9.4
CV37,21,18,0,0,0.9
CV4,12,,,,0
