Node,"No delivery due to covid","L1 and L2 places attended - 2019/20","No. of Instructors","Level 3 Places Attended (2018/19)","Levels 1 and 2 Places Attended (2018/19)","L3 places attended - 2019/20","Number of schools","Level 3 Places Attended (2020/21)","% schools that booked Bikeability","Plus Places Attended (2020/21)","Levels 1 and 2 places attended (2020/21)"
BN22,,185,1,0,141,0,12,0,67,0,151
BN23,,71,0,0,56,0,5,0,20,0,35
BN24,,40,1,21,77,24,11,0,36,0,76
BN25,,134,1,0,56,1,9,0,44,0,26
BN26,,19,2,0,9,0,15,0,0,0,0
BN27,,235,1,0,132,48,14,0,57,0,30
BN41,,113,1,0,156,0,26,0,0,0,0
BN42,YES,136,5,0,37,0,19,0,21,0,0
BN43,,91,1,15,50,30,6,0,67,0,108
BN44,,0,3,0,0,0,4,0,0,0,0
BR1,,0,7,0,0,0,23,0,0,0,0
BR2,,0,4,0,0,0,18,0,0,0,0
BR3,,0,6,0,0,0,19,0,0,0,0
BR4,,0,0,0,0,0,8,0,0,0,0
BR5,,0,2,0,0,0,16,0,0,0,0
BR6,,0,4,0,0,0,19,0,0,0,0
BR7,,0,0,0,0,0,11,0,0,0,0
BR8,YES,50,1,0,63,0,15,0,7,0,0
BS1,,12,0,0,0,0,5,0,20,0,12
BS2,YES,12,0,0,20,0,4,0,50,0,0
BS3,,246,4,28,203,0,14,0,21,0,63
BS4,,111,2,0,170,0,20,8,20,42,333
BS5,YES,82,0,0,101,0,5,0,20,0,0
BS6,,171,0,0,211,0,16,0,13,0,77
BS7,YES,400,1,0,364,11,9,0,11,0,0
BS8,,106,0,0,56,0,5,0,0,0,0
BS9,,250,1,0,218,9,17,0,29,0,64
BS10,YES,46,0,0,9,3,6,0,33,0,0
BS11,YES,199,1,0,172,0,22,0,9,0,0
BS13,YES,82,3,0,65,0,11,0,9,0,0
BS14,,105,2,0,86,0,11,0,27,0,60
BS15,YES,131,0,0,330,0,15,0,20,0,0
BS16,,189,1,0,530,35,26,99,58,216,787
BS20,,207,3,30,239,26,9,0,22,1,92
BS21,,47,1,0,41,0,6,0,0,0,0
BS22,,150,4,0,89,0,10,0,50,0,79
BS23,,96,0,0,77,31,9,0,0,0,0
BS24,,155,2,0,106,0,9,0,33,0,33
BS25,,128,0,0,79,55,8,0,25,0,41
BS26,,0,0,0,0,0,2,0,0,0,0
BS27,,0,1,0,0,0,4,0,0,0,0
BS28,,0,0,0,0,0,2,0,50,0,3
BS29,,19,0,0,0,0,1,0,0,0,0
BS30,,414,1,0,360,0,17,0,29,40,0
BS31,,29,0,0,0,0,11,0,9,0,24
BS32,,71,3,8,147,0,14,0,0,0,0
BS34,,292,1,63,320,42,25,0,36,0,123
BS35,,199,0,33,315,32,19,0,42,0,113
BS36,,66,4,11,301,0,6,0,50,0,186
BS37,,241,0,4,168,4,15,0,20,0,58
BS39,,196,0,0,132,0,9,0,44,0,31
BS40,,214,0,0,86,11,6,0,0,0,0
BS41,,94,0,0,107,0,9,0,0,0,0
BS48,,220,3,0,87,0,15,0,27,0,53
BS49,,25,0,0,0,0,4,0,0,0,0
CA1,,247,0,5,133,0,11,0,55,30,139
CA2,,416,0,106,437,27,22,41,59,77,671
CA3,,98,3,0,161,23,13,0,15,0,35
CA4,YES,151,7,0,206,0,12,0,8,0,0
CA5,,60,0,18,88,0,16,0,0,0,0
CA6,,83,1,101,89,0,13,36,46,0,181
CA7,,792,1,0,178,0,19,0,37,10,371
CA8,,0,0,0,120,0,3,0,33,0,26
CA9,,27,0,0,0,0,3,0,0,0,0
CA10,YES,190,2,7,167,10,19,0,21,0,0
CA11,,248,2,27,297,0,18,0,39,0,149
CA12,,114,1,0,50,0,7,0,14,0,17
CA13,,334,0,0,247,0,16,0,19,75,26
CA14,,225,1,0,309,0,15,0,33,0,96
CA15,,127,1,10,141,0,9,0,22,0,58
CA16,,212,4,0,109,74,37,30,46,90,219
CA17,,18,1,0,53,0,5,0,40,0,27
CA19,YES,13,0,0,4,0,1,0,100,0,0
CA20,,74,0,0,48,0,14,0,43,0,78
CA21,YES,9,0,0,8,0,6,0,17,0,0
CA22,,35,1,0,74,0,18,0,11,0,52
CA23,,433,2,0,10,0,23,0,17,0,113
CA24,,6,0,0,0,0,1,0,0,0,0
CA25,,36,0,0,39,0,5,0,40,0,36
CA26,,106,1,0,25,0,6,0,100,0,32
CA27,,222,5,0,15,121,10,0,90,177,306
CA28,,224,3,0,218,0,7,0,43,0,60
CB1,,431,9,13,575,12,19,0,16,36,1
CB2,,368,0,0,324,39,20,8,30,0,62
CB3,,84,1,9,87,19,14,18,29,0,120
CB4,,305,1,0,247,0,17,0,29,10,171
CB5,,25,0,0,31,0,5,0,0,0,0
CB6,,434,7,0,418,0,29,0,28,28,100
CB7,,333,0,0,287,0,13,0,23,0,161
CB8,,46,0,0,98,0,8,0,38,0,91
CB9,,0,1,0,24,0,12,0,8,0,7
CB10,,38,0,0,25,0,5,0,40,0,12
CB11,YES,67,0,0,33,0,10,0,20,0,0
CB21,,282,0,0,305,18,16,0,63,2,159
CB22,,447,2,0,288,17,20,24,75,0,85
CB23,,528,1,0,620,0,24,0,4,0,22
CB24,,346,2,29,479,71,21,0,29,0,168
CB25,,109,3,0,153,0,5,0,40,0,134
CH1,,145,2,0,62,0,17,0,12,0,84
CH2,,60,0,0,179,0,9,0,22,0,64
CH3,,147,1,0,228,0,9,0,44,0,110
CH4,,102,1,0,64,0,13,0,23,0,102
CH7,,0,2,0,0,0,0,0,0,0,0
CH41,,30,0,0,0,0,13,0,15,0,10
CH42,,15,0,0,0,0,8,0,13,0,12
CH43,,229,0,0,0,72,11,0,36,48,121
CH44,,47,2,0,0,0,4,0,25,0,46
CH45,,241,3,0,0,46,6,0,50,3,122
CH46,,55,2,0,0,0,16,16,75,145,241
CH47,,27,0,0,0,0,2,0,0,0,0
CH48,,87,0,0,0,0,11,0,18,0,28
CH49,,72,0,0,0,0,7,0,14,0,36
CH60,YES,78,0,0,0,0,3,0,33,0,0
CH61,,97,1,0,0,0,12,0,17,0,42
CH62,,220,3,0,0,27,8,0,25,0,104
CH63,,212,3,0,0,66,9,0,33,0,169
CH64,,51,0,0,59,0,7,0,29,0,24
CH65,,173,0,0,118,0,10,0,0,0,0
CH66,,119,1,0,82,3,4,0,50,0,86
CM0,,35,0,0,58,0,10,0,0,0,0
CM1,,404,2,0,245,0,11,0,45,0,102
CM2,,291,1,15,290,64,21,0,43,0,176
CM3,,180,3,0,341,0,18,0,22,53,75
CM4,,63,0,0,75,0,7,0,14,0,6
CM5,YES,38,0,0,11,0,5,0,40,0,0
CM6,,34,0,0,133,0,10,0,10,0,23
CM7,,51,2,0,141,0,13,0,38,0,115
CM8,,81,2,42,90,52,15,110,40,0,43
CM9,,361,1,0,213,0,27,12,22,48,279
CM11,,721,6,0,72,62,34,12,50,134,434
CM12,,93,1,0,213,12,13,0,31,0,125
CM13,,133,1,45,138,9,21,0,0,0,0
CM14,,10,2,0,12,0,5,0,40,0,12
CM15,YES,211,3,0,226,24,15,0,13,0,0
CM16,,18,0,0,14,0,7,0,29,0,67
CM17,,90,0,0,47,0,4,0,50,0,41
CM18,,199,2,27,94,12,21,0,24,40,74
CM19,,42,0,0,60,0,3,0,100,0,72
CM20,YES,32,0,0,47,0,8,0,25,0,0
CM21,,50,0,0,22,0,6,0,50,0,24
CM22,,246,0,3,130,0,12,0,33,0,132
CM23,,289,1,0,255,0,16,0,19,0,132
CM24,,53,0,0,0,0,8,0,50,0,81
CM77,,38,1,0,75,0,5,0,40,0,77
CO1,YES,87,1,0,65,0,19,0,5,0,0
CO2,,85,3,0,96,0,21,0,0,0,0
CO3,,239,1,9,256,0,14,0,36,66,222
CO4,,427,2,0,368,0,15,0,27,0,42
CO5,,111,2,0,177,0,13,0,31,0,101
CO6,,133,0,0,169,0,9,0,44,0,44
CO7,,129,0,0,167,0,10,0,30,0,30
CO8,YES,27,0,0,0,0,1,0,100,0,0
CO9,YES,195,0,0,129,0,9,0,22,0,0
CO10,,116,0,12,210,0,20,0,0,0,0
CO11,,58,0,77,76,0,6,0,67,0,13
CO12,,45,0,0,43,5,7,0,0,0,0
CO13,,38,1,0,53,0,15,0,7,0,23
CO14,,46,1,0,41,0,8,0,38,0,39
CO15,,212,3,0,12,0,22,0,23,0,114
CO16,,89,2,0,75,0,5,0,40,0,88
CR0,,0,4,0,0,0,58,0,0,0,0
CR2,,0,0,0,0,0,20,0,0,0,0
CR3,,31,1,0,127,0,19,0,0,0,0
CR4,,0,3,0,0,0,24,0,0,0,0
CR5,,0,0,0,0,0,9,0,0,0,0
CR6,,22,0,0,0,0,4,0,0,0,0
CR7,,0,0,0,0,0,18,0,0,0,0
CR8,,0,0,0,0,0,15,0,0,0,0
CT1,,53,1,0,0,0,6,0,83,0,73
CT2,,130,0,0,0,32,9,0,67,0,76
CT3,,74,0,0,44,0,2,0,0,0,0
CT4,,148,1,0,47,5,10,0,0,0,0
CT5,,217,6,0,0,0,18,36,44,18,132
CT6,,182,1,0,0,16,12,0,42,88,149
CT7,,40,0,0,40,0,4,0,0,0,0
CT8,,35,3,0,61,0,9,0,11,0,9
CT9,,41,0,0,46,0,19,0,21,0,40
CT10,,85,0,24,86,0,5,0,20,0,90
CT11,,230,0,0,114,0,10,0,30,63,129
CT12,,29,1,0,49,0,8,0,0,0,0
CT13,,36,0,0,35,0,4,0,25,0,56
CT14,,21,0,0,9,0,2,0,0,0,0
CT15,,56,0,0,0,0,6,0,33,0,121
CT16,,39,2,0,0,0,12,0,25,0,216
CT17,,43,0,0,0,0,10,0,0,0,0
CT18,,177,0,0,111,45,11,0,45,0,123
CT19,YES,68,0,0,0,0,3,0,33,0,0
CT20,,65,0,0,0,0,9,0,44,0,36
CT21,,110,6,69,125,25,12,24,25,0,33
CV1,YES,80,0,0,79,0,12,0,8,0,0
CV2,,170,0,0,155,0,14,0,21,99,43
CV3,,192,1,16,225,0,11,0,36,49,122
CV4,,45,0,0,50,0,4,0,75,0,27
