Node,"Residential Homes Average Weekly Rate","Supported Living Average Weekly Rate","Supported Living Average Hourly Rate","Supported Living Average Hourly/Weekly Rate","Day Services Average Weekly Rate","Day Services Average Day Rate","Day Services Average Day/Weekly Rate","Domiciliary Care Average Hourly Rate","Residential Homes Uplift 2018/19","Residential Homes Uplift 2019/20","Residential Homes Uplift 2020/21","Residential Homes Uplift 2021/22","Residential Homes Uplift 2022/23","Supported Living Uplift 2018/19","Supported Living Uplift 2019/20","Supported Living Uplift 2020/21","Supported Living Uplift 2021/22","Supported Living Uplift 2022/23","Day Services Uplift 2018/19","Day Services Uplift 2019/20","Day Services Uplift 2020/21","Day Services Uplift 2021/22","Day Services Uplift 2022/23","Domiciliary Care Uplift 2018/19","Domiciliary Care Uplift 2019/20","Domiciliary Care Uplift 2020/21","Domiciliary Care Uplift 2021/22","Domiciliary Care Uplift 2022/23","London Living Wage","NI, tax, pensions, leave and sickness (LLW)","Training and management","Apportioned core costs (finance, HR, recruitment, leadership and head office costs)","National Living Wage","NI, tax, pensions, leave and sickness (NLW)","Real Living Wage 2023/24","NI, tax, pensions, leave and sickness (RLW)","NHS Band 3 inc allowances hourly rate","NI, tax, pensions, leave and sickness (Band 3 incl allowances)",English/Welsh,England/Wales,"RH Av Country","SL Weekly Av Country","SL Hourly Av Country","DS Weekly Av Country","DS Day Av Country","DC Av Country"
Sandwell,1345,1228,,1228,315,,315,16,0,0,0,0,5.86,0,0,0,0,0,0,0,0,0,5.86,6.1,4.07,4.33,1.6,5.54,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Walsall,,,15.87,15.87,,,,16.17,N/a,1,2.4,1,1.5,N/a,0,1,1,1.5,N/a,N/a,N/a,1,1.5,2.2,2,7.6,1,3.8,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Wolverhampton,492.1,,16.08,16.08,,,,16.84,"Information not held","Information not held",1.7,2,3,N/a,3.77,3.63,1.88,6.3,N/a,N/a,N/a,1.88,6.34,N/a,4.13,2.9,1.8,6.3,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Bradford,1489.19,,15.99,15.99,179.71,,179.71,17.91,3.26,4.29,4.33,3,6.14,3.26,4.29,4.33,3,5.46,3.26,4.29,4.33,"Individual basis",5.45,3.26,4.29,4.33,7.19,6.5,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Calderdale,1856,,18.53,18.53,,,,20.26,4.4,4.9,3,4.8,6.5,4.4,5.87,3,4.8,6.5,4.4,3,3,4.8,6.5,4.4,5.18,5.68,4.8,6.5,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Kirklees,2064.67,,,,,,,21,3.71,5.03,5.74,2.41,6.55,4.4,4.9,6.21,2.18,6.62,3.43,4.9,6.2,2.2,5.74,8.65,3.73,16.37,2.27,5.49,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Leeds,1616,,19.2,19.2,832,,832,19.99,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Wakefield,620.23,,17.25,17.25,,,,18.5,5.23,4.02,5.79,2.36,7,2.71,4.98,6.2,2.54,7.63,0,0,1.77,0,8.5,3.7,3.3,6,2.5,9.86,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
"Barking and Dagenham",1776.87,1087.75,,1087.75,394.26,,394.26,17,2.7,4.26,4.4,1.64,6.16,2.7,4.26,4.4,1.64,6.16,2.7,4.26,4.4,1.64,6.16,2.7,4.26,4.4,1.64,6.16,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
Barnet,1693.32,956.47,,956.47,497,,497,22.73,0,0,0,2,4.5,0,0,0,2,4,0,0,0,2,4,0,0,0,2,2,11.95,7.03,2.65,2.73,10.42,6.13,10.9,6.41,14.12,8.3,English,England,1585.19,1056.6,17.96,255.26,71.18,19.58
