Row Labels,Number of schools,% schools booked that booked Bikeability,Sum of Levels 1 and 2 places attended (2020),Sum of Level 3 Places Attended (2020),Sum of Plus Places Attended (2020),No Delivery due to Covid
SE1,27,0,0,0,0,
SE18,27,0,0,0,0,
CV2,26,0,0,0,0,
E2,26,0,0,0,0,
HA3,26,0,0,0,0,
SW15,26,0,0,0,0,
EN3,25,0,0,0,0,
SW6,25,0,0,0,0,
BD5,24,0,0,0,0,
CR4,24,0,0,0,0,
HA8,24,0,0,0,0,
SW11,24,0,0,0,0,
W6,24,0,0,0,0,
BR1,23,0,0,0,0,
E6,23,0,0,0,0,
HR1,23,0,0,0,0,
NW1,23,0,0,0,0,
NW9,23,0,0,0,0,
SW17,23,0,0,0,0,
W10,23,0,0,0,0,
WV10,23,0,0,0,0,
E5,22,0,0,0,0,
DN4,21,0,0,0,0,
DN5,21,0,0,0,0,
E3,21,0,0,0,0,
E4,21,0,0,0,0,
E7,21,0,0,0,0,
SL3,21,0,0,0,0,
W12,21,0,0,0,0,
W3,21,0,0,0,0,
CR2,20,0,0,0,0,
E15,20,0,0,0,0,
HR2,20,0,0,0,0,
IG11,20,0,0,0,0,
M41,20,0,0,0,0,
NW2,20,0,0,0,0,
OX2,20,0,0,0,0,
WV4,20,0,0,0,0,
BR3,19,0,0,0,0,
BR6,19,0,0,0,0,
E16,19,0,0,0,0,
KT2,19,0,0,0,0,
S5,19,0,0,0,0,
SE16,19,0,0,0,0,
TS3,19,0,0,0,0,
WS2,19,0,0,0,0,
BR2,18,0,0,0,0,
CR7,18,0,0,0,0,
HA4,18,0,0,0,0,
LN11,18,0,0,0,0,
N15,18,0,0,0,0,
N9,18,0,0,0,0,
NW4,18,0,0,0,0,
NW7,18,0,0,0,0,
S66,18,0,0,0,0,
SE3,18,0,0,0,0,
SE5,18,0,0,0,0,
SE6,18,0,0,0,0,
SM5,18,0,0,0,0,
SW18,18,0,0,0,0,
TS25,18,0,0,0,0,
EN1,17,0,0,0,0,
HA9,17,0,0,0,0,
IG1,17,0,0,0,0,
IG8,17,0,0,0,0,
N14,17,0,0,0,0,
N22,17,0,0,0,0,
PO30,17,0,0,0,0,
SW4,17,0,0,0,0,
TS19,17,0,0,0,0,
TW2,17,0,0,0,0,
W5,17,0,0,0,0,
WD6,17,0,0,0,0,
WF8,17,0,0,0,0,
B19,16,0,0,0,0,
BR5,16,0,0,0,0,
DL5,16,0,0,0,0,
E13,16,0,0,0,0,
EN8,16,0,0,0,0,
HA2,16,0,0,0,0,
HA5,16,0,0,0,0,
N8,16,0,0,0,0,
SW12,16,0,0,0,0,
SW16,16,0,0,0,0,
SW2,16,0,0,0,0,
TD15,16,0,0,0,0,
TW7,16,0,0,0,0,
UB1,16,0,0,0,0,
UB10,16,0,0,0,0,
UB4,16,0,0,0,0,
WN5,16,0,0,0,0,
WS1,16,0,0,0,0,
WV11,16,0,0,0,0,
CR8,15,0,0,0,0,
E9,15,0,0,0,0,
IP24,15,0,0,0,0,
NW11,15,0,0,0,0,
RH2,15,0,0,0,0,
S61,15,0,0,0,0,
SL5,15,0,0,0,0,
SM6,15,0,0,0,0,
TW13,15,0,0,0,0,
UB3,15,0,0,0,0,
UB6,15,0,0,0,0,
UB8,15,0,0,0,0,
W2,15,0,0,0,0,
B10,14,0,0,0,0,
CH65,14,0,0,0,0,
CT9,14,0,0,0,0,
DA16,14,0,0,0,0,
DN12,14,0,0,0,0,
DN3,14,0,0,0,0,
DN6,14,0,0,0,0,
EN4,14,0,0,0,0,
HA1,14,0,0,0,0,
HP3,14,0,0,0,0,
HR4,14,0,0,0,0,
HR6,14,0,0,0,0,
KT3,14,0,0,0,0,
KT6,14,0,0,0,0,
LE14,14,0,0,0,0,
LE8,14,0,0,0,0,
N11,14,0,0,0,0,
N7,14,0,0,0,0,
NW5,14,0,0,0,0,
RM3,14,0,0,0,0,
RM9,14,0,0,0,0,
S26,14,0,0,0,0,
SE11,14,0,0,0,0,
SE23,14,0,0,0,0,
SO15,14,0,0,0,0,
SW20,14,0,0,0,0,
UB2,14,0,0,0,0,
W4,14,0,0,0,0,
WA11,14,0,0,0,0,
DA15,13,0,0,0,0,
E10,13,0,0,0,0,
HR9,13,0,0,0,0,
M6,13,0,0,0,0,
ME19,13,0,0,0,0,
N10,13,0,0,0,0,
N12,13,0,0,0,0,
N4,13,0,0,0,0,
NW8,13,0,0,0,0,
OX12,13,0,0,0,0,
RM1,13,0,0,0,0,
RM10,13,0,0,0,0,
RM14,13,0,0,0,0,
RM6,13,0,0,0,0,
RM8,13,0,0,0,0,
S64,13,0,0,0,0,
SE25,13,0,0,0,0,
W14,13,0,0,0,0,
WV3,13,0,0,0,0,
B26,12,0,0,0,0,
CV4,12,0,0,0,0,
DY2,12,0,0,0,0,
E11,12,0,0,0,0,
E12,12,0,0,0,0,
E8,12,0,0,0,0,
EN5,12,0,0,0,0,
IG6,12,0,0,0,0,
L9,12,0,0,0,0,
NE65,12,0,0,0,0,
RH16,12,0,0,0,0,
RM12,12,0,0,0,0,
SE17,12,0,0,0,0,
SE19,12,0,0,0,0,
SE8,12,0,0,0,0,
SM4,12,0,0,0,0,
SW9,12,0,0,0,0,
TW10,12,0,0,0,0,
UB5,12,0,0,0,0,
UB7,12,0,0,0,0,
W11,12,0,0,0,0,
W9,12,0,0,0,0,
B97,11,0,0,0,0,
BR7,11,0,0,0,0,
BS14,11,0,0,0,0,
DA8,11,0,0,0,0,
DT6,11,0,0,0,0,
IG3,11,0,0,0,0,
IP3,11,0,0,0,0,
ME12,11,0,0,0,0,
N3,11,0,0,0,0,
NE66,11,0,0,0,0,
OX1,11,0,0,0,0,
RM11,11,0,0,0,0,
RM13,11,0,0,0,0,
SE21,11,0,0,0,0,
SE22,11,0,0,0,0,
SE28,11,0,0,0,0,
SM1,11,0,0,0,0,
TF4,11,0,0,0,0,
TS24,11,0,0,0,0,
TW12,11,0,0,0,0,
W7,11,0,0,0,0,
WV12,11,0,0,0,0,
B18,10,0,0,0,0,
B43,10,0,0,0,0,
B78,10,0,0,0,0,
BD7,10,0,0,0,0,
CH45,10,0,0,0,0,
CT12,10,0,0,0,0,
CT17,10,0,0,0,0,
CV13,10,0,0,0,0,
DN7,10,0,0,0,0,
FY7,10,0,0,0,0,
HA0,10,0,0,0,0,
L7,10,0,0,0,0,
M18,10,0,0,0,0,
N19,10,0,0,0,0,
