constituency_name,MP,Category,result,majority,con
Sutton and Cheam,Paul Scully,Backer,Con hold,8351,25235
Crawley,Henry Smith,Unclear,Con hold,8360,27040
Crewe and Nantwich,Kieran Mullan,Potential Rebel,Con gain from Lab,8508,28704
Stevenage,Stephen McPartland,Backer,Con hold,8562,25328
Blackpool North and Cleveleys,Paul Maynard,Potential Rebel,Con hold,8596,22364
Camborne and Redruth,George Eustice,Backer,Con hold,8700,26764
Bournemouth East,Tobias Ellwood,Opponent,Con hold,8806,24926
South West Surrey,Jeremy Hunt,Opponent,Con hold,8817,32191
Bolton West,Chris Green,Potential Rebel,Con hold,8855,27255
Colchester,Will Quince,Backer,Con hold,9423,26917
Rossendale and Darwen,Jake Berry,Backer,Con hold,9522,27570
Harrogate and Knaresborough,Andrew Jones,Opponent,Con hold,9675,29962
Woking,Jonathan Lord,Unclear,Con hold,9767,26396
Monmouth,David T. C. Davies,Backer,Con hold,9982,26160
York Outer,Julian Sturdy,Opponent,Con hold,9985,27324
Wells,James Heappey,Backer,Con hold,9991,33336
Bournemouth West,Conor Burns,Backer,Con hold,10150,24550
Corby,Tom Pursglove,Backer,Con hold,10268,33410
Scarborough and Whitby,Robert Goodwill,Probable supporter,Con hold,10270,27593
Gloucester,Richard Graham,Opponent,Con hold,10277,29159
Hexham,Guy Opperman,Backer,Con hold,10549,25152
South Thanet,Craig Mackinlay,Probable supporter,Con hold,10587,27084
Erewash,Maggie Throup,Backer,Con hold,10606,27560
Macclesfield,David Rutley,Backer,Con hold,10711,28292
Romsey and Southampton North,Caroline Nokes,Opponent,Con hold,10872,27862
Bromley and Chislehurst,Robert Neill,Opponent,Con hold,10891,23958
Telford,Lucy Allan,Probable supporter,Con hold,10941,25546
Welwyn Hatfield,Grant Shapps,Backer,Con hold,10955,27394
South Ribble,Katherine Fletcher,Backer,Con hold,11199,30028
Shrewsbury and Atcham,Daniel Kawczynski,Unclear,Con hold,11217,31021
Kingswood,Chris Skidmore,Unclear,Con hold,11220,27712
Chelsea and Fulham,Greg Hands,Backer,Con hold,11241,23345
Morley and Outwood,Andrea Jenkyns,Backer,Con hold,11267,29424
