Node,"Number Of Schools","L1 And L2 (Number Of Places Delivered 2020/21)","L3 (Number Of Places Delivered 2020/21 )","Plus (Number Of Places Delivered 2020/21)","Average L1 And L2 Places Per School"
LU1,26,84,0,0,3.2
LU2,3.4,22,75,0,0
LU3,23,108,0,116,4.7
LU4,3.5,22,77,0,0
LU5,27,84,0,0,3.1
LU6,4.6,20,92,0,0
LU7,34,586,35,90,17.2
M2,0,1,,,
M3,3,,,,0
M4,0,5,0,0,0
M5,6,,,,0
M6,0,12,,,
M7,34,,,,0
M8,3.4,18,62,0,186
M9,25,65,0,37,2.6
M11,2.2,20,44,0,0
M12,15,52,0,0,3.5
M13,4.8,12,58,0,0
M14,19,75,0,0,3.9
M15,35.6,8,285,0,0
M16,19,166,0,55,8.7
M18,0,10,,,
M19,13,27,0,0,2.1
M20,3.9,23,89,0,0
M21,16,63,0,0,3.9
M22,0,17,0,0,0
M23,17,81,0,30,4.8
M24,2,24,48,30,0
M25,16,0,0,0,0
M26,6.8,16,108,0,0
M27,20,34,0,0,1.7
M28,2.6,21,54,0,118
M29,12,60,0,0,5
M30,4.5,25,112,0,0
M31,5,,,,0
M32,4,14,56,0,0
M33,25,22,0,0,0.9
M34,9.2,25,229,0,0
M35,13,150,0,64,11.5
M38,0,8,0,0,0
M40,23,61,0,0,2.7
M41,0,20,,,
M43,9,,,,0
M44,6.4,10,64,0,0
M45,10,73,0,45,7.3
M46,2.3,12,28,0,0
M50,2,,,,0
ME1,1.6,19,31,0,0
ME2,22,49,0,0,2.2
ME3,2,18,36,0,60
ME4,17,16,0,0,0.9
ME5,2.7,24,64,0,0
ME6,4,50,0,0,12.5
ME7,1,20,20,0,0
ME8,23,82,0,0,3.6
ME9,10.4,16,166,0,0
ME10,19,44,0,186,2.3
ME11,0,1,,,
ME12,9,,,,0
ME13,11.5,20,229,0,0
ME14,15,149,0,88,9.9
ME15,0,18,0,0,0
ME16,16,15,0,0,0.9
ME17,4.7,18,84,0,0
ME18,4,24,0,0,6
ME19,0,12,,,
ME20,10,58,0,0,5.8
MK2,3,8,24,0,0
MK3,15,37,0,0,2.5
MK4,0,4,,,
MK5,8,30,0,2,3.8
MK6,0,16,0,0,0
MK7,6,,,,0
MK8,4.3,9,39,0,0
MK9,1,,,,0
MK10,19.5,8,156,0,3
MK11,3,,,,0
MK12,0,6,,,
MK13,6,,,,0
MK14,0,12,0,0,0
MK15,1,,,,0
MK16,6.7,9,60,0,4
MK17,18,92,25,10,5.1
MK18,1.6,26,41,0,0
MK19,11,0,0,0,0
MK40,7.2,16,115,0,0
MK41,25,65,0,0,2.6
MK42,2.7,34,91,0,0
MK43,26,61,0,5,2.3
MK44,7.4,22,162,0,15
MK45,33,169,0,35,5.1
MK46,0,2,,,
N1,38,,,,0
N1C,0,3,,,
N2,8,,,,0
N3,0,11,,,
N4,13,,,,0
N5,0,9,,,
N6,8,,,,0
N7,0,14,,,
N8,16,,,,0
N9,0,18,,,
N10,13,,,,0
N11,0,14,,,
N12,13,,,,0
N13,0,7,,,
N14,17,,,,0
N15,0,18,,,
N16,42,,,,0
N17,0,27,,,
N18,7,,,,0
N19,0,10,,,
N20,10,,,,0
N21,0,9,,,
N22,17,,,,0
NE1,0,1,,,
NE2,10,0,0,0,0
NE3,2.1,35,73,0,30
NE4,22,0,0,0,0
NE5,0.3,20,6,0,0
NE6,22,0,0,40,0
NE7,0,5,0,0,0
NE8,20,82,0,0,4.1
NE9,11.2,22,246,0,0
NE10,26,126,0,0,4.8
NE11,0,6,,,
NE12,17,124,0,0,7.3
NE13,0,8,0,0,0
NE15,23,0,0,20,0
NE16,11.6,14,162,0,0
NE17,1,,,,0
NE18,0,2,0,0,0
NE19,1,,,,0
NE20,0,5,,,
NE21,6,0,0,0,0
NE22,0,9,0,0,0
NE23,16,0,0,0,0
NE24,0,11,0,0,0
NE25,15,134,0,0,8.9
NE26,0,6,0,0,0
NE27,5,19,0,0,3.8
NE28,7.6,22,167,0,0
NE29,20,129,0,0,6.5
NE30,7.1,11,78,0,0
NE31,12,101,0,0,8.4
NE32,10.5,18,189,0,0
NE33,10,131,0,0,13.1
NE34,14.2,20,284,0,0
NE35,4,29,0,0,7.3
NE36,11,5,55,0,0
NE37,8,0,0,0,0
NE38,1.1,21,23,0,5
NE39,5,34,0,0,6.8
NE40,7.5,8,60,0,0
NE41,1,,,,0
NE42,6.2,9,56,0,0
NE43,2,,,,0
NE44,0,1,,,
NE45,1,,,,0
NE46,2.8,11,31,7,0
NE47,8,,,,0
NE48,0,5,,,
NE49,2,17,0,0,8.5
NE61,0,20,0,0,101
NE62,8,82,0,0,10.3
NE63,2.1,11,23,0,0
NE65,12,,,,0
NE66,0,10,,,
NE67,1,,,,0
NE70,0,1,,,
NE71,3,0,0,0,0
NG1,0,4,0,0,0
NG2,21,168,0,0,8
NG3,3.5,22,78,0,9
NG4,24,216,0,24,9
NG5,4,46,183,0,24
NG6,18,0,0,30,0
NG7,0,21,0,0,0
NG8,31,0,0,0,0
NG9,9.2,26,240,0,12
NG10,17,219,33,0,12.9
NG11,3.3,18,60,0,12
NG12,21,123,12,0,5.9
NG13,9.4,14,132,0,0
NG14,12,108,0,48,9
NG15,8,21,168,6,24
NG16,41,420,0,303,10.2
NG17,4.9,33,162,0,0
NG18,17,150,12,120,8.8
NG19,9,31,279,12,48
NG20,20,41,0,84,2.1
NG21,7.8,13,102,0,48
NG22,17,81,36,60,4.8
NG23,0,11,0,0,0
NG24,21,198,0,0,9.4
NG25,12,5,60,0,0
NG31,34,151,21,0,4.4
NG32,4,12,48,0,0
NG33,12,38,0,0,3.2
NG34,3.5,23,81,0,0
NN1,14,71,0,0,5.1
NN2,2,20,40,0,0
NN3,33,70,0,0,2.1
NN4,6.8,22,149,0,0
NN5,16,66,0,0,4.1
NN6,4,34,135,0,0
NN7,27,105,0,0,3.9
NN8,3.1,24,75,0,0
NN9,15,19,0,9,1.3
NN10,3.7,18,67,0,0
NN11,28,146,0,0,5.2
NN12,2.9,19,55,0,0
NN13,14,73,0,0,5.2
NN14,6.1,29,176,0,0
NN15,23,47,0,0,2
NN16,2.4,10,24,0,0
NN17,14,22,9,14,1.6
NN18,1.5,15,23,0,0
NN29,10,73,0,0,7.3
NP16,14,4,56,0,0
NP25,2,4,0,0,2
NR1,0.9,14,12,6,24
NR2,16,158,36,24,9.9
NR3,0,10,,,
NR4,13,121,0,48,9.3
NR5,5.6,17,96,0,10
NR6,14,48,0,30,3.4
NR7,0,13,0,0,0
NR8,12,72,48,90,6
NR9,6.5,17,111,14,0
NR10,12,24,0,0,2
NR11,0,10,0,0,0
NR12,13,28,0,0,2.2
NR13,2.2,11,24,0,0
NR14,16,107,0,0,6.7
NR15,0,13,0,0,0
NR16,9,0,0,0,0
NR17,0,9,0,0,0
NR18,9,0,0,0,0
NR19,6.9,14,96,0,25
NR20,9,60,0,0,6.7
NR21,0,8,,,
NR22,1,,,,0
NR23,0,2,,,
NR24,2,0,36,0,0
NR25,1.3,4,5,0,0
NR26,3,,,,0
NR27,0,8,,,
NR28,4,,,,0
NR29,2.2,11,24,0,36
NR30,9,11,0,0,1.2
NR31,0.4,22,9,0,0
NR32,18,9,0,0,0.5
NR33,0.6,16,10,0,0
NR34,20,78,0,0,3.9
NR35,0,10,0,0,0
NW1,23,,,,0
NW2,0,20,,,
NW3,38,,,,0
NW4,0,18,,,
NW5,14,,,,0
NW6,0,28,,,
NW7,18,,,,0
NW8,0,13,,,
NW9,23,,,,0
NW10,0,32,,,
NW11,15,,,,0
OL1,12.4,17,210,0,48
OL2,22,60,0,92,2.7
OL3,7.5,13,97,0,76
OL4,18,0,0,30,0
OL5,8.3,9,75,0,0
OL6,22,102,0,0,4.6
OL7,10.6,8,85,0,0
OL8,28,238,28,178,8.5
OL9,14.2,27,383,34,213
OL10,16,123,0,0,7.7
OL11,2.2,20,44,0,100
OL12,32,121,0,57,3.8
OL13,9.2,13,120,0,0
OL14,9,0,0,0,0
OL15,5.7,7,40,0,0
OL16,22,214,0,27,9.7
OX1,0,10,,,
OX2,16,,,,0
OX3,4.6,25,114,0,0
OX4,30,192,0,15,6.4
OX5,8.2,15,123,0,0
OX7,18,63,0,0,3.5
OX9,3,6,18,18,0
OX10,19,177,14,0,9.3
OX11,12.3,19,233,100,0
OX12,12,,,,0
OX13,2.7,10,27,0,0
OX14,22,7,0,0,0.3
OX15,4.1,14,57,0,0
OX16,21,30,0,0,1.4
OX17,5.9,17,100,0,0
OX18,15,59,32,0,3.9
OX20,6.8,6,41,9,0
OX25,3,,,,0
OX26,0.8,18,15,0,0
OX27,4,10,0,0,2.5
OX28,5.6,16,89,6,0
OX29,20,105,0,0,5.3
OX33,4,5,20,0,0
OX39,2,,,,0
OX44,0,3,,,
OX49,2,,,,0
PE1,0.8,27,22,0,0
PE2,28,171,0,0,6.1
PE3,1.9,18,34,0,0
PE4,9,29,0,0,3.2
PE5,11,2,22,0,0
PE6,22,219,0,0,10
PE7,3.4,22,74,13,0
PE8,17,62,0,0,3.6
PE9,2.4,19,46,0,0
PE10,13,119,36,0,9.2
PE11,3.2,30,97,0,7
PE12,26,74,0,40,2.8
PE13,1.4,22,31,0,0
PE14,18,42,0,0,2.3
PE15,12.6,11,139,0,0
PE16,4,0,0,0,0
PE19,7.1,31,219,0,0
PE20,5,,,,0
PE21,2,20,40,0,0
PE22,16,83,0,0,5.2
PE23,0,8,,,
PE24,5,55,0,0,11
PE25,8.8,12,106,0,0
PE26,9,90,0,0,10
PE27,9,8,72,0,0
PE28,28,150,0,0,5.4
PE29,5,15,75,0,0
PE30,16,0,0,0,0
PE31,1.3,7,9,0,0
PE32,15,81,22,0,5.4
PE33,2.3,8,18,0,0
PE34,11,32,0,0,2.9
PE36,0,3,,,
PE37,6,,,,0
PE38,1.3,9,12,0,0
PL1,18,258,0,135,14.3
PL2,8.7,13,113,0,109
PL3,10,162,0,103,16.2
PL4,4.9,11,54,117,77
PL5,29,374,29,173,12.9
PL6,16.3,22,359,0,189
PL7,15,128,5,202,8.5
PL8,8.4,7,59,0,0
PL9,18,306,0,177,17
PL10,0,3,0,0,12
PL11,8,31,0,18,3.9
PL12,12.4,15,186,0,36
PL13,6,113,0,57,18.8
PL14,10.5,23,241,16,145
PL15,22,178,0,162,8.1
PL16,0,1,,,
PL17,4,78,0,12,19.5
PL18,4.8,5,24,0,36
PL19,16,136,0,29,8.5
PL20,1.5,12,18,0,11
PL21,13,60,0,9,4.6
PL22,0,3,,,
PL23,3,,,,0
PL24,27.4,5,137,0,0
PL25,12,267,0,0,22.3
PL26,8.5,15,127,0,34
PL27,9,122,0,3,13.6
PL28,23,2,46,0,20
PL29,2,11,0,0,5.5
PL30,7,18,126,0,68
PL31,7,36,0,0,5.1
PL32,5,4,20,0,10
PL33,1,,,,0
PL34,4.5,2,9,0,10
PL35,2,10,0,0,5
PO1,0,13,0,0,0
PO2,17,69,0,0,4.1
PO3,24,3,72,0,0
PO4,13,102,0,0,7.8
PO5,5,8,40,0,0
PO6,8,0,0,0,0
PO7,4.9,25,122,0,0
PO8,16,139,0,0,8.7
PO9,1.7,23,39,0,0
PO10,11,59,0,0,5.4
PO11,5.1,7,36,0,0
PO12,13,200,0,0,15.4
PO13,8.3,15,124,0,0
PO14,20,140,65,0,7
PO15,6.6,7,46,0,0
PO16,10,252,0,0,25.2
PO17,6.8,4,27,0,0
PO18,9,35,0,0,3.9
PO19,4.1,16,66,0,0
PO20,14,14,0,0,1
PO21,9.5,11,105,0,0
PO22,8,90,0,0,11.3
PO30,0,16,,,
PO31,4,,,,0
PO32,0,2,,,
PO33,10,,,,0
PO34,0,1,,,
PO35,1,,,,0
PO36,0,4,,,
PO37,2,,,,0
PO38,0,6,,,
PO39,1,,,,0
PO40,0,1,,,
PO41,1,,,,0
PR1,0.9,50,43,0,15
PR2,43,196,0,30,4.6
PR3,3.9,40,157,30,54
PR4,53,186,0,30,3.5
PR5,3.6,36,129,0,56
PR6,28,335,0,140,12
PR7,11.1,39,434,12,134
PR8,16,28,0,0,1.8
PR25,1.1,26,29,0,98
PR26,12,97,0,16,8.1
RG1,0,19,0,0,3
RG2,26,30,0,0,1.2
RG4,8.5,21,179,111,10
RG5,15,11,5,0,0.7
RG6,10.1,10,101,0,0
RG7,27,87,12,0,3.2
RG8,5,10,50,0,0
RG9,10,17,0,0,1.7
RG10,11.2,18,201,24,0
RG12,18,20,0,0,1.1
RG14,0,21,0,0,0
RG17,10,91,0,0,9.1
RG18,0,9,0,0,0
RG19,7,0,0,0,0
RG20,4,24,96,0,0
RG21,21,174,0,0,8.3
RG22,6.9,19,132,0,0
RG23,8,0,0,0,0
RG24,10.1,16,161,0,0
RG25,8,33,0,0,4.1
RG26,7.8,13,101,0,0
RG27,14,54,0,0,3.9
RG28,0,1,,,
RG29,7,37,0,0,5.3
RG30,7.4,23,170,24,30
RG31,12,0,0,0,0
RG40,7.8,23,179,9,4
RG41,17,99,0,0,5.8
RG42,2.1,14,29,0,0
RG45,7,11,0,0,1.6
RH1,1.7,20,34,0,0
RH2,14,,,,0
RH3,0,1,0,0,0
RH4,9,150,0,0,16.7
RH5,0,10,,,
RH6,15,71,0,0,4.7
RH7,0,5,0,0,0
RH8,12,33,0,0,2.8
RH9,20,1,20,0,0
RH10,29,319,0,0,11
RH11,5.6,17,96,0,0
RH12,22,128,0,0,5.8
RH13,3.8,26,100,0,0
RH14,6,,,,0
RH15,18.1,13,235,0,0
RH16,11,,,,0
RH17,3.1,18,56,0,0
RH18,3,,,,0
RH19,1.4,14,20,0,0
RH20,9,18,0,0,2
RM1,0,13,,,
RM2,6,,,,0
RM3,0,14,,,
RM4,3,,,,0
RM5,0,3,,,
RM6,13,,,,0
RM7,0,7,,,
RM8,13,,,,0
RM9,0,14,,,
RM10,13,,,,0
RM11,0,11,,,
RM12,12,,,,0
RM13,0,11,,,
RM14,13,,,,0
RM15,5.1,10,51,0,0
RM16,16,144,0,43,9
RM17,11.5,8,92,0,3
RM18,6,7,0,34,1.2
RM19,0,2,0,0,0
RM20,1,0,0,0,0
S1,0,1,,,
S2,18,48,0,4,2.7
S3,0,6,,,
S4,6,,,,0
S5,0,18,,,
S6,14,44,0,0,3.1
S7,4.4,9,40,0,0
S8,17,95,0,10,5.6
S9,4.3,14,60,0,0
S10,17,206,0,0,12.1
S11,9.8,13,128,0,10
S12,9,,,,0
S13,8.5,11,94,0,12
S14,1,,,,0
S17,5,6,30,0,0
S18,17,354,0,121,20.8
S20,6.5,11,71,0,0
S21,13,3,0,0,0.2
S25,4.7,12,56,0,0
S26,14,,,,0
S32,4.8,4,19,0,0
S33,9,0,38,38,0
S35,7,21,147,0,8
S36,20,160,0,0,8
S40,19.6,19,373,7,86
S41,26,246,25,59,9.5
S42,10,15,150,2,7
S43,21,93,2,24,4.4
S44,7.7,15,115,1,3
S45,8,102,0,8,12.8
S60,0,17,,,
S61,15,,,,0
S62,1.5,13,20,0,0
S63,17,0,0,46,0
S64,0,13,,,
S65,21,0,0,0,0
S66,0,18,,,
S70,14,22,238,0,1.6
S71,3.6,18,65,0,0
S72,10,22,0,0,2.2
S73,8,11,88,0,0
S74,9,21,80,85,2.3
S75,4.4,17,75,0,53
S80,17,235,0,36,13.8
S81,13.1,17,222,0,66
SE1,26,,,,0
SE2,0,8,,,
SE3,18,,,,0
SE4,0,9,,,
SE5,18,,,,0
SE6,0,18,,,
SE7,9,,,,0
SE8,0,12,,,
SE9,29,,,,0
SE10,0,9,,,
SE11,14,,,,0
SE12,0,10,,,
SE13,8,,,,0
SE14,0,10,,,
SE15,28,,,,0
SE16,0,19,,,
SE17,12,,,,0
SE18,0,27,,,
SE19,12,,,,0
SE20,0,6,,,
SE21,11,,,,0
SE22,0,11,,,
SE23,14,,,,0
SE24,0,8,,,
SE25,13,,,,0
SE26,0,9,,,
SE27,6,,,,0
SE28,0,11,,,
SG1,23,0,0,0,0
SG2,0.6,25,14,0,0
SG3,3,,,,0
SG4,3.6,27,97,0,0
SG5,24,111,0,0,4.6
SG6,1.8,21,37,0,0
SG7,8,,,,0
SG8,4.1,29,118,0,0
SG9,9,0,0,0,0
SG10,0,2,,,
SG11,11,0,0,0,0
SG12,0,23,0,0,0
SG13,14,34,0,0,2.4
SG14,0,15,0,0,0
SG15,3,0,0,0,0
SG16,5.3,7,37,0,0
SG17,6,56,0,0,9.3
SG18,3,13,39,0,0
SG19,14,20,0,0,1.4
SK1,0,5,,,
SK2,11,29,0,0,2.6
SK3,1.8,18,33,0,0
SK4,22,146,0,0,6.6
SK5,2.1,14,30,0,0
SK6,22,118,0,0,5.4
SK7,7.8,17,132,0,0
SK8,35,48,60,0,1.4
SK9,11.9,22,262,65,1
SK10,26,327,46,46,12.6
SK11,5.8,20,115,0,0
SK12,10,110,0,0,11
SK13,3.2,26,84,0,0
SK14,25,74,0,0,3
SK15,8,18,144,0,0
SK16,13,77,0,0,5.9
SK17,1.6,30,48,4,89
SK22,15,76,0,0,5.1
SK23,1.9,12,23,0,29
SL0,5,23,0,0,4.6
SL1,1.2,31,36,0,0
SL2,24,0,0,0,0
SL3,0,21,,,
SL4,31,23,0,0,0.7
SL5,0,12,,,
SL6,43,268,0,0,6.2
SL7,1.7,14,24,0,0
SL8,4,24,0,0,6
SL9,7.4,13,96,0,0
SM1,11,,,,0
SM2,0,8,0,0,0
SM3,9,,,,0
SM4,0,12,,,
SM5,18,,,,0
SM6,0,15,,,
SM7,9,38,0,0,4.2
SN1,8,12,96,0,0
SN2,16,23,0,0,1.4
SN3,2,25,49,0,0
SN4,11,12,0,0,1.1
SN5,4.3,18,78,0,0
SN6,16,120,18,0,7.5
SN7,0,9,,,
SN8,24,169,0,0,7
SN9,2.6,7,18,0,0
SN10,23,107,0,0,4.7
SN11,0,12,0,0,0
SN12,11,43,0,0,3.9
SN13,2,9,18,0,0
SN14,17,80,18,0,4.7
SN15,3.3,22,73,0,0
SN16,14,80,0,0,5.7
SN25,6.1,23,141,0,0
SN26,1,,,,0
SO14,0,6,0,0,0
SO15,13,,,,0
SO16,2.9,29,84,0,48
SO17,5,36,0,0,7.2
SO18,0,11,0,0,0
SO19,17,36,0,89,2.1
SO20,0,4,0,0,39
SO21,17,94,0,0,5.5
SO22,12.7,15,190,0,0
SO23,10,41,0,0,4.1
SO24,4.1,8,33,0,0
SO30,14,96,12,0,6.9
SO31,6.4,14,90,0,0
SO32,14,47,0,0,3.4
SO40,6.2,23,143,0,0
SO41,20,155,0,0,7.8
SO42,9.3,3,28,0,0
SO43,4,,,,0
SO45,7.9,20,158,0,0
SO50,24,237,0,0,9.9
SO51,18.3,16,292,2,121
SO52,1,,,,0
SO53,7.7,20,153,0,0
SP1,26,46,0,0,1.8
SP2,3.8,14,53,0,0
SP3,10,8,0,0,0.8
SP4,2.6,21,54,0,0
SP5,16,61,0,0,3.8
SP6,6.6,14,93,0,0
SP7,10,4,11,0,0.4
SP8,0,5,,,
SP9,5,0,0,0,0
SP10,6.8,19,129,0,120
SP11,26,123,0,30,4.7
SR1,0,1,,,
SR2,22,8,0,2,0.4
SR3,0.8,19,15,0,3
SR4,18,0,0,0,0
SR5,3.2,23,74,0,23
SR6,12,0,0,0,0
SR7,0,11,0,0,0
SR8,26,129,0,0,5
SS0,0,14,0,0,0
SS1,7,186,0,0,26.6
SS2,0,11,0,0,149
SS3,9,24,0,0,2.7
SS4,4,12,48,0,0
SS5,4,24,0,0,6
SS6,3.4,7,24,0,0
SS7,20,132,36,18,6.6
SS8,3.8,11,42,0,0
SS9,24,348,0,0,14.5
SS11,6,7,42,0,0
SS12,12,14,0,0,1.2
SS13,0,8,0,0,0
SS14,15,0,0,0,0
SS15,2.2,11,24,0,0
SS16,14,23,27,0,1.6
SS17,10.9,14,153,0,0
ST1,16,101,0,120,6.3
ST2,12.3,17,209,0,6
ST3,26,318,0,0,12.2
ST4,13.2,27,357,269,338
ST5,53,647,82,86,12.2
ST6,12.1,30,364,0,60
ST7,36,473,0,120,13.1
ST8,9.8,12,118,27,34
ST9,10,131,0,0,13.1
ST10,14.4,26,374,0,0
ST11,12,96,55,55,8
ST12,8.3,3,25,0,0
ST13,19,17,24,24,0.9
ST14,15.7,20,314,48,98
ST15,16,604,0,98,37.8
ST16,1.9,15,29,0,100
ST17,33,1007,0,76,30.5
ST18,16.3,20,325,0,20
ST19,15,48,60,60,3.2
ST20,32,6,192,0,0
ST21,3,,,,0
SW1E,0,1,,,
SW1H,1,,,,0
SW1P,0,10,,,
SW1V,7,,,,0
SW1W,0,5,,,
SW1X,5,,,,0
SW2,0,16,,,
SW3,9,,,,0
SW4,0,17,,,
SW5,5,,,,0
SW6,0,25,,,
SW7,9,,,,0
SW8,0,9,,,
SW9,12,,,,0
SW10,0,6,,,
SW11,24,,,,0
SW12,0,16,,,
SW13,6,,,,0
SW14,0,6,,,
SW15,26,,,,0
SW16,0,16,,,
SW17,23,,,,0
SW18,0,18,,,
SW19,30,,,,0
SW20,0,14,,,
SY1,14,91,3,0,6.5
SY2,4.6,9,41,0,0
SY3,12,33,24,0,2.8
SY4,3.7,24,89,94,0
SY5,17,44,0,0,2.6
SY6,4,5,20,0,0
SY7,12,30,13,0,2.5
SY8,2.1,10,21,0,0
SY9,3,0,0,0,0
SY10,3.3,9,30,0,0
SY11,15,56,0,0,3.7
SY12,3,8,24,0,0
SY13,7,,,,0
SY14,0,4,,,
SY15,1,,,,0
TA1,5.9,21,124,0,0
TA2,22,69,0,0,3.1
TA3,0,7.3,16,117,0
TA4,18,208,0,0,11.6
TA5,0,3.3,9,30,0
TA6,28,138,0,0,4.9
TA7,0,4.6,14,65,0
TA8,5,12,0,0,2.4
TA9,,0,8,,
TA10,10,110,0,0,11
TA11,5.1,7,36,0,0
TA12,5,54,0,0,10.8
TA13,4.5,4,18,0,0
TA14,5,30,0,0,6
TA15,12,2,24,0,0
TA16,1,,,,0
TA17,,0,1,,
TA18,8,,,,0
TA19,0,4.4,7,31,0
TA20,13,51,0,0,3.9
TA21,0,4.6,19,88,0
TA22,3,18,0,0,6
TA23,,0,2,,
TA24,9,,,,0
TD15,,0,15,,
TF1,15,96,0,0,6.4
TF2,0,4.7,18,84,0
TF3,8,72,0,0,9
TF4,,0,9,,
TF5,1,,,,0
TF6,0,9,4,36,0
TF7,8,,,,0
TF8,,0,1,,
TF9,18,44,0,0,2.4
TF10,0,7.4,13,96,0
TF11,8,17,0,0,2.1
TF12,0,5.4,5,27,18
TF13,4,17,0,0,4.3
TN1,,0,1,,
TN2,10,64,0,0,6.4
TN3,0,2.8,10,28,0
TN4,18,117,20,0,6.5
TN5,30,0,8,0,0
TN6,11,44,0,0,4
TN7,0,0,2,0,0
TN8,6,22,0,0,3.7
TN9,0,4.5,11,49,11
TN10,4,,,,0
TN11,0,4.1,16,65,0
TN12,9,,,,0
TN13,0,4.5,17,77,0
TN14,10,40,0,0,4
TN15,0,0.9,14,13,0
TN16,9,43,0,0,4.8
TN17,0,3.5,15,53,0
TN18,4,,,,0
TN19,0,0,3,0,0
TN20,5,21,0,0,4.2
TN21,24,9.2,13,120,0
TN22,24,75,0,0,3.1
TN23,94,17.1,22,377,61
TN24,13,212,0,0,16.3
TN25,0,7.1,20,141,0
TN26,5,46,0,0,9.2
TN27,0,1.3,9,12,0
TN28,3,,,,0
TN29,0,2.8,4,11,0
TN30,6,,,,0
TN31,0,4,11,44,0
TN32,8,28,0,0,3.5
TN33,0,5.3,14,74,0
TN34,9,0,0,0,0
TN35,0,0,10,0,0
TN36,2,0,0,0,0
TN37,0,5.3,8,42,0
TN38,13,11,0,0,0.8
TN39,0,0,9,0,0
TN40,10,30,0,0,3
TQ1,0,9.2,11,101,4
TQ2,14,140,0,0,10
TQ3,12,12.9,9,116,8
TQ4,2,28,0,0,14
TQ5,0,6.3,10,63,0
TQ6,5,0,0,0,0
TQ7,0,0,9,0,0
TQ8,1,,,,0
TQ9,0,4.2,22,92,0
TQ10,1,,,,0
TQ11,0,0,3,0,0
TQ12,39,121,0,0,3.1
TQ13,0,2.6,15,39,0
TQ14,7,0,0,0,0
TR1,0,1.6,14,23,0
TR2,12,63,0,0,5.3
TR3,0,6.8,12,81,0
TR4,14,24,0,0,1.7
TR5,,0,2,,
TR6,1,,,,0
TR7,0,15.1,8,121,0
TR8,6,21,0,0,3.5
TR9,0,18,2,36,0
TR10,5,24,0,0,4.8
TR11,0,7.5,13,98,0
TR12,12,36,0,0,3
TR13,0,3.9,17,66,0
TR14,19,71,0,0,3.7
TR15,,0,7,,
TR16,10,24,0,0,2.4
TR17,,0,1,,
TR18,12,46,0,29,3.8
TR19,0,4.6,9,41,0
TR20,10,69,0,0,6.9
TR21,,0,1,,
TR26,4,20,0,0,5
TR27,0,9,9,81,0
TS1,5,,,,0
TS2,,0,1,,
TS3,19,,,,0
TS4,,0,9,,
TS5,13,2,0,2,0.2
TS6,32,5.2,17,89,0
TS7,12,2,0,2,0.2
TS8,0,4.6,9,41,0
TS9,7,,,,0
TS10,101,3,16,48,0
TS11,5,53,0,0,10.6
TS12,,0,8,,
TS13,6,,,,0
TS14,0,1.3,9,12,0
TS15,9,45,0,0,5
TS16,0,3.1,8,25,0
TS17,19,71,0,0,3.7
TS18,,0,7,,
TS19,16,,,,0
TS20,,0,9,,
TS21,6,0,0,0,0
TS22,,0,4,,
TS23,11,15,0,0,1.4
TS24,,0,11,,
TS25,17,,,,0
TS26,,0,6,,
TS27,8,6,0,0,0.8
TS28,,0,3,,
TS29,3,,,,0
TW1,,0,10,,
TW2,17,,,,0
TW3,,0,10,,
TW4,8,,,,0
TW5,,0,10,,
TW7,15,,,,0
TW8,,0,7,,
TW9,10,,,,0
TW10,,0,12,,
TW11,7,,,,0
TW12,,0,11,,
TW13,15,,,,0
TW14,,0,8,,
TW15,10,87,0,0,8.7
TW16,0,2.9,11,32,0
TW17,5,,,,0
TW18,0,0,9,0,0
TW19,3,,,,0
TW20,0,2.5,12,30,0
UB1,16,,,,0
UB2,,0,14,,
UB3,15,,,,0
UB4,,0,16,,
UB5,12,,,,0
UB6,,0,15,,
UB7,12,,,,0
UB8,,0,15,,
UB9,5,,,,0
UB10,,0,16,,
W1B,3,,,,0
W1D,,0,1,,
W1G,1,,,,0
W1H,,0,6,,
W1J,1,,,,0
W1K,,0,1,,
W1U,3,,,,0
W1W,,0,1,,
W2,14,,,,0
W3,,0,21,,
W4,14,,,,0
W5,,0,17,,
W6,24,,,,0
W7,,0,11,,
W8,7,,,,0
W9,,0,12,,
W10,23,,,,0
W11,,0,12,,
W12,21,,,,0
W13,,0,10,,
W14,13,,,,0
WA1,26,8,15,120,0
WA2,22,64,0,0,2.9
WA3,0,3,26,77,0
WA4,26,96,12,0,3.7
WA5,0,4.5,31,141,0
WA6,16,56,0,0,3.5
WA7,0,4,43,172,0
WA8,30,177,0,0,5.9
WA9,0,1.7,20,33,0
WA10,13,19,0,0,1.5
WA11,,0,14,,
WA12,12,18,19,0,1.5
WA13,27,10.1,8,81,0
WA14,16,50,0,0,3.1
WA15,0,0.9,19,18,0
WA16,13,118,0,60,9.1
WC1A,,0,1,,
WC1B,1,,,,0
WC1H,,0,1,,
WC1N,3,,,,0
WC2B,,0,2,,
WC2E,1,,,,0
WD3,0,3.6,34,123,0
WD4,5,27,0,0,5.4
WD5,0,0,6,0,0
WD6,17,,,,0
WD7,0,2.7,12,32,0
WD17,9,0,0,0,0
WD18,0,4.4,15,66,0
WD19,9,,,,0
WD23,0,1.5,24,36,0
WD24,9,67,0,0,7.4
WD25,0,1.2,19,22,0
WF1,22,125,0,0,5.7
WF2,0,4.3,18,77,0
WF3,15,255,0,6,17
WF4,45,7.6,24,183,0
WF5,10,28,0,0,2.8
WF6,0,3.3,9,30,0
WF7,14,102,0,0,7.3
