Row Labels,Number of instructors,Sum of Number of schools,No delivery due to covid,Sum of Levels 1 and 2 places attended (2020/21),Sum of L1 and L2 places attended - 2019/20,Sum of Level 3 Places Attended (2020/21),Sum of Plus Places Attended (2020/21),Sum of % schools that booked Bikeability2,Sum of % schools that booked Bikeability,Sum of Level 3 places attended - 2019/20,Sum of Level 3 Places Attended (2018/19),Sum of Levels 1 and 2 Places Attended (2018/19)
BD21,0,10,,129,230,0,63,30,30,0,0,114
BD22,2,14,,80,94,0,0,21,21,0,0,110
BD23,1,27,,94,229,0,0,26,26,0,0,206
BD24,1,4,,15,16,0,0,25,25,0,0,26
BD3,0,17,Yes,0,492,0,0,12,12,0,0,368
BD4,0,17,,111,53,0,40,12,12,0,0,15
BD5,1,24,,0,26,0,0,0,0,0,0,58
BD6,0,10,,25,30,0,0,10,10,0,0,0
BD7,1,10,,0,0,0,0,0,0,0,0,100
BD8,1,20,,127,31,0,24,5,5,0,0,192
BD9,1,17,,114,190,0,0,24,24,0,0,199
BH1,0,3,,0,0,0,0,0,0,0,0,0
BH10,0,6,Yes,0,46,0,0,33,33,3,0,9
BH11,1,7,Yes,0,24,0,0,29,29,0,0,33
BH12,1,11,,12,56,0,0,45,45,0,0,42
BH13,0,1,,0,0,0,0,0,0,0,0,0
BH14,2,5,,48,69,0,0,40,40,0,0,47
BH15,0,10,,10,127,0,0,50,50,29,27,111
BH16,1,6,,26,15,0,0,50,50,0,0,0
BH17,1,10,,23,54,0,0,30,30,0,0,84
BH18,0,4,Yes,0,35,0,0,25,25,3,15,58
BH19,0,6,,7,32,9,0,17,17,6,33,45
BH2,1,3,,0,23,0,0,0,0,0,0,12
BH20,0,11,,99,48,0,0,27,27,0,0,36
BH21,1,26,,5,110,9,0,15,15,15,15,68
BH22,1,7,,25,72,0,0,29,29,15,24,58
BH23,3,19,,108,440,103,0,47,47,116,53,228
BH24,3,10,,18,295,0,0,10,10,0,3,186
BH25,1,8,,50,103,9,0,25,25,42,0,208
BH3,0,1,,30,25,0,0,100,100,0,0,0
BH31,0,4,,0,0,0,0,0,0,0,0,0
BH4,0,1,,0,0,0,0,0,0,0,0,0
BH5,0,3,Yes,0,55,0,0,67,67,0,0,52
BH6,2,4,,12,0,0,0,25,25,0,0,49
BH7,0,4,,0,41,0,0,0,0,0,0,0
BH8,1,9,,0,0,0,0,0,0,0,0,0
BH9,0,7,,38,140,0,0,43,43,0,0,109
BL0,2,10,,35,234,0,0,30,30,0,0,291
BL1,1,32,,282,413,14,104,44,44,6,0,464
