Node,Total Sales ::: 2011,Total Sales ::: 2012,Total Sales ::: 2013,Total Sales ::: 2014,Total Sales ::: Total Sales - 2015,Total Sales ::: Total Sales - 2016,Total Sales ::: Total Sales - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,2196.6,2266.4,2289.4,2411.9,2568.3,2640,2771.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,782.1,760.2,766,776.8,783.6,796.7,814.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,15650.5,15627.9,15127.9,14749,15600.7,15350.7,16086.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,242.3,248.7,258.5,267.7,264.7,268,261.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,343.2,331.8,338.6,345.8,343.9,339,338.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,3165.7,3206.6,3112.2,3054.7,3035.4,3044.6,3046.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,961.8,964.5,946.7,943.8,923.8,926.3,920.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,8414,8615.1,8694.8,8839.5,9344,9438.5,9462.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,2254.3,2001.8,1935.7,1947.9,2041.7,2161.8,2190.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,3005.4,3096.3,2963.2,2890.3,3253.8,3548,3703.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,1120.6,1096,1024.7,1002.2,1043.8,1074.8,1102.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,411.5,397.3,369.4,348,353.2,344.8,356.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,11217,11120.8,10695.5,10692.5,10995.3,11175.6,11520.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,1497.5,1471.3,1489.6,1505,1484.7,1509.5,1498.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,2094.5,2061.9,2053.3,2016,2032.3,1979.1,1995.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,13226.2,13124.1,13213.1,13149.3,13131.8,13294.6,13260.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vatican City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
