Node,"Conservative Prediction",Lab_pred,Lib_pred,SNP_pred,Plaid_pred,Green_pred,RefUK_pred,Other_pred,Winner_pred,Con_2019,Lab_2019,Lib_2019,SNP_2019,Plaid_2019,Green_2019,Brexit_2019,Other_2019,Winner_2019
Wallasey,16.4,61.5,6.6,0,0,5.9,6.7,3.1,Lab,24.9,64.3,4,0,0,2.4,4.4,0,Lab
"City of Durham",20.7,51.7,15.5,0,0,3.9,5.7,2.7,Lab,31.7,42,16.2,0,0,3.3,6.7,0,Lab
"Holborn and St Pancras",14.8,52.5,14,0,0,11.3,5.5,2.1,Lab,15.6,64.5,12.9,0,0,4.8,1.8,0.3,Lab
"Coventry South",26,41.5,12.2,0,0,8.1,7.3,5.1,Lab,42.5,43.4,7.5,0,0,2.4,3.2,1,Lab
"Barrow and Furness",29.3,43.1,9.1,0,0,5,10.3,3.4,Lab,51.9,39.3,4.4,0,0,1.5,2.9,0,Con
"Mitcham and Morden",19.3,48.5,12.3,0,0,9.3,7.9,2.9,Lab,25.1,61.1,8.1,0,0,2.5,2.6,0.5,Lab
"Ruislip, Northwood and Pinner",34.1,29.3,15.8,0,0,8,8.3,4.7,Con,55.6,24.6,15.1,0,0,3.1,0,1.7,Con
"Tonbridge and Malling",39.7,26.1,15.2,0,0,8.6,6.8,3.8,Con,62.8,14.5,15.5,0,0,7.2,0,0,Con
"York Central",18.8,52,13.1,0,0,8.7,4.8,2.8,Lab,27.8,55.2,8.4,0,0,4.3,3,1.4,Lab
"North West Norfolk",40.8,30,11.3,0,0,7.7,5.8,4.6,Con,65.7,23,7.8,0,0,3.5,0,0,Con
"Penistone and Stocksbridge",31,38.5,14.5,0,0,5.5,7.4,3.3,Lab,47.8,33.3,10.2,0,0,0,8.7,0,Con
"Nottingham East",14.8,55.9,10.6,0,0,10.9,5.7,2.3,Lab,20.9,64.3,4.9,0,0,3,3.4,3.6,Lab
"Bournemouth West",33.3,34.8,16.1,0,0,8,6,2,Lab,53.4,31.3,10.7,0,0,4.6,0,0,Con
Bracknell,36.4,31.5,15.2,0,0,6.9,6.4,3.8,Con,58.7,22.2,14.3,0,0,3.8,0,1,Con
Halifax,26,47.5,10.4,0,0,6.8,6.5,3,Lab,40.7,46.3,4.9,0,0,2,6.1,0,Lab
"Isle of Wight",36.6,30.4,7.7,0,0,13,7.7,4.9,Con,56.2,24.3,0,0,0,15.2,0,4.3,Con
Aldridge-Brownhills,42.8,26.5,12.2,0,0,6.1,6.8,5.8,Con,70.8,20.4,6,0,0,2,0,0.9,Con
"Vale of Glamorgan",25.4,51.7,5,0,4,6.9,6.7,0.9,Lab,49.8,43.3,0,0,0,5.9,0,0.9,Con
Blackburn,14.8,59.3,6.4,0,0,7.5,7.9,4.2,Lab,24,64.9,2.5,0,0,1.7,6.2,0.7,Lab
"Mid Worcestershire",41.2,25.1,14.1,0,0,7.5,6.8,5.5,Con,66.7,16.8,11.5,0,0,3.9,0,1.1,Con
"Saffron Walden",39,23.6,19,0,0,8.8,5.4,4.5,Con,63,13.2,19.2,0,0,4.7,0,0,Con
Stafford,36.1,33.4,11.7,0,0,8,6.6,4.3,Con,58.6,30.5,6.2,0,0,4.6,0,0,Con
"Bury South",25.4,45.2,8.9,0,0,6.3,10.1,4.4,Lab,43.8,43,4.6,0,0,1.7,3.3,3.5,Con
"North East Fife",15.3,14.1,25.7,38,0,2.9,1.9,2.4,SNP,13,3.7,43.1,40.2,0,0,0,0,Lib
Kettering,33,35.9,13.9,0,0,7.4,7.1,2.9,Lab,60.3,26.4,6.8,0,0,3.1,0,3.3,Con
Henley,34.6,24.1,24.8,0,0,6.9,6.4,3.4,Con,54.8,9.7,30.9,0,0,4.7,0,0,Con
"Wyre Forest",40.2,29,12.7,0,0,7.3,6.2,4.8,Con,65.2,22.8,8.1,0,0,3.9,0,0,Con
Stratford-on-Avon,38.9,23.3,19.4,0,0,8.5,5.8,4.4,Con,60.6,11.3,24.3,0,0,3.8,0,0,Con
"Bermondsey and Old Southwark",15.4,47,21,0,0,8.7,6.1,2,Lab,16.5,54.1,26.6,0,0,0,2.8,0,Lab
Macclesfield,30.4,40.4,12,0,0,6.6,7.6,3.1,Lab,52.5,32.6,10.6,0,0,4.3,0,0,Con
"Bristol South",21.6,47.9,14,0,0,8.2,6.6,1.8,Lab,32.7,50.5,7.7,0,0,4.9,4.2,0,Lab
"Warwick and Leamington",27.3,41.8,13.5,0,0,8.5,5.3,3.9,Lab,42.3,43.8,9.2,0,0,2.8,1.5,0.4,Lab
"South Leicestershire",35.5,32.9,14.8,0,0,8.2,6.9,1.9,Con,64,22.3,9.5,0,0,4.2,0,0,Con
"Westmorland and Lonsdale",27.2,25,32.2,0,0,4.3,8.8,2.7,Lib,45.3,4.4,48.9,0,0,0,1.4,0,Lib
"Vale of Clwyd",25.3,47.8,6.6,0,6,5.9,8.7,0.7,Lab,46.4,41.5,4,0,4.2,0,4,0,Con
"Kilmarnock and Loudoun",18.1,21.8,7.4,47,0,1.8,2.3,2.1,SNP,24.3,18.9,5.1,50.8,0,0,0,0.9,SNP
Arfon,9.8,43.8,15,0,21,5.9,4.5,0.8,Lab,15.2,35.6,0,0,45.2,0,4,0,Plaid
"St Albans",23.9,21.1,41.8,0,0,6.6,4.1,2.7,Lib,39.2,8.7,50.1,0,0,1.7,0,0.3,Lib
"Glasgow Central",8.1,31.4,5.4,46,0,5.4,2.3,2.2,SNP,9.2,33.1,4.9,49.2,0,3.6,0,0,SNP
Lichfield,40.1,28,13.6,0,0,7.3,6,5.3,Con,64.5,20.8,10.4,0,0,3.2,0,1.1,Con
"Amber Valley",34.6,35.1,14,0,0,6.9,7.6,2,Lab,63.9,26.8,6.3,0,0,3,0,0,Con
"North Cornwall",35.6,21.9,29.8,0,0,4.6,5.4,2.8,Con,59.4,8.7,30.8,0,0,0,0,1.1,Con
Charnwood,34.9,32.8,15.2,0,0,8.6,6.5,2.1,Con,63.4,23,8.8,0,0,4.8,0,0,Con
Hammersmith,18.6,50,13.8,0,0,9.5,6,2.3,Lab,23.5,57.9,13.4,0,0,3.4,1.9,0,Lab
"Enfield, Southgate",25.8,44.4,11.7,0,0,8.1,7.2,3,Lab,39.1,48.5,9.2,0,0,2.2,1,0,Lab
"Linlithgow and East Falkirk",21.1,21.6,7.7,42,0,3.1,2.7,2.1,SNP,24.7,18.2,7.6,44.2,0,2,2.2,1,SNP
Telford,35.3,35.8,11.9,0,0,5.6,6.2,5.4,Lab,59.7,34.1,6.2,0,0,0,0,0,Con
"Coventry North East",22.1,48.3,11.5,0,0,7.8,6.5,4,Lab,35.4,52.7,4.6,0,0,2.6,4.7,0,Lab
"Dundee East",19.5,16.4,8,48,0,1.9,4.4,2.1,SNP,24.3,13.4,7.9,53.8,0,0,0,0.7,SNP
"Bromley and Chislehurst",33,30.4,15.3,0,0,8.4,9.2,3.8,Con,52.6,28.7,14.5,0,0,3.4,0,0.8,Con
"Clwyd South",24.2,47,6.7,0,7,5.8,9.5,0.7,Lab,44.7,41.3,4.1,0,5.9,0,4,0,Con
"Great Grimsby",34.3,38.3,9.5,0,0,5.9,8.7,3.6,Lab,54.9,32.7,3.2,0,0,1.6,7.2,0.5,Con
"Barnsley East",23.3,40.6,8.9,0,0,6.4,15.6,5.4,Lab,27.3,37.6,3.5,0,0,2.4,29.2,0,Lab
"Liverpool, West Derby",9.6,68.4,5.7,0,0,6.4,5.1,5,Lab,9.4,77.6,2.9,0,0,1.4,4.6,4.2,Lab
