Node,"Conservative Prediction",Lab_pred,Lib_pred,SNP_pred,Plaid_pred,Green_pred,RefUK_pred,Other_pred,Winner_pred,Con_2019,Lab_2019,Lib_2019,SNP_2019,Plaid_2019,Green_2019,Brexit_2019,Other_2019,Winner_2019
"Kingston upon Hull West and Hessle",24.9,43.9,10.2,0,0,6,11,4.1,Lab,33.6,42.7,5.6,0,0,0.2,18,0,Lab
Sherwood,33.1,38.2,13.2,0,0,6.3,7,2.4,Lab,60.8,30.1,5.5,0,0,2.3,0,1.3,Con
Horsham,35.3,25.5,21.4,0,0,6.9,7.1,4,Con,56.8,14.9,23.4,0,0,4.2,0,0.8,Con
"Birmingham, Ladywood",8.2,65.1,10.1,0,0,8.8,5.4,2.6,Lab,11.3,79.2,5.3,0,0,2.2,2,0,Lab
Cleethorpes,40.9,33.3,11.6,0,0,6.3,5.2,2.9,Con,69,22.8,5.5,0,0,2.8,0,0,Con
Stroud,30.6,41.3,11.8,0,0,8.3,6,2.2,Lab,47.9,42.1,0,0,0,7.5,1.6,0.9,Con
"Milton Keynes South",31.2,40.8,10.9,0,0,6.6,6.9,3.9,Lab,50,39.2,7.3,0,0,2.3,0,1.2,Con
"Chipping Barnet",28.7,41.1,12.4,0,0,7.8,7,3.2,Lab,44.7,42.6,10.3,0,0,2.2,0,0.1,Con
"Warrington South",27.2,47,10.8,0,0,4.8,7.4,3,Lab,45.5,42.3,9.3,0,0,0,2.6,0.3,Con
"Luton South",20.5,45.9,7.2,0,0,9.1,8.8,8.8,Lab,31,51.8,0,0,0,2.4,3.8,11.1,Lab
"Birmingham, Erdington",24.5,46.9,10,0,0,7.1,7.8,4.1,Lab,40.1,50.3,3.7,0,0,1.8,4.1,0,Lab
"Airdrie and Shotts",12.4,32.8,4.9,43,0,2.5,2.2,2.5,SNP,17.6,32,3.6,45.1,0,1.7,0,0,SNP
"Lewisham East",17.6,48.3,13.8,0,0,10.1,7.1,3.3,Lab,21.5,59.5,11.2,0,0,3.8,2.8,1.2,Lab
Keighley,29.3,44.8,11.8,0,0,5.7,5.5,3.1,Lab,48.1,43.9,4.9,0,0,0,1.6,1.5,Con
Weston-Super-Mare,35.2,32.5,17.6,0,0,6.8,6,2.1,Con,57.5,26.7,12.5,0,0,3.3,0,0,Con
"South Holland and The Deepings",41.8,26.7,13.8,0,0,6.6,8.4,2.9,Con,75.9,13.2,6.6,0,0,3.3,0,1,Con
"Selby and Ainsty",35.5,33.8,15.9,0,0,6.4,5.3,3.3,Con,60.3,24.6,8.6,0,0,3.2,0,3.4,Con
"Lanark and Hamilton East",23.7,23.5,7.8,39,0,2.2,2.6,1.9,SNP,32.1,20.2,5.7,41.9,0,0,0,0,SNP
"Esher and Walton",31.3,19.5,35.4,0,0,4.8,5.9,3.3,Lib,49.4,4.5,45,0,0,0,0,1.1,Con
"Ilford North",25.7,43.7,9.9,0,0,8,9,3.8,Lab,40.1,50.5,5.3,0,0,1.7,1.9,0.4,Lab
"Stockton North",25.7,50.4,8.1,0,0,3.7,8.1,4.2,Lab,40.6,43.1,4,0,0,0,9.5,2.9,Lab
Wokingham,30.7,23.8,30.2,0,0,6,6.3,3.3,Con,49.6,10.4,37.7,0,0,2.2,0,0.1,Con
"Wolverhampton South West",29.5,42.1,11.1,0,0,6.2,7,4.4,Lab,48.3,44.3,5,0,0,0,2.5,0,Con
"Oldham East and Saddleworth",23.5,46.2,9.4,0,0,6.1,9.6,5.4,Lab,40.3,43.5,5.2,0,0,1.7,6.5,2.8,Lab
"Taunton Deane",31.6,20.7,34.9,0,0,4.9,4.8,3.4,Lib,53.6,7.4,35.2,0,0,0,0,3.8,Con
Tottenham,12.3,59.9,9.5,0,0,10.7,5.6,2.2,Lab,11.6,76,6.8,0,0,4,1.1,0.5,Lab
Woking,30.4,27.8,26.4,0,0,6.4,5.7,3.5,Con,48.9,16.4,30.8,0,0,2.8,0,1.1,Con
"Sutton Coldfield",37.2,28.9,14.5,0,0,7.9,6.8,4.9,Con,60.4,23.6,12.2,0,0,3.9,0,0,Con
Pontypridd,17.2,47.9,9,0,9,6.2,8.9,2,Lab,29.4,44.5,0,0,12.8,0,7.5,5.8,Lab
Gateshead,20.8,57.3,10.5,0,0,4.3,4.6,2.7,Lab,34.7,53.6,7.3,0,0,4.3,0,0,Lab
"Mid Bedfordshire",35.6,30.5,14.7,0,0,8.4,6.1,4.9,Con,59.8,21.7,12.6,0,0,3.8,0,2.1,Con
"Weaver Vale",25.6,48.4,9,0,0,5.5,8.7,3,Lab,43.8,44.9,6.5,0,0,2.1,2.7,0,Lab
Easington,20.1,51.7,9.3,0,0,3.5,11,4.6,Lab,26.4,45.5,4.4,0,0,0,19.5,4.2,Lab
"Dumfries and Galloway",30.6,15.9,9.3,38,0,1.6,2.9,1.9,SNP,44.1,9.2,6.1,40.6,0,0,0,0,Con
"Forest of Dean",37.2,33.3,11.6,0,0,8.7,5.9,3.5,Con,59.6,28.8,0,0,0,9.1,0,2.5,Con
Wycombe,28.8,39.7,13.2,0,0,7.4,6.6,4.5,Lab,45.2,37.5,11.9,0,0,2.7,0,2.6,Con
"West Bromwich West",30.9,38.1,11.1,0,0,6.8,7.7,5.6,Lab,50.5,39.5,2.7,0,0,1.9,5.3,0,Con
"Carmarthen West and South Pembrokeshire",29.3,44.2,7,0,8,4.8,7.2,0.7,Lab,52.7,34.3,4.4,0,8.6,0,0,0,Con
Braintree,42,26.6,12.1,0,0,6.1,6.5,6.9,Con,67.5,18.7,9.5,0,0,0,0,4.3,Con
Chorley,0,0,0,0,0,0,0,0,SPK,41.8,55.3,2,0,0,1,0,0,SPK
Angus,28.7,11,7.4,47,0,1.5,3.4,1.9,SNP,40.4,4.8,5.7,49.1,0,0,0,0,SNP
"West Aberdeenshire and Kincardine",29,11.5,15.1,39,0,1.7,2.9,1.9,SNP,42.7,4.6,11.7,41.1,0,0,0,0,Con
"Lewisham West and Penge",16.8,51.6,12.5,0,0,10,6.6,2.8,Lab,19.8,61.2,12,0,0,4.6,2,0.4,Lab
"Newport West",22.8,47,11.8,0,5,5.1,7.9,0.7,Lab,41.6,43.7,5.9,0,2.7,2.1,4,0,Lab
Gordon,27.7,12.2,11,40,0,2,6.1,1.9,SNP,41.3,5.5,10.6,42.7,0,0,0,0,SNP
Fylde,34.2,34.4,11.8,0,0,5.8,10.5,3.6,Lab,60.9,25.3,8,0,0,3.7,0,2,Con
"Liverpool, Walton",8.9,73.3,5.1,0,0,6.2,3.6,3.2,Lab,9.9,84.7,1.9,0,0,2,0,1.6,Lab
"Cumbernauld, Kilsyth and Kirkintilloch East",12.6,26,6.8,49,0,1.7,2.7,1.9,SNP,16.2,24.5,6.5,52.9,0,0,0,0,SNP
Colchester,31.4,36.6,14.9,0,0,8.2,5.7,3.3,Lab,50.4,32.8,13.9,0,0,2.9,0,0,Con
"South Norfolk",36.7,31.3,15,0,0,8,5.3,3.8,Con,58,24,14,0,0,4,0,0,Con
Falkirk,20.7,20,8,44,0,4.2,2.3,1.9,SNP,25.8,11.2,7.1,52.5,0,3.4,0,0,SNP
"Bridgwater and West Somerset",37.9,28.1,19.4,0,0,6.2,5.9,2.7,Con,62.1,19.8,13.5,0,0,3.3,0,1.3,Con
"Blackpool North and Cleveleys",32,42.4,8.9,0,0,5,8.9,3.1,Lab,57.6,35.5,3.9,0,0,1.9,0,1.1,Con
"Bexleyheath and Crayford",35.5,29.9,10.2,0,0,8,12,4.5,Con,59.8,29.5,6.5,0,0,3,0,1.2,Con
"Cynon Valley",14.9,52.5,9.6,0,8,5.4,9,1.8,Lab,22.2,51.4,3.1,0,8.5,0,10.1,4.7,Lab
Wells,32.5,20.1,34.9,0,0,5.2,4.9,2.5,Lib,54.1,7,37.9,0,0,0,0,1,Con
Ogmore,16.5,53.3,7.5,0,7,7,8.5,0.7,Lab,27.7,49.7,4.1,0,8.2,1.8,8.5,0,Lab
"Perth and North Perthshire",27.3,10.7,9.6,47,0,1.5,3,1.9,SNP,36.6,4.6,7,50.6,0,0,1.2,0,SNP
"Paisley and Renfrewshire South",15.3,27.3,6.4,45,0,1.9,1.9,2.5,SNP,17.6,25.4,6.8,50.2,0,0,0,0,SNP
Battersea,24.5,42,15.5,0,0,9.1,6.6,2.5,Lab,36.1,45.5,15.3,0,0,2.5,0.6,0,Lab
Gravesham,37.7,33.2,9.4,0,0,6.5,8.6,4.8,Con,62.2,29.4,5.4,0,0,2.9,0,0,Con
"South Basildon and East Thurrock",40.1,27.6,8.9,0,0,7.1,8.1,8.6,Con,66.2,22.2,4.3,0,0,0,0,7.3,Con
"West Suffolk",40.7,28.5,11.9,0,0,8.7,6.1,4.4,Con,65.8,20.7,9.1,0,0,4.4,0,0,Con
Ludlow,40.4,23.5,16.5,0,0,8.2,6.3,5.4,Con,64.1,15.1,17,0,0,3.8,0,0,Con
"North Durham",22.3,51.5,11.6,0,0,3.6,7.6,3.7,Lab,32.9,44.2,6.8,0,0,2.7,11.1,2.3,Lab
Lincoln,27.4,41.9,11.9,0,0,8.2,8.5,2.3,Lab,47.9,41,4.8,0,0,2.4,2.1,1.8,Con
"Louth and Horncastle",39.8,29.4,15.1,0,0,4.4,8.2,3.2,Con,72.7,17.5,7.9,0,0,0,0,2,Con
"Hornsey and Wood Green",13.7,50.5,19.4,0,0,9.9,4.7,2,Lab,11.2,57.5,26,0,0,3.6,1.2,0.5,Lab
"North Warwickshire",40.5,30.1,11.1,0,0,6.7,6.4,5.4,Con,65.9,26.8,4.5,0,0,2.8,0,0,Con
"Halesowen and Rowley Regis",36.5,34.1,10.8,0,0,6.6,6.4,5.7,Con,60.5,32,4.1,0,0,2.2,0,1.3,Con
"Liverpool, Wavertree",9.6,66.2,8.3,0,0,7.9,4.9,3.4,Lab,9.7,72.2,9.3,0,0,3.1,4.4,1.2,Lab
"Hertford and Stortford",34,30.5,16,0,0,8.4,6.8,4.5,Con,56.1,23.4,14.3,0,0,4.5,0,1.6,Con
"Richmond Park",28.3,19.1,35.6,0,0,7.7,6.5,3,Lib,41.2,5.2,53.1,0,0,0,0,0.5,Lib
Workington,28.6,43.1,8.5,0,0,5.2,10.4,4.3,Lab,49.3,39.2,3.7,0,0,1.4,4.2,2.2,Con
Broxbourne,40,30.2,11.3,0,0,7.8,6.6,4.4,Con,65.6,23.2,8.5,0,0,2.7,0,0,Con
"North West Durham",26.9,47.3,10.5,0,0,3.6,7.6,4.4,Lab,41.9,39.5,5.9,0,0,2.5,6.7,3.4,Con
"Bristol West",11.9,53.5,9.4,0,0,21.3,2.7,1.3,Lab,11.7,62.3,0,0,0,24.9,1.2,0,Lab
"North West Leicestershire",34.3,34.3,13.6,0,0,8,7.6,2.4,Lab,62.8,24.9,6.7,0,0,4.6,0,0.9,Con
"Norwich North",32,42,9.3,0,0,7.7,5.3,3.8,Lab,50.5,40.3,5.8,0,0,2.3,0,1.1,Con
Shipley,30.6,42.2,12.8,0,0,6.6,4.2,3.8,Lab,50.8,39.2,5.9,0,0,2.4,0,1.6,Con
"The Wrekin",38.4,30.5,12.5,0,0,7.3,6.3,5.2,Con,63.5,25.2,8.3,0,0,3,0,0,Con
"Coatbridge, Chryston and Bellshill",11,33.4,4.4,45,0,3.5,1.9,2,SNP,12.7,35.4,3.2,47,0,1.7,0,0,SNP
"East Hampshire",37.2,23.7,21,0,0,7,7.5,3.8,Con,58.8,11.1,24.2,0,0,4.6,0,1.4,Con
Bromsgrove,39,27.4,15.8,0,0,7.4,6.1,4.5,Con,63.4,20.8,12.5,0,0,3.3,0,0,Con
Exeter,23.3,47.9,10.5,0,0,10.7,5.6,2.2,Lab,34.7,53.2,0,0,0,8.6,2.5,1,Lab
"Poplar and Limehouse",14.4,51.1,14.5,0,0,11,6.8,2.4,Lab,15.9,63.1,14.4,0,0,3.5,2.4,0.6,Lab
"Ealing North",21.7,47.8,11.5,0,0,8.7,7.2,3.3,Lab,31.8,56.5,8.8,0,0,2.9,0,0,Lab
"Erith and Thamesmead",25.9,41.3,10.6,0,0,8.8,10,3.6,Lab,39,48,4.8,0,0,2.1,5.4,0.7,Lab
"Arundel and South Downs",37.5,27.2,19.3,0,0,6.4,6.1,3.7,Con,57.9,15.8,21.2,0,0,4.1,0,0.9,Con
Wellingborough,34,35.7,13.7,0,0,8.2,6.6,1.9,Lab,62.2,26.5,7.9,0,0,3.5,0,0,Con
Midlothian,16.1,29.3,7.1,41,0,1.8,3.2,2,SNP,21.7,29.7,7,41.5,0,0,0,0,SNP
"Derbyshire Dales",33.2,33.3,18.2,0,0,7.6,6.2,1.7,Lab,58.7,23.9,13.2,0,0,4.1,0,0,Con
"St Helens South and Whiston",14.7,56.4,7.5,0,0,7.3,10,4.3,Lab,20.5,58.5,5.7,0,0,4.5,10.6,0,Lab
Gloucester,32.8,38.6,15.2,0,0,6.5,5.1,2,Lab,54.2,35.1,8.1,0,0,2.6,0,0,Con
"The Cotswolds",35.4,22.7,28,0,0,7.3,4.7,2.2,Con,58,11.6,25,0,0,5.4,0,0,Con
Eddisbury,32.7,34.5,16,0,0,5.4,8.6,3,Lab,56.8,22,18.1,0,0,2.2,0,0.9,Con
"Enfield North",25.5,44.8,10.3,0,0,8.8,7.8,3,Lab,37.4,51.8,6.5,0,0,2.5,1.8,0,Lab
"South Suffolk",38.3,28.8,14.4,0,0,9.1,5.5,4.1,Con,62.2,19.4,12.5,0,0,5.9,0,0,Con
"Batley and Spen",24.1,46.2,11.4,0,0,6.8,6.4,5.3,Lab,36,42.7,4.7,0,0,1.3,3.2,12.2,Lab
"Ross, Skye and Lochaber",16.8,13,21,42,0,2.7,2.3,2.6,SNP,17.3,6.1,24.6,48.3,0,0,1.8,1.8,SNP
Gosport,40,25.1,14.6,0,0,6.1,10.1,4.3,Con,66.5,18.5,11.3,0,0,3.7,0,0,Con
"Sheffield Central",10.9,58.3,11.8,0,0,11.4,4.9,3,Lab,13.1,66.7,6.4,0,0,9,3.9,0.9,Lab
Tamworth,39.5,28.8,12.4,0,0,6.2,6.1,7.1,Con,66.3,23.7,5.3,0,0,2,0,2.7,Con
"Bolton South East",19.9,53.3,7.3,0,0,6.4,9.3,4.1,Lab,34.3,53,3.5,0,0,1.9,7.3,0,Lab
Crawley,32,39.6,9.4,0,0,6.9,8.2,4.1,Lab,54.2,37.4,5.5,0,0,2.9,0,0,Con
"East Surrey",37.6,25.8,18.2,0,0,6.6,7.3,4.8,Con,59.7,13.8,19.4,0,0,3.9,0,3.2,Con
"Finchley and Golders Green",28.1,30.1,24.5,0,0,7.7,6.7,3,Lab,43.8,24.2,31.9,0,0,0,0,0,Con
Salisbury,33.8,27.3,24.4,0,0,6.6,5.6,2.5,Con,56.4,18,19.6,0,0,4.6,0,1.4,Con
"Glasgow South West",9,38.4,4.5,42,0,1.6,2.3,2.5,SNP,11.5,34.6,3.9,47.9,0,0,2.2,0,SNP
"Richmond (Yorks)",37.7,27.5,19,0,0,6.7,6,3.3,Con,63.6,16.4,12.1,0,0,4.3,0,3.5,Con
"Chelsea and Fulham",31.6,29.8,21.1,0,0,7.3,6.8,3.7,Con,49.9,23.2,25.9,0,0,0,0,1.1,Con
"Croydon South",31.7,33.6,13.1,0,0,8.2,9.7,3.8,Lab,52.2,31.4,12.6,0,0,3,0,0.7,Con
"Inverness, Nairn, Badenoch and Strathspey",22.1,13.5,11.2,45,0,4,2.7,1.9,SNP,28.8,7.5,10.7,47.9,0,3.1,2,0,SNP
"North West Cambridgeshire",38.7,29,13.7,0,0,9.2,5.1,4.5,Con,62.5,22.2,10.7,0,0,4.7,0,0,Con
Devizes,38.4,25.7,20.2,0,0,7.5,6.2,2.2,Con,63.1,15.4,16,0,0,5.5,0,0,Con
Eastleigh,34.7,26.5,22.8,0,0,6.3,6.2,3.7,Con,55.4,12.8,29,0,0,2.8,0,0,Con
Putney,24.5,41.9,16.4,0,0,8.9,5.8,2.6,Lab,35.7,45.1,16.9,0,0,2.2,0,0,Lab
"Blackpool South",27.4,41.8,8.1,0,0,5.1,13.9,3.9,Lab,49.6,38.3,3.1,0,0,1.7,6.1,1.1,Con
Reigate,33.7,29.4,18.5,0,0,8,6.7,3.8,Con,53.9,19.5,19.4,0,0,6,0,1.2,Con
Stirling,25.2,12.2,7.8,48,0,2.7,2.5,2,SNP,33.5,8.1,5.4,51.1,0,1.8,0,0,SNP
"Sleaford and North Hykeham",38.3,30.9,13.6,0,0,6.6,7.3,3.6,Con,67.1,18.2,8,0,0,2.6,0,4,Con
Eastbourne,31.1,22.9,29.4,0,0,4.6,8.6,3.6,Con,48.9,7,41,0,0,0,2.8,0.3,Con
Knowsley,8.5,70.2,5,0,0,6.6,6.3,3.5,Lab,8.1,80.8,2,0,0,2.3,6.1,0.7,Lab
"Barnsley Central",20.4,43.3,8.5,0,0,6.8,15.8,5.4,Lab,21.4,40.1,3.2,0,0,2.4,30.4,2.4,Lab
"East Ham",13.4,58.6,9.3,0,0,8.8,7.7,2.5,Lab,15.6,76.3,4,0,0,1.6,2,0.5,Lab
"Dudley South",41.3,29,11.1,0,0,6.5,6.6,5.6,Con,67.9,25.3,4.4,0,0,2.4,0,0,Con
"Leeds East",24.3,49.1,9.3,0,0,7.2,6.9,3.4,Lab,35.7,49.8,4.6,0,0,2.2,7.6,0,Lab
"Birmingham, Edgbaston",23,46.4,12.5,0,0,8.3,6.3,3.7,Lab,36.9,50.1,7.9,0,0,2.6,2.5,0,Lab
"North Swindon",35.7,34.9,15.5,0,0,6.5,5.4,2.1,Con,59.1,29.8,8,0,0,3.1,0,0,Con
"Bishop Auckland",31.7,45.9,8.4,0,0,3.3,7.8,3.1,Lab,53.7,35.9,4.8,0,0,0,5.6,0,Con
"South Northamptonshire",34.7,32.5,16,0,0,8.4,6.5,2.1,Con,62.4,20.9,11.8,0,0,3.9,0,0.9,Con
"Camberwell and Peckham",13,56,11.3,0,0,11.9,6,2,Lab,11.5,71.3,9,0,0,6.2,1.8,0.2,Lab
"Kingston upon Hull North",20,47.9,10.6,0,0,8,10.2,3.5,Lab,27.6,49.8,6.1,0,0,2.6,13.9,0,Lab
"Hereford and South Herefordshire",37.2,27.6,14.8,0,0,8.1,7.9,4.6,Con,61.2,21.6,12.5,0,0,4.8,0,0,Con
"Coventry North West",26.9,42.5,11.6,0,0,8.2,6.8,4.2,Lab,43.4,43.8,5.7,0,0,3,4.1,0,Lab
"Brecon and Radnorshire",30.4,30.5,17.2,0,5,7.3,8.6,1.2,Lab,53.1,9.5,35.9,0,0,0,0,1.4,Con
"Central Ayrshire",24,23,6,42,0,1.6,2.7,1.9,SNP,34.8,14.1,4.9,46.2,0,0,0,0,SNP
Hertsmere,38.8,29.8,14.4,0,0,7.7,5.3,4.1,Con,62.5,21.7,12.6,0,0,3.2,0,0,Con
"Northampton North",29.4,42.3,11.1,0,0,7.5,8.2,1.7,Lab,53.2,39.3,5.1,0,0,2.4,0,0,Con
"Meon Valley",40.2,23.1,19.9,0,0,6.3,6.8,3.9,Con,64.3,10.3,21.4,0,0,4,0,0,Con
Pudsey,29.5,44.6,11.7,0,0,6.9,4.7,2.8,Lab,48.8,42.3,5.7,0,0,1.6,0,1.6,Con
"Hackney North and Stoke Newington",12.9,57.3,10.2,0,0,12.8,5,2,Lab,11.9,70.3,7.5,0,0,8.8,1.1,0.4,Lab
"Bury North",26,49.1,7.8,0,0,5.7,8.5,3.1,Lab,46.2,46,3.4,0,0,1.7,2.6,0,Con
"South Staffordshire",44.6,23.9,12.9,0,0,7,6.8,5,Con,73,16.5,6.6,0,0,3.9,0,0,Con
Maldon,44.7,23.9,13.2,0,0,7.5,6.3,4.6,Con,72,12.4,11.9,0,0,3.7,0,0,Con
Aberavon,12.5,56.3,8.7,0,7,5.8,8.4,1.5,Lab,20.6,53.8,3.4,0,8.6,1.4,9.8,2.3,Lab
"Northampton South",28.2,42,13.8,0,0,8.1,6.4,1.7,Lab,51.2,39.7,6.1,0,0,3,0,0,Con
"North Tyneside",21.3,55.6,9.7,0,0,3.9,7,2.7,Lab,30.7,49.7,6.4,0,0,2.8,10.4,0,Lab
"St Ives",30.4,21.5,35.2,0,0,5.6,5.4,2.1,Lib,49.3,6.9,41,0,0,1.9,0,0.9,Con
"Bury St Edmunds",38.3,28.1,5.6,0,0,14.8,7.6,5.7,Con,61,20.6,0,0,0,15.7,0,2.7,Con
"Paisley and Renfrewshire North",17.3,20.6,12.2,44,0,1.8,2.6,2.5,SNP,22.6,23,7.4,47,0,0,0,0,SNP
"Islington North",12.8,52.7,14.6,0,0,12.7,5.6,1.9,Lab,10.2,64.3,15.6,0,0,8,1.4,0.4,Lab
"Kirkcaldy and Cowdenbeath",15.6,34.4,6,37,0,3.3,2.6,1.9,SNP,20.1,32.6,6.2,35.2,0,3.5,2.4,0,SNP
Torbay,36,24.1,25.6,0,0,5.7,5.8,3.1,Con,59.2,13,24,0,0,2.5,0,1.3,Con
"High Peak",27,46.1,11.4,0,0,6.7,7.4,1.6,Lab,45.9,44.8,5.1,0,0,2.1,2.2,0,Con
Streatham,15.1,47,18.4,0,0,11.1,6.5,1.9,Lab,16,54.8,23.5,0,0,4.5,1.1,0,Lab
"North East Hertfordshire",34.6,31.5,16.1,0,0,8.5,5.8,3.7,Con,56.6,23.7,15.5,0,0,4.3,0,0,Con
"Motherwell and Wishaw",11.4,34.4,4.6,45,0,1.8,1.7,2.1,SNP,16.1,32.3,3.8,46.4,0,0,0,1.4,SNP
Darlington,28.7,48.8,9,0,0,3.9,6.4,3.2,Lab,48.1,40.5,4.8,0,0,2.4,3.5,0.7,Con
"Penrith and The Border",35,32.5,13.6,0,0,6.6,8.9,3.5,Con,60.4,21.7,11.2,0,0,4.5,0,2.2,Con
"Washington and Sunderland West",22.3,50.5,9.3,0,0,3.6,10.7,3.8,Lab,32.6,42.5,5.5,0,0,2.7,14.5,2.2,Lab
"East Kilbride, Strathaven and Lesmahagow",16.7,22.8,7.8,46,0,3,2.5,2.2,SNP,21.2,22.7,6.7,46.4,0,2,0,1,SNP
Congleton,33.7,36.4,13,0,0,5.5,8.5,3.1,Lab,59,26.5,10.5,0,0,2.8,0,1.1,Con
Witham,41.6,26.6,11.9,0,0,9.7,6,4.4,Con,66.6,17.8,9.3,0,0,6.3,0,0,Con
Poole,35.8,29,20,0,0,6.5,5.8,3.1,Con,58.7,20.8,15.5,0,0,3.4,0,1.7,Con
Sevenoaks,38.2,25.1,18.2,0,0,6.5,8.1,4.1,Con,60.7,13.6,19.8,0,0,3.9,0,1.9,Con
"Faversham and Mid Kent",39.2,28.9,13.5,0,0,6.6,7.9,4,Con,63.2,19.6,12.2,0,0,4.2,0,0.7,Con
"Edinburgh West",19.5,13.5,28.8,31,0,3.4,1.9,2.1,SNP,17,8.2,39.9,33,0,1.9,0,0,Lib
Tynemouth,25,54.3,9.4,0,0,3.8,5.2,2.6,Lab,39.4,48.1,6.8,0,0,2.3,3.5,0,Lab
Broadland,36.8,29.3,16.6,0,0,7.2,5.7,4.6,Con,59.6,21.2,16.1,0,0,2.5,0,0.6,Con
"South West Surrey",34.4,22.2,30.3,0,0,4.5,5.6,3.1,Con,53.3,7.9,38.7,0,0,0,0,0,Con
"South West Hertfordshire",30.4,19.5,13.7,0,0,8.1,10.1,18.3,Con,49.6,11.8,10.2,0,0,2.4,0,26,Con
Gainsborough,37.6,31,16.1,0,0,5.5,7.3,2.7,Con,66.4,21.4,10.1,0,0,0,0,2.1,Con
Newark,35.5,33.6,15,0,0,7.5,6.7,2,Con,63.3,23.5,9.7,0,0,3.6,0,0,Con
Winchester,30.6,21.7,35.3,0,0,4.6,5,3,Lib,48.3,4.6,46.6,0,0,0,0,0.5,Con
Daventry,35.5,30.6,16.8,0,0,8.2,7.1,1.9,Con,64.6,19.1,12.3,0,0,4.1,0,0,Con
Ashfield,23.5,35.5,11.3,0,0,6.5,11.1,12.4,Lab,39.3,24.4,2.3,0,0,1.4,5.1,27.6,Con
"Mid Norfolk",38.6,29.9,15.2,0,0,6,5.6,4.9,Con,62.4,22.2,13.8,0,0,0,0,1.7,Con
"Hastings and Rye",31.7,42.3,9.8,0,0,5.6,6.3,4.5,Lab,49.6,42.1,7.3,0,0,0,0,1,Con
"East Dunbartonshire",14.2,20.8,24.3,33,0,3.8,1.7,2.5,SNP,14.1,9.1,36.8,37.1,0,1.7,0,1.2,SNP
"Salford and Eccles",16.4,55.6,8,0,0,7.3,9,3.9,Lab,24.5,56.8,6.1,0,0,4.1,8.5,0,Lab
Hyndburn,27.1,45.5,8,0,0,6.1,10,3.7,Lab,48.5,41.5,2.9,0,0,2,5.1,0,Con
Romford,38.8,28,10.1,0,0,7.9,11.5,3.9,Con,64.6,26.7,5.7,0,0,3,0,0,Con
"Luton North",22.1,48.9,10.3,0,0,8.6,6.6,3.7,Lab,33.5,55.2,4.8,0,0,1.8,2.9,1.9,Lab
Halton,15.5,59.8,6.6,0,0,6.1,8.3,3.8,Lab,22.4,63.5,3.9,0,0,2.1,8.1,0,Lab
"Sheffield South East",24.6,47,10.6,0,0,5.8,8.2,4,Lab,35.9,46.1,5.1,0,0,0,10.7,2.3,Lab
Leigh,26,46.1,7.9,0,0,4.5,11.4,4.3,Lab,45.3,41.1,4.8,0,0,0,6.7,2.1,Con
Newbury,36.4,21.3,26,0,0,6.5,6.4,3.6,Con,57.4,7.3,30.6,0,0,4.1,0,0.5,Con
Bosworth,34.4,29.6,19.8,0,0,7.5,7,2,Con,63.9,17.3,16.1,0,0,2.7,0,0,Con
"Bethnal Green and Bow",12.1,55.5,11.2,0,0,11.7,7.4,2.2,Lab,10.8,72.7,9.7,0,0,4.2,1.8,0.7,Lab
Slough,19.3,50.3,9.6,0,0,8.3,8.4,4.4,Lab,30.9,57.6,6.6,0,0,2.1,2.8,0,Lab
Nuneaton,36.3,33.5,11.6,0,0,7.1,6.9,4.7,Con,60.6,31.5,4.1,0,0,3.7,0,0,Con
Clacton,44.6,24.8,9.2,0,0,7,8,6.6,Con,72.3,15.5,5.8,0,0,2.8,0,3.6,Con
"Argyll and Bute",30,12,12.2,39,0,1.8,3,2.8,SNP,35.2,6.8,14.2,43.8,0,0,0,0,SNP
"Bognor Regis and Littlehampton",39.1,27.8,12.9,0,0,6.2,8.8,5.4,Con,63.5,19.6,11,0,0,3.6,0,2.4,Con
"Harwich and North Essex",38,29.3,13.8,0,0,7.8,6.5,4.7,Con,61.3,22.4,11.3,0,0,3.7,0,1.3,Con
"Oxford East",14.6,51.9,14.7,0,0,10.7,5.4,2.9,Lab,20.9,57,13.9,0,0,4.8,2.3,1,Lab
"Grantham and Stamford",35.3,31.2,15.9,0,0,7.8,7.8,2.1,Con,65.7,19.3,11,0,0,4,0,0,Con
"Birmingham, Hall Green",10.7,55.6,12.2,0,0,8.3,5.2,8.1,Lab,13.9,67.8,6.9,0,0,1.5,1.7,8.1,Lab
Llanelli,19.5,48.5,6.4,0,11,5.8,8.4,0.7,Lab,30,42.2,0,0,18.4,0,9.4,0,Lab
"Mole Valley",35.5,20.8,26,0,0,5.9,8.3,3.8,Con,55.4,5.2,34.3,0,0,3.3,0,1.8,Con
"Derby South",21.5,48.5,13.3,0,0,6.4,8.7,1.9,Lab,36.9,51.1,6.2,0,0,0,5.8,0,Lab
"Glasgow South",13.1,29.4,5.9,43,0,4.6,2.2,2,SNP,13.1,29.1,5.9,48.1,0,2.6,1.1,0,SNP
"North Devon",34.8,22.7,28.8,0,0,6.1,5.3,2.6,Con,56.6,9.2,30,0,0,3.2,0,1,Con
"West Lancashire",22.3,52.9,7.7,0,0,5.8,8.2,3.3,Lab,36.3,52.1,4.9,0,0,2.4,4.3,0,Lab
Scunthorpe,33.1,40.6,9.3,0,0,6.2,7.2,3.8,Lab,53.8,36.7,2.3,0,0,1.8,5.4,0,Con
