Row Labels,Number of schools,Sum of Levels 1 and 2 places attended (2020),Sum of Level 3 Places Attended (2020),Sum of Plus Places Attended (2020),No Delivery due to Covid
BA21,15,42,0,0,
BA22,11,48,0,0,
BA3,24,150,0,0,
BA4,10,42,0,0,
BA5,12,117,0,0,
BA6,9,64,0,0,
BA7,3,0,0,0,
BA8,4,25,0,0,
BA9,3,0,0,0,
BB1,35,117,0,30,
BB10,20,327,71,192,
BB11,15,358,25,87,
BB12,26,787,99,216,
BB18,9,0,0,0,Yes
BB2,38,422,33,32,
BB3,20,135,0,0,
BB4,27,60,0,0,
BB5,37,219,30,90,
BB6,7,79,7,0,
BB7,25,43,0,179,
BB8,15,32,0,0,
BB9,27,0,0,0,Yes
BD1,1,0,0,0,
BD10,11,0,0,0,Yes
BD11,2,22,0,0,
BD12,6,46,0,0,
BD13,11,0,0,0,Yes
BD14,4,46,0,6,
BD15,6,44,0,0,
BD16,13,92,10,5,
BD17,5,134,0,0,
BD18,11,0,0,0,Yes
BD19,9,66,0,28,
BD2,12,0,0,0,Yes
BD20,16,27,0,0,
BD21,10,129,0,63,
BD22,14,80,0,0,
BD23,27,94,0,0,
BD24,4,15,0,0,
BD3,17,0,0,0,Yes
BD4,17,111,0,40,
BD5,24,0,0,0,
BD6,10,25,0,0,
BD7,10,0,0,0,
BD8,20,127,0,24,
BD9,17,114,0,0,
BH1,3,0,0,0,
BH10,6,0,0,0,Yes
BH11,7,0,0,0,Yes
BH12,11,12,0,0,
BH13,1,0,0,0,
BH14,5,48,0,0,
BH15,10,10,0,0,
BH16,6,26,0,0,
BH17,10,23,0,0,
BH18,4,0,0,0,Yes
BH19,6,7,9,0,
BH2,3,0,0,0,
BH20,11,99,0,0,
BH21,26,5,9,0,
BH22,7,25,0,0,
BH23,19,108,103,0,
BH24,10,18,0,0,
BH25,8,50,9,0,
BH3,1,30,0,0,
BH31,4,0,0,0,
BH4,1,0,0,0,
BH5,3,0,0,0,Yes
BH6,4,12,0,0,
BH7,4,0,0,0,
BH8,9,0,0,0,
BH9,7,38,0,0,
BL0,10,35,0,0,
BL1,32,282,14,104,
BL2,20,23,0,0,
BL3,38,142,2,60,
BL4,21,110,4,66,
BL5,11,0,0,8,
BL6,14,89,0,0,
BL7,9,52,12,39,
BL8,20,151,0,0,
BL9,28,71,0,0,
BN1,29,100,0,28,
BN10,4,86,0,0,
BN11,10,60,0,0,
BN12,8,115,0,0,
BN13,8,3,0,0,
BN14,12,138,0,0,
BN15,9,60,0,0,
BN16,8,60,0,0,
BN17,7,122,0,0,
BN18,9,68,0,0,
BN2,27,0,0,30,
BN20,10,0,0,144,
BN21,4,46,0,0,
BN22,13,29,0,16,
BN23,9,26,0,0,
BN24,3,12,0,0,
BN25,8,0,0,0,Yes
BN26,2,0,0,0,
BN27,11,48,0,0,
BN3,21,0,0,0,Yes
BN41,9,65,0,48,
BN42,2,0,0,0,
BN43,9,0,0,0,
BN44,4,0,0,0,
BN5,1,31,0,0,
BN6,8,53,0,0,
BN7,11,50,0,0,
BN8,12,151,0,0,
BN9,6,48,0,12,
BR1,23,0,0,0,
BR2,18,0,0,0,
BR3,19,0,0,0,
BR4,8,0,0,0,
BR5,16,0,0,0,
BR6,19,0,0,0,
BR7,11,0,0,0,
BR8,11,36,0,0,
BS1,5,12,0,0,
BS10,11,0,0,0,Yes
BS11,11,78,0,0,
BS13,13,86,0,0,
BS14,11,0,0,0,
BS15,16,0,54,0,
BS16,34,86,0,25,
BS2,9,12,0,0,
BS20,10,214,12,0,
BS21,7,124,0,0,
BS22,13,181,36,0,
BS23,11,76,0,0,
BS24,11,125,0,0,
BS25,5,0,42,0,
BS26,2,0,0,0,
BS27,4,0,0,0,
BS28,2,3,0,0,
BS29,1,0,0,0,
BS3,12,0,0,0,Yes
BS30,13,54,73,25,
BS31,11,24,0,0,
BS32,12,114,0,25,
BS34,12,48,0,0,
BS35,16,110,0,25,
BS36,6,31,0,0,
BS37,20,33,41,0,
BS39,9,49,0,0,
BS4,19,38,0,0,
BS40,10,65,0,0,
BS41,3,0,0,0,
BS48,14,88,24,10,
BS49,4,0,0,0,
BS5,17,0,0,0,Yes
BS6,13,125,0,0,
BS7,15,42,0,0,
BS8,8,0,0,0,
BS9,11,77,0,0,
CA1,10,47,0,0,
CA10,15,80,0,0,
CA11,14,60,0,0,
CA12,6,108,0,0,
CA13,9,104,0,0,
CA14,21,95,0,0,
CA15,13,97,0,0,
CA16,6,41,0,0,
CA17,3,6,17,0,
CA19,1,9,0,0,
CA2,15,77,0,0,
CA20,2,23,0,0,
CA21,1,6,0,0,
CA22,5,34,0,0,
CA23,1,0,0,0,
CA24,1,0,0,0,
CA25,3,19,0,0,
CA26,5,9,0,0,
CA27,2,0,0,0,Yes
CA28,17,42,0,0,
CA3,6,19,0,0,
CA4,9,60,0,0,
CA5,9,53,0,0,
CA6,8,60,0,0,
CA7,21,79,0,0,
CA8,10,63,0,0,
CA9,3,0,0,0,
CB1,21,204,23,0,
CB10,6,32,0,0,
CB11,11,58,56,29,
CB2,16,224,7,0,
CB21,15,96,0,0,
CB22,12,287,0,0,
CB23,16,627,22,0,
CB24,18,302,0,0,
CB25,6,75,0,0,
CB3,6,23,0,0,
CB4,17,64,0,0,
CB5,4,18,0,0,
CB6,19,188,0,0,
CB7,9,0,0,0,Yes
CB8,15,117,0,0,
CB9,15,12,0,0,
CH1,13,38,0,0,
CH2,17,162,84,0,
CH3,20,132,0,0,
CH4,11,0,0,0,Yes
CH41,13,10,0,0,
CH42,8,12,0,0,
CH43,17,75,0,0,
CH44,9,34,0,0,
CH45,10,0,0,0,
CH46,11,5,0,0,
CH47,2,0,0,0,
CH48,9,0,0,0,
CH49,17,0,44,0,
CH60,4,0,0,0,
CH61,7,26,0,0,
CH62,9,183,0,0,
CH63,15,66,0,0,
CH64,7,15,0,0,
CH65,14,0,0,0,
CH66,13,28,0,0,
CM0,6,0,0,0,Yes
CM1,28,65,36,0,
CM11,7,72,0,0,
CM12,9,84,0,0,
CM13,11,53,22,0,
CM14,5,31,0,0,
CM15,17,33,0,0,
CM16,9,105,18,0,
CM17,10,55,0,0,
CM18,15,17,0,0,
CM19,7,13,0,0,
CM2,27,190,20,0,
CM20,10,21,0,0,
CM21,5,0,0,0,Yes
CM22,9,31,0,0,
CM23,22,37,0,0,
CM24,4,0,0,0,Yes
CM3,28,260,0,0,
CM4,6,16,0,0,
CM5,6,0,0,0,Yes
CM6,11,139,0,30,
CM7,18,99,0,0,
CM77,5,88,0,0,
CM8,14,59,0,0,
CM9,12,76,0,0,
CO1,4,60,0,0,
CO10,24,28,0,0,
CO11,7,70,0,0,
CO12,9,11,0,0,
CO13,5,0,0,0,Yes
CO14,2,32,0,0,
CO15,12,96,0,0,
CO16,9,9,0,0,
CO2,17,0,0,0,Yes
CO3,22,107,0,0,
CO4,21,29,0,0,
CO5,12,71,0,0,
CO6,17,62,0,0,
CO7,15,58,0,0,
CO8,1,0,0,0,Yes
CO9,17,21,0,0,
CR0,58,0,0,0,
CR2,20,0,0,0,
CR3,18,13,0,0,
CR4,24,0,0,0,
CR5,9,0,0,0,
CR6,4,0,0,0,
CR7,18,0,0,0,
CR8,15,0,0,0,
CR9,6,0,0,0,
CT1,13,50,0,0,
CT10,15,40,0,0,
CT11,11,45,0,0,
CT12,10,0,0,0,
CT13,6,36,0,0,
CT14,15,72,0,0,
CT15,11,72,0,0,
CT16,12,216,0,0,
CT17,10,0,0,0,
CT18,4,31,0,0,
CT19,16,0,20,0,
CT2,13,24,0,0,
CT20,7,27,0,0,
CT21,7,0,0,0,
CT3,13,205,0,0,
CT4,10,97,0,0,
CT5,8,104,0,0,
CT6,9,127,0,0,
CT7,4,0,0,0,
CT8,4,34,0,0,
CT9,14,0,0,0,
CV1,15,25,0,0,
CV10,23,113,0,0,
CV11,15,0,0,0,Yes
CV12,12,0,0,0,Yes
CV13,10,0,0,0,
CV2,26,0,0,0,
CV21,13,138,0,0,
CV22,24,74,0,0,
CV23,12,94,0,0,
CV3,26,125,0,0,
CV31,14,102,0,0,
CV32,13,91,0,27,
CV33,4,0,0,0,Yes
CV34,15,39,36,0,
CV35,14,50,0,0,
CV36,5,66,0,0,
CV37,21,18,0,0,
CV4,12,0,0,0,
CV47,12,126,0,0,
CV5,13,115,0,0,
CV6,32,49,0,0,
CV7,16,0,0,0,Yes
CV8,13,60,0,0,
CV9,15,45,0,0,
CW1,16,325,55,15,
CW10,6,188,0,0,
CW11,11,151,0,0,
CW12,15,119,53,5,
CW2,16,222,39,54,
CW3,6,26,0,0,
CW4,5,59,0,0,
CW5,16,274,0,0,
CW6,9,35,0,1,
CW7,14,0,6,0,
CW8,23,89,0,0,
CW9,16,28,26,0,
DA1,21,60,0,0,
DA10,4,0,0,0,
DA11,17,0,0,18,
DA12,20,36,0,0,
DA13,7,24,0,90,
DA14,9,0,0,0,
DA15,13,0,0,0,
DA16,14,0,0,0,
DA17,8,0,0,0,
DA18,4,0,0,0,
DA2,12,51,0,0,
DA3,9,0,0,18,
DA4,3,0,0,0,
DA5,5,0,0,0,
DA6,6,0,0,0,
DA7,9,0,0,0,
DA8,11,0,0,0,
DA9,2,0,0,0,
DE1,7,0,0,0,
DE11,22,48,0,54,
DE12,14,0,0,57,
DE13,22,671,41,77,
DE14,11,328,0,35,
DE15,13,153,0,16,
DE21,23,186,0,162,
DE22,21,283,0,251,
DE23,28,136,0,235,
DE24,25,244,0,5,
DE3,10,108,0,0,
DE4,28,40,0,27,
DE45,9,54,0,29,
DE5,11,155,0,52,
DE55,34,285,0,274,
DE56,19,178,0,54,
DE6,23,16,0,19,
DE65,14,47,0,151,
DE7,26,478,33,165,
DE72,10,260,0,0,
DE73,10,135,0,0,
DE74,6,46,0,0,
DE75,10,76,0,0,
DH1,26,211,0,0,
DH2,9,110,0,0,
DH3,13,180,0,0,
DH4,11,22,0,5,
DH5,12,0,0,0,Yes
DH6,14,117,0,0,
DH7,24,93,0,0,
DH8,20,0,0,0,Yes
DH9,21,103,0,0,
DL1,17,0,0,29,
DL10,11,60,0,0,
DL11,4,0,0,0,
DL12,9,0,0,0,Yes
DL13,14,115,0,0,
DL14,25,68,0,0,
DL15,13,34,0,0,
DL16,14,15,0,0,
DL17,10,19,0,0,
DL2,14,43,0,99,
DL3,19,0,8,159,
DL4,3,26,0,0,
DL5,16,0,0,0,
DL6,8,18,0,0,
DL7,13,38,12,0,
DL8,17,19,0,0,
DL9,8,0,0,0,Yes
DN1,4,0,0,0,
DN10,8,99,0,12,
DN11,13,58,0,12,
DN12,14,0,0,0,
DN14,27,40,0,0,
DN15,16,156,0,36,
DN16,17,154,0,1,
DN17,20,68,0,2,
DN18,6,51,0,1,
DN19,3,0,0,0,Yes
DN2,9,0,0,0,
DN20,10,96,0,2,
DN21,26,15,0,56,
DN22,21,105,0,24,
DN3,14,0,0,0,
DN31,3,0,0,0,
DN32,11,54,0,0,
DN33,8,73,0,0,
DN34,8,10,0,0,
DN35,13,0,0,0,Yes
DN36,13,103,0,0,
DN37,10,0,0,0,Yes
DN38,2,0,0,0,
DN39,3,0,0,0,Yes
DN4,21,0,0,0,
DN40,7,30,0,0,
DN41,4,44,0,0,
DN5,21,0,0,0,
DN6,14,0,0,0,
DN7,10,0,0,0,
DN8,6,0,0,0,
DN9,13,112,0,2,
DT1,8,6,0,0,
DT10,7,0,0,0,
DT11,21,25,0,0,
DT2,15,7,4,0,
DT3,9,73,0,0,
DT4,12,7,0,0,
DT5,2,0,0,0,
DT6,11,0,0,0,
DT7,3,0,0,0,Yes
DT8,5,17,0,0,
DT9,16,12,0,0,
DY1,13,0,0,0,Yes
DY10,14,53,0,0,
DY11,14,62,0,0,
DY12,6,52,0,0,
DY13,9,119,0,0,
DY14,6,13,0,0,
DY2,12,0,0,0,
DY3,12,0,0,0,Yes
DY4,19,37,0,0,
DY5,13,0,0,0,Yes
DY6,13,21,0,0,
DY7,4,0,0,0,
DY8,19,1,0,36,
DY9,11,124,0,0,
E1,41,0,0,0,
E10,13,0,0,0,
E11,12,0,0,0,
E12,12,0,0,0,
E13,16,0,0,0,
E14,30,0,0,0,
E15,20,0,0,0,
E16,19,0,0,0,
E17,39,0,0,0,
E18,7,0,0,0,
E1W,4,0,0,0,
E2,26,0,0,0,
E20,2,0,0,0,
E3,21,0,0,0,
E4,21,0,0,0,
E5,22,0,0,0,
E6,23,0,0,0,
E7,21,0,0,0,
E8,12,0,0,0,
E9,15,0,0,0,
EC1M,2,0,0,0,
EC1N,1,0,0,0,
EC1R,3,0,0,0,
EC1V,4,0,0,0,
EC1Y,1,0,0,0,
EC2A,2,0,0,0,
EC2Y,1,0,0,0,
EC3A,1,0,0,0,
EC3N,1,0,0,0,
EC4M,1,0,0,0,
EC4V,1,0,0,0,
EN1,17,0,0,0,
EN10,4,28,0,0,
EN11,12,0,0,0,Yes
EN2,9,0,0,0,
EN3,25,0,0,0,
EN4,14,0,0,0,
EN5,12,0,0,0,
EN6,18,58,0,0,
EN7,9,24,0,0,
EN8,16,0,0,0,
EN9,6,132,24,0,
EX1,13,124,0,0,
EX10,6,0,0,0,Yes
EX11,3,85,0,0,
EX12,3,41,0,0,
EX13,10,22,0,0,
EX14,10,105,0,7,
EX15,12,132,0,0,
EX16,20,85,24,0,
EX17,12,101,0,0,
EX18,2,0,0,0,
EX19,4,0,0,0,Yes
EX2,21,102,39,1,
EX20,13,197,0,1,
EX21,6,23,0,0,
EX22,8,39,0,10,
EX23,9,102,0,0,
EX24,3,0,0,0,Yes
EX3,2,0,0,0,Yes
EX31,15,43,110,0,
EX32,16,40,0,0,
EX33,5,14,0,0,
EX34,7,24,0,0,
EX35,1,0,0,0,Yes
EX36,6,85,0,0,
EX37,4,17,0,0,
EX38,4,30,6,0,
EX39,16,159,0,2,
EX4,18,131,26,100,
EX5,15,133,0,3,
EX6,11,63,0,0,
EX7,6,0,0,0,Yes
EX8,12,84,0,0,
EX9,4,42,0,0,
FY1,6,59,0,0,
FY2,8,21,0,32,
FY3,13,106,0,70,
FY4,16,126,0,78,
FY5,13,88,0,0,
FY6,16,82,0,0,
FY7,10,0,0,0,
FY8,15,0,0,0,Yes
GL1,17,67,0,0,
GL10,11,42,0,0,
GL11,10,66,0,0,
GL12,9,61,0,0,
GL13,5,12,0,0,
GL14,8,39,0,0,
GL15,13,69,0,0,
GL16,9,25,0,0,
GL17,7,34,0,0,
GL18,5,26,0,0,
GL19,10,39,0,0,
GL2,26,286,31,0,
GL20,19,55,0,0,
GL3,16,24,18,0,
GL4,21,176,0,0,
GL5,19,60,0,0,
GL50,7,0,0,0,
GL51,22,111,0,0,
GL52,17,123,6,0,
GL53,9,146,28,0,
GL54,16,109,0,0,
GL55,4,15,0,0,
GL56,4,41,0,0,
GL6,18,99,0,0,
GL7,27,168,0,0,
GL8,5,27,0,0,
GL9,2,9,0,0,
GU1,16,71,0,0,
GU10,12,32,0,0,
GU11,10,81,0,0,
GU12,7,133,0,0,
GU14,28,57,0,0,
GU15,12,0,0,0,Yes
GU16,10,42,0,0,
GU17,4,0,0,0,Yes
GU18,2,0,0,0,Yes
GU19,3,0,0,0,
GU2,12,70,0,0,
GU20,2,0,0,0,
GU21,19,60,0,0,
GU22,13,60,0,0,
GU23,2,0,0,0,
GU24,10,79,0,0,
GU25,3,0,0,0,Yes
GU26,6,20,0,0,
GU27,9,52,0,0,
GU28,5,9,0,0,
GU29,5,40,0,0,
GU3,4,0,0,0,
GU30,5,90,0,0,
GU31,6,17,0,0,
GU32,9,29,0,0,
GU33,5,92,0,0,
GU34,19,113,0,0,
GU35,8,29,0,0,
GU4,6,0,0,0,Yes
GU46,8,155,0,0,
GU47,7,6,0,0,
GU5,11,0,0,0,Yes
GU51,4,0,0,0,
GU52,9,0,0,0,Yes
GU6,9,49,0,0,
GU7,15,123,0,0,
GU8,11,12,0,0,
GU9,15,0,0,0,Yes
HA0,10,0,0,0,
HA1,14,0,0,0,
HA2,16,0,0,0,
HA3,26,0,0,0,
HA4,18,0,0,0,
HA5,16,0,0,0,
HA6,14,0,0,0,Yes
HA7,8,0,0,0,
HA8,24,0,0,0,
HA9,17,0,0,0,
HD1,7,112,0,71,
HD2,9,88,8,87,
HD3,8,183,0,0,
HD4,14,274,45,32,
HD5,12,296,10,0,
HD6,15,0,0,0,Yes
HD7,13,146,0,36,
HD8,19,381,24,158,
HD9,17,232,67,54,
HG1,13,56,0,0,
HG2,13,0,0,0,Yes
HG3,25,15,0,0,
HG4,19,0,0,0,Yes
HG5,9,52,0,0,
HP1,18,26,0,0,
HP10,7,0,0,0,Yes
HP11,11,47,24,0,
HP12,9,46,0,0,
HP13,13,12,0,0,
HP14,10,30,0,0,
HP15,11,128,0,52,
HP16,7,74,0,0,
HP17,6,0,0,30,
HP18,12,30,0,0,
HP19,8,0,0,0,
HP2,18,52,0,0,
HP20,5,0,0,0,
HP21,17,84,0,0,
HP22,13,120,0,0,
HP23,10,59,0,0,
HP27,7,0,0,0,Yes
HP3,14,0,0,0,
HP4,15,75,10,0,
HP5,13,24,0,0,
HP6,12,52,0,0,
HP7,8,0,0,0,Yes
HP8,2,0,0,0,Yes
HP9,10,72,0,0,
HR1,23,0,0,0,
HR2,20,0,0,0,
HR3,3,0,0,0,
HR4,14,0,0,0,
HR5,2,0,0,0,
HR6,14,0,0,0,
HR7,5,0,0,0,
HR8,9,0,0,0,
HR9,13,0,0,0,
HU1,2,0,0,0,
HU10,6,0,0,0,Yes
HU11,6,0,0,0,
HU12,13,0,0,0,Yes
HU13,4,0,0,0,
HU14,3,0,0,0,Yes
HU15,9,0,0,0,Yes
HU16,5,0,0,0,Yes
HU17,18,0,0,0,Yes
HU18,4,0,0,0,Yes
HU19,3,0,0,0,Yes
HU2,4,26,0,0,
HU20,1,0,0,0,
HU3,12,98,0,44,
HU4,10,300,20,130,
HU5,13,282,0,12,
HU6,16,39,20,0,
HU7,19,371,0,10,
HU8,12,349,0,75,
HU9,18,108,0,112,
HX1,10,0,0,0,Yes
HX2,20,0,0,0,Yes
HX3,22,0,0,0,Yes
HX4,5,0,0,0,Yes
HX5,6,0,0,0,Yes
HX6,15,0,0,0,Yes
HX7,11,0,0,0,Yes
IG1,17,0,0,0,
IG10,14,180,24,35,
IG11,20,0,0,0,
IG2,7,0,0,0,
IG3,11,0,0,0,
IG4,4,0,0,0,
IG5,5,0,0,0,
IG6,12,0,0,0,
IG7,10,0,0,0,Yes
IG8,17,0,0,0,
IG9,5,95,6,0,
IP1,18,0,0,0,Yes
IP10,3,0,0,0,
IP11,11,24,0,0,
IP12,14,30,0,0,
IP13,13,12,0,0,
IP14,22,21,0,0,
IP15,1,0,0,0,
IP16,3,0,0,0,
IP17,8,0,0,0,Yes
IP18,3,0,0,0,
IP19,5,12,0,0,
IP2,12,0,0,0,Yes
IP20,4,30,0,0,
IP21,8,0,0,0,Yes
IP22,14,29,0,12,
IP23,6,0,0,0,Yes
IP24,15,0,0,0,
IP25,8,0,0,0,Yes
IP26,6,0,0,0,
IP27,5,84,0,0,
IP28,11,144,0,0,
IP29,4,59,0,0,
IP3,11,0,0,0,
IP30,6,19,0,0,
IP31,11,43,0,0,
IP32,10,53,0,0,
IP33,12,21,0,0,
IP4,14,73,15,0,
IP5,5,0,0,0,Yes
IP6,7,0,0,0,
IP7,12,61,0,0,
IP8,8,12,0,0,
IP9,10,49,0,0,
KT1,6,0,0,0,
KT10,10,0,0,0,Yes
KT11,10,0,0,0,Yes
KT12,11,102,0,0,
KT13,7,113,0,0,
KT14,5,44,0,0,
KT15,12,41,0,0,
KT16,11,38,0,0,
KT17,10,154,0,0,
KT18,8,0,0,0,Yes
KT19,11,156,0,0,
KT2,19,0,0,0,
KT20,10,0,0,0,Yes
KT21,6,110,0,0,
KT22,14,80,0,0,
KT23,5,107,0,0,
KT24,5,91,0,0,
KT3,14,0,0,0,
KT4,8,21,0,0,
KT5,4,0,0,0,
KT6,14,0,0,0,
KT7,6,106,0,0,
KT8,7,78,0,0,
KT9,7,0,0,0,
L1,5,0,0,0,
L10,5,0,0,0,
L11,11,30,0,0,
L12,14,125,43,0,
L13,13,39,0,0,
L14,9,7,0,0,
L15,14,32,0,0,
L16,4,55,0,0,
L17,9,0,0,0,
L18,9,0,0,0,
L19,9,0,0,0,
L20,12,45,0,0,
L21,11,28,0,0,
L22,3,0,0,0,
L23,20,22,22,0,
L24,5,0,0,0,
L25,14,119,0,0,
L26,7,0,0,0,Yes
L27,3,0,0,0,
L28,4,0,0,0,
L3,3,0,0,0,
L30,9,44,0,0,
L31,15,57,0,0,
L32,9,0,0,0,
L33,6,0,0,0,
L34,7,52,0,0,
L35,13,28,0,0,
L36,17,63,0,0,
L37,9,169,0,0,
L39,16,173,0,0,
L4,13,5,0,0,
L40,18,117,0,0,
L5,9,12,0,0,
L6,7,0,0,0,Yes
L7,10,0,0,0,
L8,15,30,0,0,
L9,12,0,0,0,
LA1,23,222,30,60,
LA10,4,22,0,0,
LA11,10,62,0,0,
LA12,12,97,0,0,
LA13,12,18,0,0,
LA14,21,203,0,0,
LA15,5,9,0,0,
LA16,2,0,0,0,
LA17,1,12,0,0,
LA18,7,18,0,0,
LA19,2,0,0,0,
LA2,20,62,8,0,
LA20,1,25,0,0,
LA21,2,0,0,0,
LA22,4,9,0,0,
LA23,5,77,0,0,
LA3,10,60,0,0,
LA4,8,292,0,0,
LA5,11,170,0,0,
LA6,13,31,0,0,
LA7,5,50,0,0,
LA8,8,36,0,0,
LA9,16,76,0,0,
LE1,3,0,0,0,
LE10,20,0,0,0,Yes
LE11,27,48,0,0,
LE12,31,133,0,0,
LE13,10,22,0,0,
LE14,14,0,0,0,
LE15,25,149,17,0,
LE16,18,154,35,0,
LE17,13,36,0,0,
LE18,15,22,0,0,
LE19,6,65,0,0,
LE2,39,158,0,0,
LE3,33,286,0,0,
LE4,36,155,0,0,
LE5,42,79,0,0,
LE6,6,25,0,0,
LE65,9,11,0,0,
LE67,30,7,0,0,
LE7,22,61,0,0,
LE8,14,0,0,0,
LE9,26,21,0,0,
LN1,13,101,0,0,
LN10,4,20,0,0,
LN11,18,0,0,0,
LN12,4,0,0,0,
LN13,6,0,0,0,
LN2,19,154,0,38,
LN3,5,35,0,0,
LN4,20,127,0,0,
LN5,17,97,0,24,
LN6,33,211,0,0,
LN7,5,35,0,0,
LN8,10,40,0,0,
LN9,6,9,0,0,
LS10,18,377,0,103,
LS11,16,26,0,75,
LS12,15,54,0,97,
LS13,12,53,0,0,
LS14,14,103,0,56,
LS15,13,90,0,72,
LS16,16,275,0,74,
LS17,22,405,110,21,
LS18,9,92,0,1,
LS19,8,87,0,0,
LS2,1,60,0,9,
LS20,5,45,0,0,
LS21,8,114,0,5,
LS22,7,56,0,0,
LS23,8,52,0,0,
LS24,8,0,0,0,Yes
LS25,17,151,0,30,
LS26,11,122,0,49,
LS27,12,168,0,53,
LS28,18,177,0,138,
LS29,13,30,0,0,
LS3,1,0,0,0,
LS4,4,57,0,13,
LS5,2,0,0,0,
LS6,9,61,0,1,
LS7,10,73,0,72,
LS8,12,36,0,160,
LS9,17,0,0,210,
LU1,24,84,0,0,
LU2,19,75,0,0,
LU3,23,108,0,116,
LU4,21,77,0,0,
LU5,22,84,0,0,
LU6,15,92,0,0,
LU7,26,586,35,90,
M11,13,44,0,0,
M12,12,52,0,0,
M13,10,58,0,0,
M14,12,75,0,0,
M15,8,285,0,0,
M16,16,166,0,55,
M18,10,0,0,0,
M19,11,27,0,0,
M2,1,0,0,0,
M20,18,89,0,0,
M21,14,63,0,0,
M22,14,0,0,0,Yes
M23,13,81,0,30,
M24,21,48,30,0,
M25,15,0,0,0,Yes
M26,13,108,0,0,
M27,18,34,0,0,
M28,17,54,0,118,
M29,9,60,0,0,
M3,1,0,0,0,
M3,3,0,0,0,
M30,21,112,0,0,
M31,5,0,0,0,
M32,13,56,0,0,
M33,24,22,0,0,
M34,19,229,0,0,
M35,11,150,0,64,
M38,6,0,0,0,Yes
M4,4,0,0,0,Yes
M40,21,61,0,0,
M41,20,0,0,0,
M43,9,0,0,0,
M44,9,64,0,0,
M45,10,73,0,45,
M46,11,28,0,0,
M5,6,0,0,0,
M50,2,0,0,0,
M6,13,0,0,0,
M7,34,0,0,0,
M8,15,62,0,186,
M9,19,65,0,37,
ME1,18,31,0,0,
ME10,21,44,0,186,
ME11,1,0,0,0,
ME12,11,0,0,0,
ME13,15,229,0,0,
ME14,12,149,0,88,
ME15,18,0,0,0,Yes
ME16,17,15,0,0,
ME17,15,84,0,0,
ME18,4,24,0,0,
ME19,13,0,0,0,
ME2,19,49,0,0,
ME20,9,58,0,0,
ME3,12,36,0,60,
ME4,16,16,0,0,
ME5,18,64,0,0,
ME6,4,50,0,0,
ME7,17,20,0,0,
ME8,18,82,0,0,
ME9,16,166,0,0,
MK10,7,156,0,3,
MK11,3,0,0,0,
MK12,7,0,0,0,
MK13,7,0,0,0,
MK14,12,0,0,0,Yes
MK15,1,0,0,0,
MK16,8,60,0,4,
MK17,16,92,25,10,
MK18,21,41,0,0,
MK19,8,0,0,0,Yes
MK2,7,24,0,0,
MK3,14,37,0,0,
MK4,6,0,0,0,
